# fe1_exp_065_159_photoneut_1968Be5.dat                  
#
# Z = 65, A =159
# No. of entries:   68
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1968Be5  R.Bergere, R.Beil, A.Veyssiere; Nucl. Phys. A121, 463(1968).                                                                                
#    E         dE       f1           df1
     8.620     0.000    0.345E-06    0.550E-07
     8.890     0.000    0.336E-06    0.549E-07
     9.160     0.000    0.437E-06    0.547E-07
     9.440     0.000    0.490E-06    0.546E-07
     9.710     0.000    0.690E-06    0.545E-07
     9.980     0.000    0.707E-06    0.543E-07
    10.250     0.000    0.880E-06    0.542E-07
    10.520     0.000    0.104E-05    0.541E-07
    10.800     0.000    0.116E-05    0.540E-07
    11.070     0.000    0.135E-05    0.539E-07
    11.340     0.000    0.152E-05    0.538E-07
    11.610     0.000    0.169E-05    0.537E-07
    11.880     0.000    0.183E-05    0.536E-07
    12.160     0.000    0.188E-05    0.535E-07
    12.430     0.000    0.181E-05    0.535E-07
    12.700     0.000    0.172E-05    0.533E-07
    12.970     0.000    0.158E-05    0.533E-07
    13.240     0.000    0.152E-05    0.532E-07
    13.520     0.000    0.148E-05    0.531E-07
    13.790     0.000    0.150E-05    0.531E-07
    14.060     0.000    0.146E-05    0.530E-07
    14.330     0.000    0.143E-05    0.530E-07
    14.600     0.000    0.148E-05    0.529E-07
    14.880     0.000    0.152E-05    0.528E-07
    15.150     0.000    0.156E-05    0.528E-07
    15.420     0.000    0.160E-05    0.527E-07
    15.690     0.000    0.158E-05    0.527E-07
    15.960     0.000    0.148E-05    0.526E-07
    16.240     0.000    0.145E-05    0.526E-07
    16.510     0.000    0.136E-05    0.525E-07
    16.780     0.000    0.126E-05    0.522E-07
    17.050     0.000    0.114E-05    0.514E-07
    17.320     0.000    0.107E-05    0.511E-07
    17.600     0.000    0.966E-06    0.503E-07
    17.870     0.000    0.888E-06    0.495E-07
    18.140     0.000    0.789E-06    0.492E-07
    18.410     0.000    0.683E-06    0.485E-07
    18.680     0.000    0.608E-06    0.483E-07
    18.960     0.000    0.567E-06    0.476E-07
    19.230     0.000    0.487E-06    0.474E-07
    19.500     0.000    0.445E-06    0.471E-07
    19.770     0.000    0.433E-06    0.465E-07
    20.040     0.000    0.396E-06    0.463E-07
    20.320     0.000    0.325E-06    0.457E-07
    20.560     0.000    0.321E-06    0.451E-07
    20.860     0.000    0.326E-06    0.449E-07
    21.130     0.000    0.298E-06    0.443E-07
    21.400     0.000    0.265E-06    0.442E-07
    21.680     0.000    0.263E-06    0.436E-07
    21.950     0.000    0.234E-06    0.435E-07
    22.220     0.000    0.216E-06    0.433E-07
    22.490     0.000    0.253E-06    0.428E-07
    22.760     0.000    0.218E-06    0.427E-07
    23.040     0.000    0.226E-06    0.422E-07
    23.310     0.000    0.207E-06    0.417E-07
    23.580     0.000    0.220E-06    0.416E-07
    23.850     0.000    0.241E-06    0.411E-07
    24.120     0.000    0.248E-06    0.410E-07
    24.400     0.000    0.245E-06    0.405E-07
    24.670     0.000    0.207E-06    0.404E-07
    24.940     0.000    0.173E-06    0.403E-07
    25.210     0.000    0.144E-06    0.399E-07
    25.480     0.000    0.121E-06    0.398E-07
    25.760     0.000    0.146E-06    0.394E-07
    26.030     0.000    0.140E-06    0.393E-07
    26.300     0.000    0.108E-06    0.389E-07
    26.570     0.000    0.121E-06    0.385E-07
    26.840     0.000    0.102E-06    0.385E-07
