# fe1_exp_065_159_photoneut_1976Gor.dat                  
#
# Z = 65, A =159
# No. of entries:  121
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1976Gor  B.I.Goryachev, Y.V.Kuznetsov, V.N.Orlin, et al.,; Yad.Fiz. 23, 1145 (1976); (Sov.J.Nucl.Phys. 23, 609(1977)).                               
#    E         dE       f1           df1
     8.600     0.000    0.242E-06    0.202E-07
     8.800     0.000    0.276E-06    0.197E-07
     8.850     0.000    0.343E-06    0.196E-07
     9.000     0.000    0.299E-06    0.193E-07
     9.100     0.000    0.315E-06    0.191E-07
     9.200     0.000    0.349E-06    0.189E-07
     9.300     0.000    0.345E-06    0.187E-07
     9.350     0.000    0.390E-06    0.186E-07
     9.400     0.000    0.415E-06    0.185E-07
     9.500     0.000    0.429E-06    0.183E-07
     9.600     0.000    0.461E-06    0.181E-07
     9.700     0.000    0.465E-06    0.179E-07
     9.800     0.000    0.531E-06    0.177E-07
     9.900     0.000    0.526E-06    0.175E-07
    10.000     0.000    0.564E-06    0.173E-07
    10.100     0.000    0.601E-06    0.172E-07
    10.200     0.000    0.663E-06    0.170E-07
    10.300     0.000    0.733E-06    0.168E-07
    10.400     0.000    0.734E-06    0.250E-07
    10.500     0.000    0.710E-06    0.165E-07
    10.600     0.000    0.859E-06    0.164E-07
    10.700     0.000    0.859E-06    0.162E-07
    10.800     0.000    0.988E-06    0.402E-07
    11.100     0.000    0.109E-05    0.391E-07
    11.200     0.000    0.124E-05    0.387E-07
    11.300     0.000    0.127E-05    0.384E-07
    11.400     0.000    0.128E-05    0.380E-07
    11.500     0.000    0.143E-05    0.377E-07
    11.600     0.000    0.157E-05    0.374E-07
    11.700     0.000    0.156E-05    0.445E-07
    11.800     0.000    0.167E-05    0.368E-07
    11.900     0.000    0.177E-05    0.364E-07
    12.000     0.000    0.181E-05    0.361E-07
    12.100     0.000    0.180E-05    0.358E-07
    12.200     0.000    0.192E-05    0.355E-07
    12.300     0.000    0.185E-05    0.423E-07
    12.400     0.000    0.195E-05    0.490E-07
    12.500     0.000    0.189E-05    0.486E-07
    12.550     0.000    0.205E-05    0.484E-07
    12.700     0.000    0.200E-05    0.615E-07
    12.800     0.000    0.199E-05    0.474E-07
    12.900     0.000    0.194E-05    0.538E-07
    13.000     0.000    0.192E-05    0.534E-07
    13.100     0.000    0.179E-05    0.596E-07
    13.200     0.000    0.187E-05    0.591E-07
    13.300     0.000    0.184E-05    0.587E-07
    13.400     0.000    0.184E-05    0.647E-07
    13.500     0.000    0.184E-05    0.707E-07
    13.600     0.000    0.177E-05    0.638E-07
    13.700     0.000    0.182E-05    0.570E-07
    13.800     0.000    0.172E-05    0.629E-07
    13.900     0.000    0.182E-05    0.562E-07
    14.000     0.000    0.173E-05    0.620E-07
    14.100     0.000    0.156E-05    0.615E-07
    14.200     0.000    0.191E-05    0.611E-07
    14.300     0.000    0.167E-05    0.546E-07
    14.400     0.000    0.173E-05    0.602E-07
    14.500     0.000    0.172E-05    0.598E-07
    14.600     0.000    0.190E-05    0.653E-07
    14.700     0.000    0.196E-05    0.649E-07
    14.800     0.000    0.183E-05    0.703E-07
    14.900     0.000    0.193E-05    0.699E-07
    15.000     0.000    0.193E-05    0.694E-07
    15.100     0.000    0.190E-05    0.689E-07
    15.200     0.000    0.204E-05    0.856E-07
    15.300     0.000    0.178E-05    0.907E-07
    15.400     0.000    0.178E-05    0.732E-07
    15.500     0.000    0.189E-05    0.783E-07
    15.600     0.000    0.175E-05    0.723E-07
    15.700     0.000    0.157E-05    0.718E-07
    15.800     0.000    0.162E-05    0.659E-07
    15.900     0.000    0.174E-05    0.709E-07
    16.000     0.000    0.170E-05    0.705E-07
    16.100     0.000    0.172E-05    0.754E-07
    16.200     0.000    0.178E-05    0.696E-07
    16.300     0.000    0.164E-05    0.745E-07
    16.400     0.000    0.159E-05    0.688E-07
    16.500     0.000    0.160E-05    0.631E-07
    16.600     0.000    0.159E-05    0.679E-07
    16.700     0.000    0.154E-05    0.675E-07
    16.800     0.000    0.160E-05    0.671E-07
    16.900     0.000    0.139E-05    0.565E-07
    17.000     0.000    0.139E-05    0.663E-07
    17.100     0.000    0.143E-05    0.609E-07
    17.200     0.000    0.145E-05    0.555E-07
    17.300     0.000    0.134E-05    0.552E-07
    17.400     0.000    0.126E-05    0.598E-07
    17.500     0.000    0.133E-05    0.595E-07
    17.600     0.000    0.127E-05    0.542E-07
    17.700     0.000    0.114E-05    0.588E-07
    17.800     0.000    0.123E-05    0.536E-07
    17.900     0.000    0.122E-05    0.533E-07
    18.000     0.000    0.935E-06    0.578E-07
    18.100     0.000    0.992E-06    0.527E-07
    18.200     0.000    0.105E-05    0.524E-07
    18.300     0.000    0.976E-06    0.521E-07
    18.400     0.000    0.103E-05    0.566E-07
    18.500     0.000    0.839E-06    0.469E-07
    18.600     0.000    0.849E-06    0.466E-07
    18.700     0.000    0.737E-06    0.464E-07
    18.800     0.000    0.798E-06    0.508E-07
    18.900     0.000    0.835E-06    0.505E-07
    19.000     0.000    0.593E-06    0.502E-07
    19.100     0.000    0.704E-06    0.545E-07
    19.200     0.000    0.646E-06    0.497E-07
    19.300     0.000    0.620E-06    0.494E-07
    19.400     0.000    0.599E-06    0.447E-07
    19.500     0.000    0.520E-06    0.489E-07
    19.600     0.000    0.566E-06    0.487E-07
    19.700     0.000    0.462E-06    0.440E-07
    19.800     0.000    0.499E-06    0.569E-07
    19.900     0.000    0.545E-06    0.523E-07
    19.950     0.000    0.487E-06    0.522E-07
    20.000     0.000    0.451E-06    0.520E-07
    20.100     0.000    0.388E-06    0.518E-07
    20.300     0.000    0.380E-06    0.470E-07
    20.350     0.000    0.345E-06    0.554E-07
    20.400     0.000    0.366E-06    0.510E-07
    20.500     0.000    0.377E-06    0.508E-07
    20.700     0.000    0.335E-06    0.461E-07
    20.750     0.000    0.318E-06    0.460E-07
