# fe1_exp_065_159_photoneut_2011Var.dat                  
#
# Z = 65, A =159
# No. of entries:  184
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2011Var  V.V.Varlamov, et al.,; Mosc.St.Un.Inst.of Nucl.Phys.Reports, No.2011, 5/869(2011); Phys. At.Nucl. 75,(11), 1339(2012); Eur.Phys.J. A 50, 114
#    E         dE       f1           df1
     8.600     0.000    0.285E-06    0.555E-07
     8.700     0.000    0.310E-06    0.548E-07
     8.800     0.000    0.335E-06    0.552E-07
     8.900     0.000    0.362E-06    0.546E-07
     9.000     0.000    0.389E-06    0.549E-07
     9.100     0.000    0.418E-06    0.553E-07
     9.200     0.000    0.451E-06    0.547E-07
     9.300     0.000    0.484E-06    0.550E-07
     9.400     0.000    0.519E-06    0.544E-07
     9.500     0.000    0.557E-06    0.548E-07
     9.600     0.000    0.596E-06    0.542E-07
     9.700     0.000    0.637E-06    0.545E-07
     9.800     0.000    0.679E-06    0.549E-07
     9.900     0.000    0.722E-06    0.543E-07
    10.000     0.000    0.768E-06    0.546E-07
    10.100     0.000    0.814E-06    0.541E-07
    10.200     0.000    0.867E-06    0.544E-07
    10.300     0.000    0.909E-06    0.539E-07
    10.400     0.000    0.967E-06    0.542E-07
    10.500     0.000    0.102E-05    0.537E-07
    10.600     0.000    0.107E-05    0.540E-07
    10.700     0.000    0.113E-05    0.543E-07
    10.800     0.000    0.119E-05    0.538E-07
    10.900     0.000    0.125E-05    0.541E-07
    11.000     0.000    0.131E-05    0.536E-07
    11.100     0.000    0.137E-05    0.539E-07
    11.200     0.000    0.142E-05    0.542E-07
    11.300     0.000    0.148E-05    0.537E-07
    11.400     0.000    0.154E-05    0.540E-07
    11.500     0.000    0.158E-05    0.536E-07
    11.600     0.000    0.163E-05    0.538E-07
    11.700     0.000    0.167E-05    0.534E-07
    11.800     0.000    0.171E-05    0.537E-07
    11.900     0.000    0.173E-05    0.532E-07
    12.000     0.000    0.175E-05    0.535E-07
    12.100     0.000    0.176E-05    0.538E-07
    12.200     0.000    0.176E-05    0.533E-07
    12.300     0.000    0.176E-05    0.536E-07
    12.400     0.000    0.175E-05    0.532E-07
    12.500     0.000    0.173E-05    0.534E-07
    12.600     0.000    0.171E-05    0.537E-07
    12.700     0.000    0.169E-05    0.533E-07
    12.800     0.000    0.166E-05    0.535E-07
    12.900     0.000    0.163E-05    0.531E-07
    13.000     0.000    0.161E-05    0.540E-07
    13.100     0.000    0.158E-05    0.576E-07
    13.200     0.000    0.156E-05    0.611E-07
    13.300     0.000    0.154E-05    0.626E-07
    13.400     0.000    0.152E-05    0.621E-07
    13.500     0.000    0.151E-05    0.623E-07
    13.600     0.000    0.150E-05    0.619E-07
    13.700     0.000    0.149E-05    0.620E-07
    13.800     0.000    0.148E-05    0.616E-07
    13.900     0.000    0.147E-05    0.618E-07
    14.000     0.000    0.147E-05    0.613E-07
    14.100     0.000    0.147E-05    0.615E-07
    14.200     0.000    0.147E-05    0.611E-07
    14.300     0.000    0.147E-05    0.613E-07
    14.400     0.000    0.148E-05    0.608E-07
    14.500     0.000    0.150E-05    0.610E-07
    14.600     0.000    0.151E-05    0.606E-07
