# fe1_exp_065_159_photoneut_2019Sub.dat                  
#
# Z = 65, A =159
# No. of entries:   59
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    Subaru Collaboration, in press, (2019)                                                                                                              
#    E         dE       f1           df1
     8.750     0.000    0.271E-06    0.952E-08
     8.800     0.000    0.284E-06    0.101E-07
     9.000     0.000    0.327E-06    0.119E-07
     9.250     0.000    0.382E-06    0.139E-07
     9.360     0.000    0.407E-06    0.147E-07
     9.490     0.000    0.442E-06    0.163E-07
     9.740     0.000    0.517E-06    0.192E-07
    10.010     0.000    0.605E-06    0.227E-07
    10.250     0.000    0.701E-06    0.278E-07
    10.490     0.000    0.823E-06    0.326E-07
    10.760     0.000    0.991E-06    0.361E-07
    11.010     0.000    0.117E-05    0.405E-07
    11.260     0.000    0.135E-05    0.481E-07
    11.510     0.000    0.155E-05    0.582E-07
    11.740     0.000    0.171E-05    0.660E-07
    12.000     0.000    0.185E-05    0.691E-07
    12.260     0.000    0.193E-05    0.695E-07
    12.490     0.000    0.193E-05    0.702E-07
    12.760     0.000    0.187E-05    0.716E-07
    13.000     0.000    0.179E-05    0.726E-07
    13.240     0.000    0.170E-05    0.705E-07
    13.510     0.000    0.162E-05    0.633E-07
    13.750     0.000    0.156E-05    0.570E-07
    13.870     0.000    0.154E-05    0.555E-07
    14.000     0.000    0.154E-05    0.528E-07
    14.250     0.000    0.154E-05    0.497E-07
    14.350     0.000    0.155E-05    0.494E-07
    14.500     0.000    0.156E-05    0.502E-07
    14.580     0.000    0.157E-05    0.512E-07
    14.760     0.000    0.160E-05    0.538E-07
    14.900     0.000    0.161E-05    0.571E-07
    15.350     0.000    0.172E-05    0.618E-07
    15.580     0.000    0.177E-05    0.597E-07
    15.810     0.000    0.177E-05    0.558E-07
    16.040     0.000    0.173E-05    0.517E-07
    16.330     0.000    0.165E-05    0.471E-07
    16.560     0.000    0.156E-05    0.447E-07
    16.800     0.000    0.147E-05    0.437E-07
    17.050     0.000    0.136E-05    0.448E-07
    17.290     0.000    0.126E-05    0.471E-07
    17.780     0.000    0.104E-05    0.504E-07
    18.270     0.000    0.826E-06    0.486E-07
    18.780     0.000    0.659E-06    0.398E-07
    19.240     0.000    0.545E-06    0.378E-07
    19.750     0.000    0.455E-06    0.344E-07
    20.220     0.000    0.395E-06    0.303E-07
    20.700     0.000    0.349E-06    0.285E-07
    21.230     0.000    0.306E-06    0.243E-07
    21.720     0.000    0.275E-06    0.228E-07
    22.210     0.000    0.252E-06    0.218E-07
    22.710     0.000    0.234E-06    0.205E-07
    23.150     0.000    0.220E-06    0.188E-07
    23.660     0.000    0.203E-06    0.164E-07
    24.170     0.000    0.189E-06    0.142E-07
    24.620     0.000    0.177E-06    0.134E-07
    25.140     0.000    0.160E-06    0.123E-07
    25.610     0.000    0.147E-06    0.112E-07
    26.080     0.000    0.135E-06    0.984E-08
    26.610     0.000    0.126E-06    0.834E-08
