# fe1_exp_071_175_photoneut_1969Be6.dat                  
#
# Z = 71, A =175
# No. of entries:   55
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Be6  R.Bergere, H.Beil, P.Carlos, A.Veyssiere; Nucl. Phys., A133, 417(1969).                                                                     
#    E         dE       f1           df1
     8.350     0.000    0.236E-06    0.884E-07
     8.620     0.000    0.353E-06    0.880E-07
     8.890     0.000    0.440E-06    0.878E-07
     9.160     0.000    0.338E-06    0.876E-07
     9.440     0.000    0.470E-06    0.874E-07
     9.710     0.000    0.526E-06    0.871E-07
     9.980     0.000    0.610E-06    0.869E-07
    10.250     0.000    0.709E-06    0.863E-07
    10.520     0.000    0.890E-06    0.866E-07
    10.800     0.000    0.101E-05    0.867E-07
    11.070     0.000    0.119E-05    0.862E-07
    11.340     0.000    0.146E-05    0.857E-07
    11.610     0.000    0.173E-05    0.859E-07
    11.880     0.000    0.188E-05    0.862E-07
    12.160     0.000    0.206E-05    0.856E-07
    12.430     0.000    0.220E-05    0.851E-07
    12.700     0.000    0.212E-05    0.854E-07
    12.970     0.000    0.197E-05    0.856E-07
    13.240     0.000    0.181E-05    0.852E-07
    13.520     0.000    0.182E-05    0.847E-07
    13.790     0.000    0.177E-05    0.849E-07
    14.060     0.000    0.183E-05    0.851E-07
    14.330     0.000    0.181E-05    0.847E-07
    14.600     0.000    0.184E-05    0.844E-07
    14.880     0.000    0.184E-05    0.845E-07
    15.150     0.000    0.190E-05    0.847E-07
    15.420     0.000    0.180E-05    0.844E-07
    15.690     0.000    0.174E-05    0.840E-07
    15.960     0.000    0.163E-05    0.832E-07
    16.240     0.000    0.158E-05    0.828E-07
    16.510     0.000    0.143E-05    0.825E-07
    16.780     0.000    0.123E-05    0.822E-07
    17.050     0.000    0.114E-05    0.819E-07
    17.320     0.000    0.103E-05    0.811E-07
    17.600     0.000    0.897E-06    0.808E-07
    17.870     0.000    0.815E-06    0.806E-07
    18.140     0.000    0.698E-06    0.803E-07
    18.410     0.000    0.622E-06    0.801E-07
    18.680     0.000    0.585E-06    0.794E-07
    18.960     0.000    0.485E-06    0.791E-07
    19.230     0.000    0.410E-06    0.789E-07
    19.500     0.000    0.463E-06    0.787E-07
    19.770     0.000    0.372E-06    0.785E-07
    20.040     0.000    0.355E-06    0.779E-07
    20.320     0.000    0.344E-06    0.777E-07
    20.590     0.000    0.378E-06    0.775E-07
    20.860     0.000    0.319E-06    0.773E-07
    21.130     0.000    0.296E-06    0.772E-07
    21.400     0.000    0.266E-06    0.766E-07
    21.680     0.000    0.263E-06    0.764E-07
    21.950     0.000    0.233E-06    0.763E-07
    22.220     0.000    0.241E-06    0.761E-07
    22.490     0.000    0.221E-06    0.756E-07
    22.760     0.000    0.282E-06    0.755E-07
    23.040     0.000    0.212E-06    0.753E-07
