# fe1_exp_072_178_photoabs_1976Gu2.dat                   
#
# Z = 72, A =178
# No. of entries:   50
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1976Gu2  G.M.Gurevich, L.E.Lazareva, V.M.Mazur, G.V.Solodukhov; JETP Lett.(USSR) 23, 370(1976).                                                      
#    E         dE       f1           df1
     8.340     0.000    0.718E-06    0.229E-06
     8.590     0.000    0.293E-06    0.283E-06
     8.850     0.000    0.127E-06    0.196E-06
     9.070     0.000    0.134E-06    0.191E-06
     9.320     0.000    0.642E-06    0.223E-06
     9.580     0.000    0.127E-05    0.244E-06
     9.890     0.000    0.114E-05    0.246E-06
    10.110     0.000    0.120E-05    0.232E-06
    10.350     0.000    0.120E-05    0.235E-06
    10.620     0.000    0.163E-05    0.212E-06
    10.890     0.000    0.205E-05    0.207E-06
    11.100     0.000    0.255E-05    0.195E-06
    11.420     0.000    0.261E-05    0.205E-06
    11.670     0.000    0.227E-05    0.201E-06
    11.870     0.000    0.265E-05    0.190E-06
    12.040     0.000    0.295E-05    0.209E-06
    12.370     0.000    0.291E-05    0.189E-06
    12.630     0.000    0.273E-05    0.206E-06
    12.880     0.000    0.258E-05    0.209E-06
    13.140     0.000    0.248E-05    0.191E-06
    13.400     0.000    0.242E-05    0.201E-06
    13.620     0.000    0.248E-05    0.191E-06
    13.870     0.000    0.248E-05    0.194E-06
    14.070     0.000    0.232E-05    0.191E-06
    14.350     0.000    0.212E-05    0.199E-06
    14.580     0.000    0.242E-05    0.202E-06
    14.870     0.000    0.212E-05    0.204E-06
    15.050     0.000    0.228E-05    0.190E-06
    15.260     0.000    0.219E-05    0.205E-06
    15.550     0.000    0.215E-05    0.195E-06
    15.760     0.000    0.178E-05    0.187E-06
    15.890     0.000    0.207E-05    0.191E-06
    16.190     0.000    0.211E-05    0.198E-06
    16.340     0.000    0.176E-05    0.196E-06
    16.540     0.000    0.160E-05    0.210E-06
    16.700     0.000    0.132E-05    0.213E-06
    16.930     0.000    0.155E-05    0.210E-06
    17.190     0.000    0.144E-05    0.212E-06
    17.440     0.000    0.126E-05    0.214E-06
    17.650     0.000    0.668E-06    0.226E-06
    17.880     0.000    0.111E-05    0.223E-06
    18.140     0.000    0.311E-06    0.210E-06
    18.430     0.000    0.457E-06    0.212E-06
    18.620     0.000    0.116E-06    0.158E-06
    18.930     0.000    0.302E-06    0.215E-06
    19.180     0.000    0.104E-06    0.163E-06
    19.340     0.000    0.242E-06    0.229E-06
    19.790     0.000    0.614E-06    0.232E-06
    20.270     0.000    0.526E-06    0.223E-06
    20.830     0.000    0.912E-06    0.121E-06
