# fe1_exp_072_178_photoneut_1977Gor.dat                  
#
# Z = 72, A =178
# No. of entries:   89
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1977Gor  A.M.Goryachev, G.N.Zalesnyi; Yad.Fiz. 26, 465(1977); (Sov.J.Nucl.Phys. 26, 246(1977)).                                                      
#    E         dE       f1           df1
     9.040     0.000    0.514E-06    0.192E-07
     9.170     0.000    0.587E-06    0.189E-07
     9.290     0.000    0.621E-06    0.280E-07
     9.420     0.000    0.686E-06    0.276E-07
     9.540     0.000    0.676E-06    0.273E-07
     9.670     0.000    0.716E-06    0.269E-07
     9.790     0.000    0.767E-06    0.354E-07
     9.920     0.000    0.832E-06    0.350E-07
    10.040     0.000    0.916E-06    0.346E-07
    10.170     0.000    0.896E-06    0.426E-07
    10.290     0.000    0.910E-06    0.506E-07
    10.420     0.000    0.974E-06    0.499E-07
    10.540     0.000    0.113E-05    0.494E-07
    10.670     0.000    0.121E-05    0.569E-07
    10.790     0.000    0.115E-05    0.563E-07
    10.920     0.000    0.133E-05    0.635E-07
    11.040     0.000    0.133E-05    0.629E-07
    11.170     0.000    0.155E-05    0.699E-07
    11.290     0.000    0.173E-05    0.768E-07
    11.420     0.000    0.182E-05    0.760E-07
    11.540     0.000    0.182E-05    0.752E-07
    11.670     0.000    0.200E-05    0.818E-07
    11.790     0.000    0.223E-05    0.883E-07
    11.920     0.000    0.222E-05    0.873E-07
    12.040     0.000    0.251E-05    0.937E-07
    12.170     0.000    0.237E-05    0.107E-06
    12.290     0.000    0.241E-05    0.106E-06
    12.420     0.000    0.250E-05    0.112E-06
    12.540     0.000    0.268E-05    0.111E-06
    12.670     0.000    0.243E-05    0.116E-06
    12.790     0.000    0.247E-05    0.115E-06
    12.920     0.000    0.250E-05    0.114E-06
    13.040     0.000    0.218E-05    0.120E-06
    13.170     0.000    0.238E-05    0.132E-06
    13.290     0.000    0.219E-05    0.131E-06
    13.420     0.000    0.200E-05    0.136E-06
    13.540     0.000    0.183E-05    0.128E-06
    13.670     0.000    0.203E-05    0.140E-06
    13.790     0.000    0.192E-05    0.132E-06
    13.920     0.000    0.182E-05    0.143E-06
    14.040     0.000    0.192E-05    0.124E-06
    14.170     0.000    0.169E-05    0.129E-06
    14.290     0.000    0.185E-05    0.134E-06
    14.420     0.000    0.189E-05    0.114E-06
    14.540     0.000    0.192E-05    0.113E-06
    14.670     0.000    0.173E-05    0.106E-06
    14.790     0.000    0.168E-05    0.111E-06
    14.920     0.000    0.181E-05    0.110E-06
    15.040     0.000    0.187E-05    0.750E-07
    15.170     0.000    0.197E-05    0.743E-07
    15.290     0.000    0.193E-05    0.737E-07
    15.420     0.000    0.189E-05    0.675E-07
    15.540     0.000    0.183E-05    0.670E-07
    15.670     0.000    0.192E-05    0.720E-07
    15.790     0.000    0.195E-05    0.659E-07
    15.920     0.000    0.183E-05    0.708E-07
    16.040     0.000    0.176E-05    0.595E-07
    16.170     0.000    0.167E-05    0.590E-07
    16.290     0.000    0.160E-05    0.586E-07
    16.420     0.000    0.156E-05    0.581E-07
    16.540     0.000    0.155E-05    0.524E-07
    16.670     0.000    0.143E-05    0.624E-07
    16.790     0.000    0.131E-05    0.568E-07
    16.920     0.000    0.127E-05    0.513E-07
    17.040     0.000    0.121E-05    0.560E-07
    17.170     0.000    0.120E-05    0.505E-07
    17.290     0.000    0.108E-05    0.502E-07
    17.420     0.000    0.105E-05    0.498E-07
    17.540     0.000    0.915E-06    0.495E-07
    17.670     0.000    0.908E-06    0.491E-07
    17.790     0.000    0.882E-06    0.488E-07
    17.920     0.000    0.886E-06    0.436E-07
    18.040     0.000    0.846E-06    0.481E-07
    18.170     0.000    0.726E-06    0.430E-07
    18.290     0.000    0.811E-06    0.474E-07
    18.420     0.000    0.697E-06    0.424E-07
    18.540     0.000    0.795E-06    0.468E-07
    18.670     0.000    0.697E-06    0.465E-07
    18.790     0.000    0.729E-06    0.462E-07
    18.920     0.000    0.596E-06    0.413E-07
    19.040     0.000    0.579E-06    0.456E-07
    19.170     0.000    0.647E-06    0.452E-07
    19.290     0.000    0.422E-06    0.495E-07
    19.420     0.000    0.581E-06    0.491E-07
    19.540     0.000    0.349E-06    0.533E-07
    19.670     0.000    0.516E-06    0.529E-07
    19.790     0.000    0.421E-06    0.526E-07
    19.920     0.000    0.509E-06    0.566E-07
    20.040     0.000    0.274E-06    0.606E-07
