# fe1_exp_073_181_photoabs_1981Gur.dat                   
#
# Z = 73, A =181
# No. of entries:   48
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1981Gur  G.M.Gurevich, L.E.Lazareva, V.M.Mazur, et al.,; Nucl.Phys. A351, 257(1981).                                                                 
#    E         dE       f1           df1
     8.410     0.000    0.454E-06    0.258E-06
     8.630     0.000    0.513E-06    0.251E-06
     8.880     0.000    0.527E-06    0.273E-06
     9.100     0.000    0.791E-06    0.276E-06
     9.410     0.000    0.498E-06    0.258E-06
     9.640     0.000    0.459E-06    0.234E-06
     9.880     0.000    0.904E-06    0.237E-06
    10.110     0.000    0.875E-06    0.249E-06
    10.340     0.000    0.117E-05    0.260E-06
    10.600     0.000    0.128E-05    0.237E-06
    10.850     0.000    0.141E-05    0.256E-06
    11.150     0.000    0.191E-05    0.257E-06
    11.340     0.000    0.245E-05    0.260E-06
    11.580     0.000    0.217E-05    0.240E-06
    11.760     0.000    0.277E-05    0.266E-06
    12.090     0.000    0.281E-05    0.251E-06
    12.310     0.000    0.267E-05    0.218E-06
    12.610     0.000    0.275E-05    0.248E-06
    12.880     0.000    0.271E-05    0.242E-06
    13.090     0.000    0.246E-05    0.232E-06
    13.350     0.000    0.249E-05    0.214E-06
    13.590     0.000    0.258E-05    0.230E-06
    13.780     0.000    0.254E-05    0.214E-06
    14.080     0.000    0.246E-05    0.209E-06
    14.310     0.000    0.236E-05    0.206E-06
    14.540     0.000    0.244E-05    0.203E-06
    14.760     0.000    0.205E-05    0.188E-06
    15.060     0.000    0.204E-05    0.190E-06
    15.290     0.000    0.225E-05    0.216E-06
    15.540     0.000    0.196E-05    0.195E-06
    15.760     0.000    0.208E-05    0.198E-06
    15.950     0.000    0.166E-05    0.207E-06
    16.290     0.000    0.140E-05    0.202E-06
    16.550     0.000    0.148E-05    0.189E-06
    16.780     0.000    0.145E-05    0.207E-06
    16.990     0.000    0.138E-05    0.209E-06
    17.130     0.000    0.122E-05    0.208E-06
    17.480     0.000    0.133E-05    0.198E-06
    17.620     0.000    0.807E-06    0.182E-06
    17.920     0.000    0.803E-06    0.198E-06
    18.170     0.000    0.112E-05    0.205E-06
    18.400     0.000    0.453E-06    0.184E-06
    18.610     0.000    0.233E-06    0.191E-06
    18.950     0.000    0.613E-06    0.165E-06
    19.510     0.000    0.373E-06    0.169E-06
    19.970     0.000    0.569E-06    0.165E-06
    20.460     0.000    0.589E-06    0.161E-06
    20.940     0.000    0.646E-06    0.186E-06
