# fe1_exp_073_181_photoneut_1969Ish.dat                  
#
# Z = 73, A =181
# No. of entries:  166
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Ish  B.S.Ishkhanov, al.,; ZhETF Pisma v Redaktsiyu 10, 30(1969); (JETP Letters (USSR) 10, 51(1969)).                                             
#    E         dE       f1           df1
     8.375     0.000    0.394E-06    0.000E+00
     8.500     0.000    0.427E-06    0.000E+00
     8.625     0.000    0.453E-06    0.000E+00
     8.750     0.000    0.472E-06    0.000E+00
     8.875     0.000    0.486E-06    0.000E+00
     9.000     0.000    0.494E-06    0.000E+00
     9.100     0.000    0.580E-06    0.000E+00
     9.200     0.000    0.577E-06    0.000E+00
     9.300     0.000    0.615E-06    0.000E+00
     9.400     0.000    0.651E-06    0.000E+00
     9.500     0.000    0.774E-06    0.000E+00
     9.600     0.000    0.817E-06    0.000E+00
     9.700     0.000    0.867E-06    0.000E+00
     9.800     0.000    0.920E-06    0.000E+00
     9.900     0.000    0.929E-06    0.000E+00
    10.000     0.000    0.980E-06    0.000E+00
    10.125     0.000    0.111E-05    0.000E+00
    10.250     0.000    0.117E-05    0.000E+00
    10.375     0.000    0.123E-05    0.000E+00
    10.500     0.000    0.131E-05    0.000E+00
    10.625     0.000    0.144E-05    0.000E+00
    10.750     0.000    0.152E-05    0.000E+00
    10.875     0.000    0.160E-05    0.000E+00
    11.000     0.000    0.174E-05    0.000E+00
    11.100     0.000    0.184E-05    0.000E+00
    11.200     0.000    0.193E-05    0.000E+00
    11.300     0.000    0.205E-05    0.000E+00
    11.400     0.000    0.212E-05    0.000E+00
    11.500     0.000    0.219E-05    0.000E+00
    11.600     0.000    0.225E-05    0.000E+00
    11.700     0.000    0.231E-05    0.000E+00
    11.800     0.000    0.234E-05    0.000E+00
    11.900     0.000    0.241E-05    0.000E+00
    12.000     0.000    0.241E-05    0.000E+00
    12.100     0.000    0.242E-05    0.000E+00
    12.200     0.000    0.236E-05    0.000E+00
    12.300     0.000    0.234E-05    0.000E+00
    12.400     0.000    0.227E-05    0.000E+00
    12.500     0.000    0.226E-05    0.000E+00
    12.600     0.000    0.225E-05    0.000E+00
    12.700     0.000    0.221E-05    0.000E+00
    12.800     0.000    0.211E-05    0.000E+00
    12.900     0.000    0.200E-05    0.000E+00
    13.000     0.000    0.196E-05    0.000E+00
    13.100     0.000    0.190E-05    0.000E+00
    13.200     0.000    0.185E-05    0.000E+00
    13.300     0.000    0.182E-05    0.000E+00
    13.400     0.000    0.175E-05    0.000E+00
    13.500     0.000    0.170E-05    0.000E+00
    13.600     0.000    0.159E-05    0.000E+00
    13.700     0.000    0.156E-05    0.000E+00
    13.800     0.000    0.162E-05    0.000E+00
    13.900     0.000    0.170E-05    0.000E+00
    14.000     0.000    0.181E-05    0.000E+00
    14.100     0.000    0.197E-05    0.000E+00
    14.200     0.000    0.201E-05    0.000E+00
    14.300     0.000    0.209E-05    0.000E+00
    14.400     0.000    0.223E-05    0.000E+00
    14.500     0.000    0.226E-05    0.000E+00
    14.600     0.000    0.233E-05    0.000E+00
    14.700     0.000    0.232E-05    0.000E+00
    14.800     0.000    0.228E-05    0.000E+00
    14.900     0.000    0.217E-05    0.000E+00
