# fe1_exp_073_181_photoneut_2001Bel.dat                  
#
# Z = 73, A =181
# No. of entries:  150
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2001Bel  S.N.Belyaev, V.P.Sinichkin; Conf.: Workshop on Beam Dynamics and Optimiz, Saratov 2001 81,(2001).                                           
#    E         dE       f1           df1
     8.360     0.000    0.313E-06    0.208E-07
     8.410     0.000    0.314E-06    0.217E-07
     8.470     0.000    0.313E-06    0.225E-07
     8.520     0.000    0.317E-06    0.224E-07
     8.580     0.000    0.325E-06    0.233E-07
     8.640     0.000    0.336E-06    0.231E-07
     8.700     0.000    0.352E-06    0.239E-07
     8.770     0.000    0.365E-06    0.237E-07
     8.830     0.000    0.374E-06    0.246E-07
     8.890     0.000    0.381E-06    0.254E-07
     8.960     0.000    0.384E-06    0.252E-07
     9.020     0.000    0.390E-06    0.260E-07
     9.080     0.000    0.400E-06    0.258E-07
     9.150     0.000    0.411E-06    0.265E-07
     9.210     0.000    0.425E-06    0.264E-07
     9.280     0.000    0.437E-06    0.271E-07
     9.340     0.000    0.449E-06    0.269E-07
     9.410     0.000    0.458E-06    0.267E-07
     9.490     0.000    0.461E-06    0.274E-07
     9.560     0.000    0.461E-06    0.281E-07
     9.630     0.000    0.462E-06    0.279E-07
     9.700     0.000    0.467E-06    0.286E-07
     9.770     0.000    0.479E-06    0.284E-07
     9.840     0.000    0.503E-06    0.291E-07
     9.910     0.000    0.539E-06    0.289E-07
     9.990     0.000    0.584E-06    0.287E-07
    10.060     0.000    0.634E-06    0.293E-07
    10.130     0.000    0.686E-06    0.291E-07
    10.210     0.000    0.733E-06    0.297E-07
    10.290     0.000    0.772E-06    0.295E-07
    10.370     0.000    0.803E-06    0.301E-07
    10.450     0.000    0.828E-06    0.299E-07
    10.530     0.000    0.857E-06    0.305E-07
    10.610     0.000    0.883E-06    0.302E-07
    10.690     0.000    0.909E-06    0.308E-07
    10.770     0.000    0.950E-06    0.306E-07
    10.850     0.000    0.999E-06    0.312E-07
    10.930     0.000    0.106E-05    0.309E-07
    11.010     0.000    0.113E-05    0.315E-07
    11.100     0.000    0.122E-05    0.313E-07
    11.190     0.000    0.131E-05    0.318E-07
    11.270     0.000    0.141E-05    0.323E-07
    11.360     0.000    0.150E-05    0.321E-07
    11.450     0.000    0.161E-05    0.326E-07
    11.530     0.000    0.172E-05    0.331E-07
    11.620     0.000    0.182E-05    0.328E-07
    11.710     0.000    0.193E-05    0.333E-07
    11.800     0.000    0.204E-05    0.338E-07
    11.880     0.000    0.214E-05    0.336E-07
    11.980     0.000    0.224E-05    0.340E-07
    12.070     0.000    0.233E-05    0.345E-07
    12.170     0.000    0.241E-05    0.349E-07
    12.260     0.000    0.248E-05    0.347E-07
    12.360     0.000    0.253E-05    0.351E-07
    12.450     0.000    0.256E-05    0.355E-07
    12.550     0.000    0.258E-05    0.359E-07
    12.640     0.000    0.259E-05    0.364E-07
    12.740     0.000    0.257E-05    0.368E-07
    12.830     0.000    0.256E-05    0.372E-07
    12.930     0.000    0.252E-05    0.376E-07
    13.030     0.000    0.248E-05    0.373E-07
    13.130     0.000    0.242E-05    0.377E-07
    13.230     0.000    0.236E-05    0.374E-07
    13.340     0.000    0.230E-05    0.377E-07
    13.440     0.000    0.224E-05    0.381E-07
    13.540     0.000    0.218E-05    0.384E-07
    13.650     0.000    0.214E-05    0.381E-07
    13.750     0.000    0.210E-05    0.385E-07
    13.850     0.000    0.207E-05    0.388E-07
    13.960     0.000    0.206E-05    0.385E-07
    14.060     0.000    0.206E-05    0.389E-07
    14.170     0.000    0.207E-05    0.386E-07
    14.280     0.000    0.210E-05    0.389E-07
    14.390     0.000    0.212E-05    0.386E-07
    14.500     0.000    0.215E-05    0.389E-07
    14.610     0.000    0.217E-05    0.392E-07
    14.720     0.000    0.219E-05    0.389E-07
    14.830     0.000    0.221E-05    0.392E-07
    14.950     0.000    0.222E-05    0.395E-07
    15.060     0.000    0.223E-05    0.392E-07
    15.170     0.000    0.223E-05    0.395E-07
    15.280     0.000    0.221E-05    0.392E-07
    15.390     0.000    0.219E-05    0.395E-07
    15.510     0.000    0.216E-05    0.391E-07
    15.630     0.000    0.211E-05    0.394E-07
    15.740     0.000    0.206E-05    0.391E-07
    15.860     0.000    0.200E-05    0.394E-07
    15.980     0.000    0.193E-05    0.396E-07
    16.100     0.000    0.186E-05    0.399E-07
    16.220     0.000    0.178E-05    0.396E-07
    16.340     0.000    0.170E-05    0.398E-07
    16.460     0.000    0.162E-05    0.400E-07
    16.580     0.000    0.154E-05    0.398E-07
    16.700     0.000    0.145E-05    0.400E-07
    16.820     0.000    0.138E-05    0.397E-07
    16.950     0.000    0.129E-05    0.394E-07
    17.070     0.000    0.121E-05    0.396E-07
    17.200     0.000    0.114E-05    0.398E-07
    17.330     0.000    0.107E-05    0.400E-07
    17.460     0.000    0.994E-06    0.402E-07
    17.580     0.000    0.928E-06    0.405E-07
    17.710     0.000    0.862E-06    0.407E-07
    17.840     0.000    0.807E-06    0.408E-07
    17.960     0.000    0.753E-06    0.411E-07
    18.090     0.000    0.705E-06    0.408E-07
    18.220     0.000    0.662E-06    0.409E-07
    18.360     0.000    0.624E-06    0.406E-07
    18.490     0.000    0.596E-06    0.408E-07
    18.630     0.000    0.573E-06    0.410E-07
    18.760     0.000    0.550E-06    0.411E-07
    18.900     0.000    0.537E-06    0.413E-07
    19.030     0.000    0.520E-06    0.419E-07
    19.170     0.000    0.507E-06    0.421E-07
    19.300     0.000    0.494E-06    0.422E-07
    19.440     0.000    0.477E-06    0.424E-07
