# fe1_exp_074_184_photoneut_1973Gor.dat                  
#
# Z = 74, A =184
# No. of entries:   51
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1973Gor  A.M.Goryachev, G.N.Zalesnyi, S.F.Semenko, B.A.Tulupov; Yad.Fiz. 17, 463(1973); (Sov.J.Nucl.Phys. 17, 236(1974)).                            
#    E         dE       f1           df1
     9.000     0.000    0.443E-06    0.000E+00
     9.200     0.000    0.481E-06    0.000E+00
     9.400     0.000    0.531E-06    0.000E+00
     9.600     0.000    0.586E-06    0.000E+00
     9.800     0.000    0.655E-06    0.000E+00
    10.000     0.000    0.777E-06    0.000E+00
    10.200     0.000    0.838E-06    0.000E+00
    10.400     0.000    0.959E-06    0.000E+00
    10.600     0.000    0.120E-05    0.000E+00
    10.800     0.000    0.133E-05    0.000E+00
    11.000     0.000    0.143E-05    0.000E+00
    11.200     0.000    0.166E-05    0.000E+00
    11.400     0.000    0.178E-05    0.000E+00
    11.600     0.000    0.191E-05    0.000E+00
    11.800     0.000    0.221E-05    0.000E+00
    12.000     0.000    0.231E-05    0.000E+00
    12.200     0.000    0.255E-05    0.000E+00
    12.400     0.000    0.271E-05    0.000E+00
    12.600     0.000    0.271E-05    0.000E+00
    12.800     0.000    0.258E-05    0.000E+00
    13.000     0.000    0.250E-05    0.000E+00
    13.200     0.000    0.243E-05    0.000E+00
    13.400     0.000    0.225E-05    0.000E+00
    13.600     0.000    0.220E-05    0.000E+00
    13.800     0.000    0.234E-05    0.000E+00
    14.000     0.000    0.222E-05    0.000E+00
    14.200     0.000    0.228E-05    0.000E+00
    14.400     0.000    0.223E-05    0.000E+00
    14.600     0.000    0.225E-05    0.000E+00
    14.800     0.000    0.227E-05    0.000E+00
    15.000     0.000    0.228E-05    0.000E+00
    15.200     0.000    0.226E-05    0.000E+00
    15.400     0.000    0.227E-05    0.000E+00
    15.600     0.000    0.227E-05    0.000E+00
    15.800     0.000    0.220E-05    0.000E+00
    16.000     0.000    0.209E-05    0.000E+00
    16.200     0.000    0.194E-05    0.000E+00
    16.400     0.000    0.179E-05    0.000E+00
    16.600     0.000    0.168E-05    0.000E+00
    16.800     0.000    0.159E-05    0.000E+00
    17.000     0.000    0.149E-05    0.000E+00
    17.200     0.000    0.139E-05    0.000E+00
    17.400     0.000    0.134E-05    0.000E+00
    17.600     0.000    0.125E-05    0.000E+00
    17.800     0.000    0.120E-05    0.000E+00
    18.000     0.000    0.110E-05    0.000E+00
    18.200     0.000    0.113E-05    0.000E+00
    18.400     0.000    0.103E-05    0.000E+00
    18.600     0.000    0.984E-06    0.000E+00
    18.800     0.000    0.900E-06    0.000E+00
    19.000     0.000    0.863E-06    0.000E+00
