# fe1_exp_074_184_photoneut_1978Go3.dat                  
#
# Z = 74, A =184
# No. of entries:   65
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1978Go3  A.M.Goryachev, G.N.Zalesnyy; Izvestiya Akademii Nauk KazSSSR, Ser.Fiz.-Mat.1978(6), 8(1978).                                                
#    E         dE       f1           df1
     8.020     0.000    0.361E-06    0.260E-07
     8.220     0.000    0.337E-06    0.179E-07
     8.420     0.000    0.439E-06    0.196E-07
     8.620     0.000    0.519E-06    0.231E-07
     8.820     0.000    0.494E-06    0.236E-07
     9.020     0.000    0.423E-06    0.269E-07
     9.220     0.000    0.546E-06    0.310E-07
     9.420     0.000    0.544E-06    0.304E-07
     9.620     0.000    0.610E-06    0.361E-07
     9.820     0.000    0.641E-06    0.344E-07
    10.020     0.000    0.892E-06    0.372E-07
    10.220     0.000    0.756E-06    0.450E-07
    10.420     0.000    0.991E-06    0.433E-07
    10.620     0.000    0.882E-06    0.466E-07
    10.820     0.000    0.119E-05    0.505E-07
    11.020     0.000    0.114E-05    0.512E-07
    11.220     0.000    0.154E-05    0.541E-07
    11.420     0.000    0.163E-05    0.570E-07
    11.620     0.000    0.199E-05    0.597E-07
    11.820     0.000    0.214E-05    0.682E-07
    12.020     0.000    0.248E-05    0.635E-07
    12.220     0.000    0.266E-05    0.646E-07
    12.420     0.000    0.268E-05    0.698E-07
    12.620     0.000    0.279E-05    0.729E-07
    12.820     0.000    0.278E-05    0.886E-07
    13.020     0.000    0.269E-05    0.886E-07
    13.220     0.000    0.238E-05    0.741E-07
    13.420     0.000    0.279E-05    0.860E-07
    13.620     0.000    0.257E-05    0.898E-07
    13.820     0.000    0.250E-05    0.992E-07
    14.020     0.000    0.235E-05    0.996E-07
    14.220     0.000    0.256E-05    0.781E-07
    14.420     0.000    0.226E-05    0.716E-07
    14.620     0.000    0.243E-05    0.653E-07
    14.820     0.000    0.232E-05    0.720E-07
    15.020     0.000    0.246E-05    0.693E-07
    15.220     0.000    0.238E-05    0.633E-07
    15.420     0.000    0.224E-05    0.405E-07
    15.620     0.000    0.215E-05    0.405E-07
    15.820     0.000    0.212E-05    0.411E-07
    16.020     0.000    0.193E-05    0.401E-07
    16.220     0.000    0.176E-05    0.417E-07
    16.420     0.000    0.168E-05    0.354E-07
    16.620     0.000    0.156E-05    0.371E-07
    16.820     0.000    0.145E-05    0.330E-07
    17.020     0.000    0.124E-05    0.306E-07
    17.220     0.000    0.127E-05    0.343E-07
    17.420     0.000    0.112E-05    0.349E-07
    17.620     0.000    0.109E-05    0.350E-07
    17.820     0.000    0.881E-06    0.326E-07
    18.020     0.000    0.992E-06    0.332E-07
    18.220     0.000    0.724E-06    0.309E-07
    18.420     0.000    0.843E-06    0.311E-07
    18.620     0.000    0.657E-06    0.340E-07
    18.820     0.000    0.802E-06    0.341E-07
    19.020     0.000    0.629E-06    0.315E-07
    19.220     0.000    0.754E-06    0.311E-07
    19.420     0.000    0.496E-06    0.317E-07
    19.620     0.000    0.579E-06    0.323E-07
    19.820     0.000    0.464E-06    0.324E-07
    20.020     0.000    0.485E-06    0.321E-07
    20.220     0.000    0.380E-06    0.343E-07
    20.420     0.000    0.527E-06    0.319E-07
    20.620     0.000    0.388E-06    0.328E-07
    20.820     0.000    0.387E-06    0.321E-07
