# fe1_exp_074_186_photoneut_1969Be8.dat                  
#
# Z = 74, A =186
# No. of entries:   75
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1969Be8  B.L.Berman, M.A.Kelly, R.L.Bramblett, J.T.Caldwell, H.S.Davis, S.C.Fultz; Phys. Rev., 185, 1576(1969).                                      
#    E         dE       f1           df1
     9.097     0.000    0.441E-06    0.358E-07
     9.407     0.000    0.476E-06    0.342E-07
     9.717     0.000    0.505E-06    0.421E-07
    10.026     0.000    0.633E-06    0.270E-07
    10.336     0.000    0.744E-06    0.290E-07
    10.646     0.000    0.855E-06    0.300E-07
    10.955     0.000    0.113E-05    0.433E-07
    11.265     0.000    0.132E-05    0.450E-07
    11.420     0.000    0.151E-05    0.472E-07
    11.575     0.000    0.165E-05    0.322E-07
    11.730     0.000    0.181E-05    0.450E-07
    11.885     0.000    0.202E-05    0.333E-07
    12.039     0.000    0.218E-05    0.486E-07
    12.194     0.000    0.238E-05    0.358E-07
    12.349     0.000    0.258E-05    0.523E-07
    12.504     0.000    0.254E-05    0.368E-07
    12.659     0.000    0.269E-05    0.536E-07
    12.814     0.000    0.267E-05    0.378E-07
    12.969     0.000    0.259E-05    0.532E-07
    13.123     0.000    0.262E-05    0.381E-07
    13.278     0.000    0.263E-05    0.544E-07
    13.433     0.000    0.250E-05    0.365E-07
    13.588     0.000    0.243E-05    0.539E-07
    13.743     0.000    0.241E-05    0.360E-07
    13.898     0.000    0.238E-05    0.553E-07
    14.052     0.000    0.241E-05    0.394E-07
    14.207     0.000    0.232E-05    0.557E-07
    14.362     0.000    0.235E-05    0.368E-07
    14.517     0.000    0.229E-05    0.563E-07
    14.672     0.000    0.231E-05    0.369E-07
    14.827     0.000    0.222E-05    0.572E-07
    14.982     0.000    0.222E-05    0.370E-07
    15.136     0.000    0.208E-05    0.543E-07
    15.291     0.000    0.204E-05    0.359E-07
    15.446     0.000    0.195E-05    0.567E-07
    15.601     0.000    0.188E-05    0.351E-07
    15.756     0.000    0.192E-05    0.573E-07
    15.911     0.000    0.174E-05    0.355E-07
    16.066     0.000    0.160E-05    0.556E-07
    16.220     0.000    0.158E-05    0.341E-07
    16.530     0.000    0.133E-05    0.400E-07
    16.840     0.000    0.117E-05    0.387E-07
    17.149     0.000    0.113E-05    0.363E-07
    17.459     0.000    0.969E-06    0.342E-07
    17.769     0.000    0.923E-06    0.337E-07
    18.079     0.000    0.729E-06    0.350E-07
    18.388     0.000    0.703E-06    0.360E-07
    18.698     0.000    0.571E-06    0.351E-07
    19.008     0.000    0.520E-06    0.335E-07
    19.317     0.000    0.458E-06    0.331E-07
    19.627     0.000    0.388E-06    0.355E-07
    19.937     0.000    0.433E-06    0.368E-07
    20.246     0.000    0.361E-06    0.374E-07
    20.556     0.000    0.346E-06    0.366E-07
    20.866     0.000    0.310E-06    0.377E-07
    21.176     0.000    0.292E-06    0.404E-07
    21.485     0.000    0.247E-06    0.577E-07
    21.795     0.000    0.193E-06    0.573E-07
    22.105     0.000    0.228E-06    0.335E-07
    22.414     0.000    0.813E-07    0.285E-07
    22.724     0.000    0.231E-06    0.253E-07
    23.030     0.000    0.131E-06    0.247E-07
    23.343     0.000    0.182E-06    0.298E-07
    23.653     0.000    0.192E-06    0.235E-07
    23.963     0.000    0.167E-06    0.256E-07
    24.273     0.000    0.161E-06    0.238E-07
    24.582     0.000    0.181E-06    0.235E-07
    24.892     0.000    0.134E-06    0.238E-07
    25.202     0.000    0.143E-06    0.258E-07
    25.511     0.000    0.123E-06    0.242E-07
    25.821     0.000    0.954E-07    0.260E-07
    26.131     0.000    0.149E-06    0.262E-07
    26.440     0.000    0.571E-07    0.245E-07
    26.750     0.000    0.119E-06    0.263E-07
    27.060     0.000    0.122E-06    0.265E-07
