# fe1_exp_075_185_photoneut_1973Gor.dat                  
#
# Z = 75, A =185
# No. of entries:   51
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1973Gor  A.M.Goryachev at al.,; Yad.Fiz. 17, 463(1973); (Sov.J.Nucl.Phys. 17, 236(1974)).                                                            
#    E         dE       f1           df1
     9.000     0.000    0.416E-06    0.000E+00
     9.200     0.000    0.471E-06    0.000E+00
     9.400     0.000    0.538E-06    0.000E+00
     9.600     0.000    0.588E-06    0.000E+00
     9.800     0.000    0.627E-06    0.000E+00
    10.000     0.000    0.795E-06    0.000E+00
    10.200     0.000    0.844E-06    0.000E+00
    10.400     0.000    0.834E-06    0.000E+00
    10.600     0.000    0.949E-06    0.000E+00
    10.800     0.000    0.117E-05    0.000E+00
    11.000     0.000    0.118E-05    0.000E+00
    11.200     0.000    0.129E-05    0.000E+00
    11.400     0.000    0.164E-05    0.000E+00
    11.600     0.000    0.187E-05    0.000E+00
    11.800     0.000    0.188E-05    0.000E+00
    12.000     0.000    0.226E-05    0.000E+00
    12.200     0.000    0.255E-05    0.000E+00
    12.400     0.000    0.257E-05    0.000E+00
    12.600     0.000    0.265E-05    0.000E+00
    12.800     0.000    0.283E-05    0.000E+00
    13.000     0.000    0.268E-05    0.000E+00
    13.200     0.000    0.252E-05    0.000E+00
    13.400     0.000    0.249E-05    0.000E+00
    13.600     0.000    0.239E-05    0.000E+00
    13.800     0.000    0.222E-05    0.000E+00
    14.000     0.000    0.231E-05    0.000E+00
    14.200     0.000    0.237E-05    0.000E+00
    14.400     0.000    0.234E-05    0.000E+00
    14.600     0.000    0.238E-05    0.000E+00
    14.800     0.000    0.241E-05    0.000E+00
    15.000     0.000    0.206E-05    0.000E+00
    15.200     0.000    0.215E-05    0.000E+00
    15.400     0.000    0.213E-05    0.000E+00
    15.600     0.000    0.204E-05    0.000E+00
    15.800     0.000    0.199E-05    0.000E+00
    16.000     0.000    0.176E-05    0.000E+00
    16.200     0.000    0.178E-05    0.000E+00
    16.400     0.000    0.168E-05    0.000E+00
    16.600     0.000    0.163E-05    0.000E+00
    16.800     0.000    0.142E-05    0.000E+00
    17.000     0.000    0.142E-05    0.000E+00
    17.200     0.000    0.120E-05    0.000E+00
    17.400     0.000    0.116E-05    0.000E+00
    17.600     0.000    0.109E-05    0.000E+00
    17.800     0.000    0.960E-06    0.000E+00
    18.000     0.000    0.100E-05    0.000E+00
    18.200     0.000    0.734E-06    0.000E+00
    18.400     0.000    0.754E-06    0.000E+00
    18.600     0.000    0.779E-06    0.000E+00
    18.800     0.000    0.623E-06    0.000E+00
    19.000     0.000    0.685E-06    0.000E+00
