# fe1_exp_076_189_photoneut_1979Be4_L0046009.dat         
#
# Z = 76, A =189
# No. of entries:   61
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1979Be4  B. L. Berman, D. D. Faul, R. A. Alvarez, P. Meyer, D. L. Olson; Phys. Rev., C19, 1205(1979).                                                
#    E         dE       f1           df1
     7.448     0.000    0.283E-06    0.256E-07
     7.937     0.000    0.323E-06    0.224E-07
     8.426     0.000    0.384E-06    0.224E-07
     8.914     0.000    0.448E-06    0.225E-07
     9.403     0.000    0.548E-06    0.218E-07
     9.892     0.000    0.736E-06    0.202E-07
    10.136     0.000    0.747E-06    0.217E-07
    10.381     0.000    0.861E-06    0.231E-07
    10.625     0.000    0.103E-05    0.237E-07
    10.870     0.000    0.117E-05    0.257E-07
    11.114     0.000    0.133E-05    0.251E-07
    11.358     0.000    0.152E-05    0.276E-07
    11.603     0.000    0.179E-05    0.312E-07
    11.847     0.000    0.210E-05    0.327E-07
    12.092     0.000    0.242E-05    0.358E-07
    12.336     0.000    0.275E-05    0.389E-07
    12.580     0.000    0.289E-05    0.402E-07
    12.825     0.000    0.298E-05    0.415E-07
    13.069     0.000    0.299E-05    0.405E-07
    13.314     0.000    0.304E-05    0.395E-07
    13.558     0.000    0.300E-05    0.413E-07
    13.802     0.000    0.302E-05    0.406E-07
    14.047     0.000    0.306E-05    0.422E-07
    14.291     0.000    0.300E-05    0.461E-07
    14.536     0.000    0.294E-05    0.457E-07
    14.780     0.000    0.280E-05    0.411E-07
    15.024     0.000    0.262E-05    0.498E-07
    15.269     0.000    0.249E-05    0.835E-07
    15.513     0.000    0.214E-05    0.867E-07
    15.758     0.000    0.201E-05    0.859E-07
    16.002     0.000    0.178E-05    0.889E-07
    16.246     0.000    0.149E-05    0.876E-07
    16.491     0.000    0.134E-05    0.847E-07
    16.735     0.000    0.113E-05    0.814E-07
    16.980     0.000    0.104E-05    0.787E-07
    17.224     0.000    0.861E-06    0.730E-07
    17.468     0.000    0.799E-06    0.720E-07
    17.713     0.000    0.725E-06    0.710E-07
    17.957     0.000    0.652E-06    0.720E-07
    18.202     0.000    0.591E-06    0.715E-07
    18.446     0.000    0.503E-06    0.687E-07
    18.690     0.000    0.506E-06    0.691E-07
    18.935     0.000    0.476E-06    0.728E-07
    19.179     0.000    0.385E-06    0.791E-07
    19.424     0.000    0.365E-06    0.790E-07
    19.668     0.000    0.426E-06    0.825E-07
    19.912     0.000    0.359E-06    0.767E-07
    20.157     0.000    0.346E-06    0.736E-07
    20.401     0.000    0.332E-06    0.876E-07
    20.646     0.000    0.372E-06    0.819E-07
    20.890     0.000    0.289E-06    0.772E-07
    21.134     0.000    0.356E-06    0.907E-07
    21.379     0.000    0.295E-06    0.929E-07
    21.623     0.000    0.429E-06    0.915E-07
    21.868     0.000    0.314E-06    0.892E-07
    22.112     0.000    0.459E-06    0.867E-07
    22.356     0.000    0.317E-06    0.892E-07
    22.601     0.000    0.295E-06    0.933E-07
    22.845     0.000    0.309E-06    0.911E-07
    23.090     0.000    0.255E-06    0.913E-07
    23.334     0.000    0.301E-06    0.929E-07
