# fe1_exp_076_189_photoneut_2014Var.dat                  
#
# Z = 76, A =189
# No. of entries:   61
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2014Var  V.V.Varlamov, al.,; Izv.Ros.Akad.Nauk,Ser.Fiz. 78(5), 599(2014) (Bull. Russ. Acad. Sci. Phys. 78(5), 412(2014)).                            
#    E         dE       f1           df1
     7.440     0.000    0.283E-06    0.381E-07
     7.930     0.000    0.324E-06    0.393E-07
     8.420     0.000    0.384E-06    0.444E-07
     8.910     0.000    0.448E-06    0.500E-07
     9.400     0.000    0.548E-06    0.589E-07
     9.890     0.000    0.736E-06    0.762E-07
    10.130     0.000    0.747E-06    0.778E-07
    10.380     0.000    0.861E-06    0.894E-07
    10.620     0.000    0.103E-05    0.105E-06
    10.870     0.000    0.117E-05    0.120E-06
    11.110     0.000    0.134E-05    0.136E-06
    11.350     0.000    0.152E-05    0.154E-06
    11.600     0.000    0.179E-05    0.182E-06
    11.840     0.000    0.210E-05    0.212E-06
    12.090     0.000    0.242E-05    0.245E-06
    12.330     0.000    0.275E-05    0.278E-06
    12.580     0.000    0.289E-05    0.292E-06
    12.820     0.000    0.298E-05    0.301E-06
    13.060     0.000    0.300E-05    0.302E-06
    13.310     0.000    0.304E-05    0.306E-06
    13.550     0.000    0.301E-05    0.303E-06
    13.800     0.000    0.297E-05    0.296E-06
    14.040     0.000    0.293E-05    0.279E-06
    14.290     0.000    0.279E-05    0.248E-06
    14.530     0.000    0.272E-05    0.221E-06
    14.780     0.000    0.255E-05    0.192E-06
    15.020     0.000    0.241E-05    0.174E-06
    15.260     0.000    0.230E-05    0.167E-06
    15.510     0.000    0.209E-05    0.154E-06
    15.750     0.000    0.195E-05    0.147E-06
    16.000     0.000    0.181E-05    0.140E-06
    16.240     0.000    0.159E-05    0.126E-06
    16.490     0.000    0.140E-05    0.113E-06
    16.730     0.000    0.121E-05    0.100E-06
    16.980     0.000    0.112E-05    0.935E-07
    17.220     0.000    0.977E-06    0.826E-07
    17.460     0.000    0.874E-06    0.755E-07
    17.710     0.000    0.764E-06    0.676E-07
    17.950     0.000    0.667E-06    0.619E-07
    18.200     0.000    0.624E-06    0.586E-07
    18.440     0.000    0.550E-06    0.536E-07
    18.690     0.000    0.552E-06    0.538E-07
    18.930     0.000    0.477E-06    0.499E-07
    19.170     0.000    0.396E-06    0.471E-07
    19.420     0.000    0.404E-06    0.478E-07
    19.660     0.000    0.422E-06    0.494E-07
    19.910     0.000    0.366E-06    0.444E-07
    20.150     0.000    0.369E-06    0.435E-07
    20.400     0.000    0.359E-06    0.472E-07
    20.640     0.000    0.354E-06    0.445E-07
    20.890     0.000    0.305E-06    0.400E-07
    21.130     0.000    0.344E-06    0.464E-07
    21.370     0.000    0.316E-06    0.446E-07
    21.620     0.000    0.349E-06    0.437E-07
    21.860     0.000    0.299E-06    0.390E-07
    22.110     0.000    0.366E-06    0.391E-07
    22.350     0.000    0.275E-06    0.338E-07
    22.600     0.000    0.237E-06    0.317E-07
    22.840     0.000    0.262E-06    0.306E-07
    23.090     0.000    0.257E-06    0.292E-07
    23.330     0.000    0.269E-06    0.290E-07
