# fe1_exp_076_190_photoneut_2015Var.dat                  
#
# Z = 76, A =190
# No. of entries:   66
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2015Var  V.V.Varlamov, al.,; Yad.Fiz. 78(7), 678(2015); (Journ. Phys. Atom. Nuclei 78(5), 634(2015)).                                                
#    E         dE       f1           df1
     7.930     0.000    0.207E-06    0.345E-07
     8.420     0.000    0.355E-06    0.535E-07
     8.910     0.000    0.454E-06    0.667E-07
     9.400     0.000    0.563E-06    0.801E-07
     9.890     0.000    0.705E-06    0.102E-06
    10.130     0.000    0.791E-06    0.113E-06
    10.380     0.000    0.854E-06    0.121E-06
    10.620     0.000    0.103E-05    0.146E-06
    10.870     0.000    0.121E-05    0.171E-06
    11.110     0.000    0.130E-05    0.184E-06
    11.350     0.000    0.151E-05    0.214E-06
    11.600     0.000    0.179E-05    0.253E-06
    11.840     0.000    0.210E-05    0.296E-06
    12.090     0.000    0.247E-05    0.348E-06
    12.330     0.000    0.265E-05    0.373E-06
    12.580     0.000    0.282E-05    0.397E-06
    12.820     0.000    0.303E-05    0.425E-06
    13.060     0.000    0.311E-05    0.437E-06
    13.310     0.000    0.311E-05    0.436E-06
    13.550     0.000    0.315E-05    0.442E-06
    13.800     0.000    0.303E-05    0.414E-06
    14.040     0.000    0.296E-05    0.386E-06
    14.290     0.000    0.288E-05    0.352E-06
    14.530     0.000    0.278E-05    0.315E-06
    14.780     0.000    0.258E-05    0.272E-06
    15.020     0.000    0.241E-05    0.243E-06
    15.260     0.000    0.221E-05    0.221E-06
    15.510     0.000    0.207E-05    0.209E-06
    15.750     0.000    0.188E-05    0.195E-06
    16.000     0.000    0.173E-05    0.183E-06
    16.120     0.000    0.160E-05    0.173E-06
    16.240     0.000    0.150E-05    0.164E-06
    16.360     0.000    0.145E-05    0.160E-06
    16.490     0.000    0.134E-05    0.150E-06
    16.610     0.000    0.132E-05    0.148E-06
    16.730     0.000    0.121E-05    0.138E-06
    16.850     0.000    0.119E-05    0.137E-06
    16.980     0.000    0.109E-05    0.126E-06
    17.100     0.000    0.104E-05    0.121E-06
    17.220     0.000    0.938E-06    0.111E-06
    17.340     0.000    0.914E-06    0.109E-06
    17.460     0.000    0.810E-06    0.976E-07
    17.710     0.000    0.724E-06    0.892E-07
    17.950     0.000    0.643E-06    0.814E-07
    18.200     0.000    0.625E-06    0.804E-07
    18.440     0.000    0.536E-06    0.711E-07
    18.690     0.000    0.521E-06    0.694E-07
    18.930     0.000    0.455E-06    0.622E-07
    19.170     0.000    0.445E-06    0.610E-07
    19.420     0.000    0.423E-06    0.589E-07
    19.660     0.000    0.377E-06    0.540E-07
    19.910     0.000    0.350E-06    0.509E-07
    20.150     0.000    0.335E-06    0.453E-07
    20.400     0.000    0.299E-06    0.474E-07
    20.640     0.000    0.319E-06    0.493E-07
    20.890     0.000    0.338E-06    0.508E-07
    21.130     0.000    0.296E-06    0.474E-07
    21.370     0.000    0.296E-06    0.469E-07
    21.620     0.000    0.275E-06    0.448E-07
    21.860     0.000    0.270E-06    0.444E-07
    22.110     0.000    0.276E-06    0.437E-07
    22.350     0.000    0.260E-06    0.425E-07
    22.600     0.000    0.240E-06    0.335E-07
    22.840     0.000    0.250E-06    0.383E-07
    23.090     0.000    0.262E-06    0.366E-07
    23.330     0.000    0.221E-06    0.322E-07
