# fe1_exp_077_191_photoneut_1978Go1.dat                  
#
# Z = 77, A =191
# No. of entries:   59
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1978Go1  A.M.Goryachev, G.N.Zalesnyy;  JETP Letters 26, 99(1978); (Zhur. Eksp.Teor.Fiz., Pisma v Redakt. 26, 107(1978)).                             
#    E         dE       f1           df1
     8.620     0.000    0.456E-06    0.151E-07
     8.820     0.000    0.560E-06    0.157E-07
     9.020     0.000    0.634E-06    0.183E-07
     9.220     0.000    0.675E-06    0.292E-07
     9.420     0.000    0.720E-06    0.304E-07
     9.620     0.000    0.803E-06    0.361E-07
     9.820     0.000    0.794E-06    0.415E-07
    10.020     0.000    0.821E-06    0.485E-07
    10.220     0.000    0.925E-06    0.552E-07
    10.420     0.000    0.924E-06    0.558E-07
    10.620     0.000    0.972E-06    0.596E-07
    10.820     0.000    0.121E-05    0.713E-07
    11.020     0.000    0.142E-05    0.519E-07
    11.220     0.000    0.138E-05    0.727E-07
    11.420     0.000    0.181E-05    0.835E-07
    11.620     0.000    0.200E-05    0.746E-07
    11.820     0.000    0.214E-05    0.954E-07
    12.020     0.000    0.228E-05    0.866E-07
    12.220     0.000    0.279E-05    0.923E-07
    12.420     0.000    0.286E-05    0.105E-06
    12.620     0.000    0.315E-05    0.962E-07
    12.820     0.000    0.318E-05    0.101E-06
    13.020     0.000    0.320E-05    0.107E-06
    13.220     0.000    0.325E-05    0.131E-06
    13.420     0.000    0.311E-05    0.129E-06
    13.620     0.000    0.290E-05    0.140E-06
    13.820     0.000    0.283E-05    0.119E-06
    14.020     0.000    0.297E-05    0.124E-06
    14.220     0.000    0.252E-05    0.171E-06
    14.420     0.000    0.256E-05    0.120E-06
    14.620     0.000    0.253E-05    0.160E-06
    14.820     0.000    0.256E-05    0.152E-06
    15.020     0.000    0.221E-05    0.104E-06
    15.220     0.000    0.230E-05    0.142E-06
    15.420     0.000    0.197E-05    0.101E-06
    15.620     0.000    0.179E-05    0.139E-06
    15.820     0.000    0.181E-05    0.126E-06
    16.020     0.000    0.144E-05    0.114E-06
    16.220     0.000    0.128E-05    0.102E-06
    16.420     0.000    0.148E-05    0.951E-07
    16.620     0.000    0.135E-05    0.110E-06
    16.820     0.000    0.106E-05    0.113E-06
    17.020     0.000    0.143E-05    0.127E-06
    17.220     0.000    0.118E-05    0.957E-07
    17.420     0.000    0.777E-06    0.996E-07
    17.620     0.000    0.788E-06    0.985E-07
    17.820     0.000    0.774E-06    0.112E-06
    18.020     0.000    0.375E-06    0.137E-06
    18.220     0.000    0.505E-06    0.100E-06
    18.420     0.000    0.753E-06    0.989E-07
    18.620     0.000    0.694E-06    0.102E-06
    18.820     0.000    0.590E-06    0.115E-06
    19.020     0.000    0.638E-06    0.100E-06
    19.220     0.000    0.591E-06    0.131E-06
    19.420     0.000    0.322E-06    0.130E-06
    19.620     0.000    0.398E-06    0.115E-06
    19.820     0.000    0.508E-06    0.136E-06
    20.020     0.000    0.459E-06    0.910E-07
    20.220     0.000    0.455E-06    0.142E-06
