# fe1_exp_077_nat_photoneut_1975Vey.dat                  
#
# Z = 77, A =  0
# No. of entries:   50
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1975Vey  A.Veyssiere, H.Beil, R.Bergere, et al.,; Jour. de Phys. Lett. 36, 267(1975).                                                                
#    E         dE       f1           df1
     8.286     0.000    0.444E-06    0.586E-07
     8.571     0.000    0.496E-06    0.627E-07
     8.857     0.000    0.588E-06    0.583E-07
     9.143     0.000    0.564E-06    0.598E-07
     9.429     0.000    0.649E-06    0.483E-07
     9.714     0.000    0.687E-06    0.589E-07
    10.000     0.000    0.893E-06    0.486E-07
    10.250     0.000    0.914E-06    0.474E-07
    10.500     0.000    0.892E-06    0.376E-07
    10.750     0.000    0.112E-05    0.411E-07
    11.000     0.000    0.127E-05    0.508E-07
    11.250     0.000    0.157E-05    0.528E-07
    11.500     0.000    0.174E-05    0.513E-07
    11.750     0.000    0.209E-05    0.328E-07
    12.000     0.000    0.240E-05    0.492E-07
    12.286     0.000    0.282E-05    0.487E-07
    12.571     0.000    0.295E-05    0.463E-07
    12.857     0.000    0.309E-05    0.364E-07
    13.143     0.000    0.308E-05    0.440E-07
    13.429     0.000    0.309E-05    0.342E-07
    13.714     0.000    0.301E-05    0.354E-07
    14.000     0.000    0.284E-05    0.434E-07
    14.286     0.000    0.277E-05    0.340E-07
    14.571     0.000    0.258E-05    0.408E-07
    14.857     0.000    0.243E-05    0.409E-07
    15.143     0.000    0.237E-05    0.401E-07
    15.429     0.000    0.205E-05    0.362E-07
    15.714     0.000    0.189E-05    0.348E-07
    16.000     0.000    0.167E-05    0.342E-07
    16.250     0.000    0.159E-05    0.347E-07
    16.500     0.000    0.130E-05    0.315E-07
    16.750     0.000    0.124E-05    0.340E-07
    17.000     0.000    0.111E-05    0.306E-07
    17.250     0.000    0.880E-06    0.302E-07
    17.500     0.000    0.768E-06    0.297E-07
    17.750     0.000    0.699E-06    0.222E-07
    18.000     0.000    0.708E-06    0.219E-07
    18.286     0.000    0.598E-06    0.213E-07
    18.571     0.000    0.490E-06    0.229E-07
    18.857     0.000    0.515E-06    0.212E-07
    19.143     0.000    0.507E-06    0.208E-07
    19.429     0.000    0.375E-06    0.188E-07
    19.714     0.000    0.416E-06    0.211E-07
    20.000     0.000    0.425E-06    0.243E-07
    20.286     0.000    0.308E-06    0.170E-07
    20.571     0.000    0.369E-06    0.266E-07
    20.857     0.000    0.341E-06    0.238E-07
    21.143     0.000    0.373E-06    0.226E-07
    21.429     0.000    0.315E-06    0.241E-07
    21.714     0.000    0.322E-06    0.272E-07
