# fe1_exp_078_194_photoneut_1978Go2.dat                  
#
# Z = 78, A =194
# No. of entries:   62
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1978Go2  A.M.Goryachev, G.N.Zalesnyy; Yad.Fiz. 27, 1479(1978); (Sov.J.Nucl.Phys. 27, 779(1978)).                                                     
#    E         dE       f1           df1
     8.600     0.000    0.313E-06    0.504E-07
     8.800     0.000    0.532E-06    0.591E-07
     9.000     0.000    0.501E-06    0.578E-07
     9.200     0.000    0.669E-06    0.471E-07
     9.400     0.000    0.655E-06    0.738E-07
     9.600     0.000    0.741E-06    0.723E-07
     9.800     0.000    0.673E-06    0.620E-07
    10.000     0.000    0.815E-06    0.520E-07
    10.200     0.000    0.944E-06    0.510E-07
    10.400     0.000    0.108E-05    0.667E-07
    10.600     0.000    0.109E-05    0.818E-07
    10.800     0.000    0.110E-05    0.883E-07
    11.000     0.000    0.144E-05    0.710E-07
    11.200     0.000    0.123E-05    0.774E-07
    11.400     0.000    0.162E-05    0.685E-07
    11.600     0.000    0.175E-05    0.897E-07
    11.800     0.000    0.216E-05    0.662E-07
    12.000     0.000    0.213E-05    0.651E-07
    12.200     0.000    0.273E-05    0.853E-07
    12.400     0.000    0.274E-05    0.699E-07
    12.600     0.000    0.304E-05    0.551E-07
    12.800     0.000    0.320E-05    0.610E-07
    13.000     0.000    0.342E-05    0.734E-07
    13.200     0.000    0.315E-05    0.986E-07
    13.400     0.000    0.331E-05    0.777E-07
    13.600     0.000    0.314E-05    0.957E-07
    13.800     0.000    0.329E-05    0.943E-07
    14.000     0.000    0.296E-05    0.991E-07
    14.200     0.000    0.309E-05    0.977E-07
    14.400     0.000    0.290E-05    0.843E-07
    14.600     0.000    0.274E-05    0.832E-07
    14.800     0.000    0.220E-05    0.996E-07
    15.000     0.000    0.242E-05    0.983E-07
    15.200     0.000    0.236E-05    0.742E-07
    15.400     0.000    0.207E-05    0.732E-07
    15.600     0.000    0.237E-05    0.667E-07
    15.800     0.000    0.251E-05    0.714E-07
    16.000     0.000    0.215E-05    0.705E-07
    16.200     0.000    0.202E-05    0.642E-07
    16.400     0.000    0.217E-05    0.635E-07
    16.600     0.000    0.187E-05    0.627E-07
    16.800     0.000    0.165E-05    0.620E-07
    17.000     0.000    0.185E-05    0.561E-07
    17.200     0.000    0.175E-05    0.504E-07
    17.400     0.000    0.153E-05    0.648E-07
    17.600     0.000    0.138E-05    0.493E-07
    17.800     0.000    0.144E-05    0.536E-07
    18.000     0.000    0.123E-05    0.626E-07
    18.200     0.000    0.110E-05    0.524E-07
    18.300     0.000    0.118E-05    0.569E-07
    18.600     0.000    0.117E-05    0.560E-07
    18.700     0.000    0.937E-06    0.464E-07
    18.900     0.000    0.927E-06    0.505E-07
    19.100     0.000    0.100E-05    0.590E-07
    19.300     0.000    0.831E-06    0.629E-07
    19.500     0.000    0.810E-06    0.489E-07
    19.700     0.000    0.907E-06    0.660E-07
    20.000     0.000    0.755E-06    0.434E-07
    20.100     0.000    0.617E-06    0.561E-07
    20.400     0.000    0.731E-06    0.468E-07
    20.500     0.000    0.622E-06    0.465E-07
    20.700     0.000    0.616E-06    0.503E-07
