# fe1_exp_078_195_photoneut_1978Go2.dat                  
#
# Z = 78, A =195
# No. of entries:   61
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:  1978Go2                                                                                                                                               
#    E         dE       f1           df1
     8.300     0.000    0.366E-06    0.523E-07
     8.500     0.000    0.429E-06    0.510E-07
     8.700     0.000    0.538E-06    0.598E-07
     8.900     0.000    0.546E-06    0.585E-07
     9.100     0.000    0.677E-06    0.572E-07
     9.300     0.000    0.616E-06    0.560E-07
     9.500     0.000    0.794E-06    0.548E-07
     9.700     0.000    0.724E-06    0.715E-07
     9.900     0.000    0.867E-06    0.701E-07
    10.100     0.000    0.833E-06    0.687E-07
    10.300     0.000    0.103E-05    0.674E-07
    10.500     0.000    0.950E-06    0.578E-07
    10.700     0.000    0.116E-05    0.892E-07
    10.800     0.000    0.128E-05    0.723E-07
    11.000     0.000    0.142E-05    0.631E-07
    11.200     0.000    0.149E-05    0.697E-07
    11.500     0.000    0.175E-05    0.679E-07
    11.700     0.000    0.193E-05    0.815E-07
    11.900     0.000    0.210E-05    0.948E-07
    12.100     0.000    0.234E-05    0.100E-06
    12.300     0.000    0.281E-05    0.776E-07
    12.400     0.000    0.299E-05    0.979E-07
    12.700     0.000    0.309E-05    0.102E-06
    12.900     0.000    0.346E-05    0.101E-06
    13.100     0.000    0.351E-05    0.113E-06
    13.300     0.000    0.334E-05    0.913E-07
    13.500     0.000    0.345E-05    0.122E-06
    13.700     0.000    0.334E-05    0.114E-06
    13.900     0.000    0.300E-05    0.112E-06
    14.100     0.000    0.290E-05    0.129E-06
    14.300     0.000    0.284E-05    0.115E-06
    14.500     0.000    0.253E-05    0.150E-06
    14.700     0.000    0.248E-05    0.142E-06
    14.900     0.000    0.274E-05    0.175E-06
    15.100     0.000    0.252E-05    0.149E-06
    15.300     0.000    0.276E-05    0.159E-06
    15.500     0.000    0.247E-05    0.157E-06
    15.700     0.000    0.252E-05    0.155E-06
    15.900     0.000    0.225E-05    0.196E-06
    16.100     0.000    0.199E-05    0.183E-06
    16.300     0.000    0.184E-05    0.202E-06
    16.500     0.000    0.220E-05    0.168E-06
    16.700     0.000    0.197E-05    0.182E-06
    16.800     0.000    0.169E-05    0.170E-06
    17.000     0.000    0.158E-05    0.194E-06
    17.200     0.000    0.189E-05    0.182E-06
    17.400     0.000    0.160E-05    0.199E-06
    17.600     0.000    0.127E-05    0.237E-06
    17.800     0.000    0.154E-05    0.190E-06
    18.000     0.000    0.116E-05    0.164E-06
    18.200     0.000    0.977E-06    0.186E-06
    18.400     0.000    0.882E-06    0.212E-06
    18.600     0.000    0.115E-05    0.229E-06
    18.800     0.000    0.886E-06    0.203E-06
    19.000     0.000    0.972E-06    0.178E-06
    19.200     0.000    0.101E-05    0.158E-06
    19.400     0.000    0.666E-06    0.201E-06
    19.600     0.000    0.668E-06    0.212E-06
    19.800     0.000    0.648E-06    0.228E-06
    20.000     0.000    0.442E-06    0.173E-06
    20.200     0.000    0.515E-06    0.185E-06
