# fe1_exp_078_198_photoneut_1978Go1.dat                  
#
# Z = 78, A =198
# No. of entries:   65
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   A.M.Goryachev,G.N.Zalesnyy (J,ZEP,26,107,1978)                                                                                                       
#    E         dE       f1           df1
     8.020     0.000    0.316E-06    0.314E-07
     8.220     0.000    0.380E-06    0.317E-07
     8.420     0.000    0.479E-06    0.412E-07
     8.620     0.000    0.466E-06    0.392E-07
     8.820     0.000    0.437E-06    0.403E-07
     9.020     0.000    0.651E-06    0.375E-07
     9.220     0.000    0.659E-06    0.395E-07
     9.420     0.000    0.814E-06    0.414E-07
     9.620     0.000    0.778E-06    0.406E-07
     9.820     0.000    0.980E-06    0.521E-07
    10.020     0.000    0.909E-06    0.485E-07
    10.220     0.000    0.109E-05    0.509E-07
    10.420     0.000    0.116E-05    0.558E-07
    10.620     0.000    0.149E-05    0.588E-07
    10.820     0.000    0.131E-05    0.625E-07
    11.020     0.000    0.172E-05    0.630E-07
    11.220     0.000    0.186E-05    0.688E-07
    11.420     0.000    0.193E-05    0.623E-07
    11.620     0.000    0.219E-05    0.761E-07
    11.820     0.000    0.263E-05    0.829E-07
    12.020     0.000    0.256E-05    0.859E-07
    12.220     0.000    0.276E-05    0.845E-07
    12.420     0.000    0.316E-05    0.859E-07
    12.620     0.000    0.322E-05    0.832E-07
    12.820     0.000    0.321E-05    0.927E-07
    13.020     0.000    0.345E-05    0.101E-06
    13.220     0.000    0.354E-05    0.991E-07
    13.420     0.000    0.360E-05    0.103E-06
    13.620     0.000    0.360E-05    0.100E-06
    13.820     0.000    0.345E-05    0.104E-06
    14.020     0.000    0.312E-05    0.105E-06
    14.220     0.000    0.306E-05    0.878E-07
    14.420     0.000    0.259E-05    0.746E-07
    14.620     0.000    0.238E-05    0.706E-07
    14.820     0.000    0.234E-05    0.837E-07
    15.020     0.000    0.217E-05    0.849E-07
    15.220     0.000    0.191E-05    0.775E-07
    15.420     0.000    0.202E-05    0.433E-07
    15.620     0.000    0.184E-05    0.478E-07
    15.820     0.000    0.166E-05    0.510E-07
    16.020     0.000    0.163E-05    0.487E-07
    16.220     0.000    0.149E-05    0.508E-07
    16.420     0.000    0.146E-05    0.396E-07
    16.620     0.000    0.129E-05    0.402E-07
    16.820     0.000    0.121E-05    0.428E-07
    17.020     0.000    0.109E-05    0.372E-07
    17.220     0.000    0.102E-05    0.423E-07
    17.420     0.000    0.692E-06    0.388E-07
    17.620     0.000    0.857E-06    0.394E-07
    17.820     0.000    0.789E-06    0.394E-07
    18.020     0.000    0.722E-06    0.361E-07
    18.220     0.000    0.752E-06    0.371E-07
    18.420     0.000    0.824E-06    0.377E-07
    18.620     0.000    0.629E-06    0.326E-07
    18.820     0.000    0.512E-06    0.373E-07
    19.020     0.000    0.675E-06    0.356E-07
    19.220     0.000    0.432E-06    0.352E-07
    19.420     0.000    0.441E-06    0.339E-07
    19.620     0.000    0.473E-06    0.349E-07
    19.820     0.000    0.613E-06    0.341E-07
    20.020     0.000    0.316E-06    0.351E-07
    20.220     0.000    0.549E-06    0.360E-07
    20.420     0.000    0.442E-06    0.344E-07
    20.620     0.000    0.371E-06    0.370E-07
    20.820     0.000    0.347E-06    0.379E-07
