# fe1_exp_079_197_photoneut_1958Ful.dat                  
#
# Z = 79, A =197
# No. of entries:   27
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1958Ful                                                                                                                                              
#    E         dE       f1           df1
     8.470     0.000    0.216E-06    0.000E+00
     8.960     0.000    0.425E-06    0.000E+00
     9.480     0.000    0.543E-06    0.000E+00
     9.960     0.000    0.710E-06    0.000E+00
    10.400     0.000    0.100E-05    0.000E+00
    10.900     0.000    0.136E-05    0.000E+00
    11.400     0.000    0.180E-05    0.000E+00
    12.000     0.000    0.241E-05    0.000E+00
    12.500     0.000    0.316E-05    0.000E+00
    13.000     0.000    0.360E-05    0.000E+00
    13.500     0.000    0.376E-05    0.000E+00
    14.000     0.000    0.351E-05    0.000E+00
    14.500     0.000    0.273E-05    0.000E+00
    15.000     0.000    0.229E-05    0.000E+00
    15.500     0.000    0.206E-05    0.000E+00
    16.000     0.000    0.141E-05    0.000E+00
    16.500     0.000    0.121E-05    0.000E+00
    17.000     0.000    0.151E-05    0.000E+00
    17.500     0.000    0.120E-05    0.000E+00
    18.000     0.000    0.896E-06    0.000E+00
    18.500     0.000    0.872E-06    0.000E+00
    19.000     0.000    0.534E-06    0.000E+00
    19.500     0.000    0.667E-06    0.000E+00
    20.500     0.000    0.715E-06    0.000E+00
    21.500     0.000    0.448E-06    0.000E+00
    22.400     0.000    0.631E-06    0.000E+00
    23.500     0.000    0.591E-06    0.000E+00
