# fe1_exp_079_197_photoneut_1962Fu2.dat                  
#
# Z = 79, A =197
# No. of entries:   54
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1962Fu2  S. C. Fultz, R. L. Bramblett, J. T. Caldwell, Phys. Rev., 127, 1273(1962).                                                                  
#    E         dE       f1           df1
     8.720     0.000    0.233E-06    0.588E-07
     9.020     0.000    0.339E-06    0.400E-07
     9.320     0.000    0.469E-06    0.435E-07
     9.620     0.000    0.517E-06    0.353E-07
     9.920     0.000    0.575E-06    0.341E-07
    10.220     0.000    0.693E-06    0.373E-07
    10.520     0.000    0.801E-06    0.370E-07
    10.820     0.000    0.922E-06    0.358E-07
    11.120     0.000    0.112E-05    0.341E-07
    11.420     0.000    0.138E-05    0.663E-07
    11.720     0.000    0.165E-05    0.829E-07
    12.020     0.000    0.204E-05    0.106E-06
    12.320     0.000    0.244E-05    0.683E-07
    12.620     0.000    0.285E-05    0.124E-06
    12.920     0.000    0.319E-05    0.109E-06
    13.220     0.000    0.335E-05    0.100E-06
    13.520     0.000    0.342E-05    0.110E-06
    13.820     0.000    0.335E-05    0.960E-07
    14.120     0.000    0.318E-05    0.915E-07
    14.420     0.000    0.295E-05    0.992E-07
    14.720     0.000    0.262E-05    0.126E-06
    15.020     0.000    0.245E-05    0.129E-06
    15.320     0.000    0.222E-05    0.141E-06
    15.620     0.000    0.197E-05    0.150E-06
    15.920     0.000    0.171E-05    0.159E-06
    16.220     0.000    0.144E-05    0.120E-06
    16.520     0.000    0.118E-05    0.101E-06
    16.820     0.000    0.100E-05    0.835E-07
    17.120     0.000    0.907E-06    0.770E-07
    17.420     0.000    0.807E-06    0.103E-06
    17.720     0.000    0.675E-06    0.131E-06
    18.020     0.000    0.563E-06    0.154E-06
    18.320     0.000    0.530E-06    0.196E-06
    18.620     0.000    0.526E-06    0.245E-06
    18.920     0.000    0.541E-06    0.105E-06
    19.220     0.000    0.533E-06    0.105E-06
    19.520     0.000    0.489E-06    0.137E-06
    19.820     0.000    0.414E-06    0.103E-06
    20.120     0.000    0.341E-06    0.179E-06
    20.420     0.000    0.325E-06    0.102E-06
    20.720     0.000    0.322E-06    0.120E-06
    21.020     0.000    0.294E-06    0.763E-07
    21.320     0.000    0.280E-06    0.124E-06
    21.620     0.000    0.273E-06    0.152E-06
    21.920     0.000    0.222E-06    0.128E-06
    22.220     0.000    0.162E-06    0.155E-06
    22.520     0.000    0.153E-06    0.117E-06
    22.820     0.000    0.146E-06    0.139E-06
    23.120     0.000    0.145E-06    0.117E-06
    23.420     0.000    0.136E-06    0.129E-06
    23.720     0.000    0.142E-06    0.125E-06
    24.020     0.000    0.168E-06    0.146E-06
    24.320     0.000    0.146E-06    0.123E-06
    24.620     0.000    0.881E-07    0.203E-06
