# fe1_exp_079_197_photoneut_1973Sor.dat                  
#
# Z = 79, A =197
# No. of entries:   96
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1973Sor                                                                                                                                              
#    E         dE       f1           df1
     8.400     0.000    0.458E-06    0.000E+00
     8.500     0.000    0.546E-06    0.000E+00
     8.600     0.000    0.472E-06    0.000E+00
     8.700     0.000    0.495E-06    0.000E+00
     8.800     0.000    0.641E-06    0.000E+00
     8.900     0.000    0.568E-06    0.000E+00
     9.000     0.000    0.824E-06    0.000E+00
     9.100     0.000    0.779E-06    0.000E+00
     9.200     0.000    0.734E-06    0.000E+00
     9.300     0.000    0.820E-06    0.000E+00
     9.400     0.000    0.732E-06    0.000E+00
     9.500     0.000    0.101E-05    0.000E+00
     9.600     0.000    0.108E-05    0.000E+00
     9.700     0.000    0.782E-06    0.000E+00
     9.800     0.000    0.912E-06    0.000E+00
     9.900     0.000    0.981E-06    0.000E+00
    10.000     0.000    0.117E-05    0.000E+00
    10.100     0.000    0.106E-05    0.000E+00
    10.200     0.000    0.118E-05    0.000E+00
    10.300     0.000    0.159E-05    0.000E+00
    10.400     0.000    0.165E-05    0.000E+00
    10.500     0.000    0.116E-05    0.000E+00
    10.600     0.000    0.162E-05    0.000E+00
    10.700     0.000    0.192E-05    0.000E+00
    10.800     0.000    0.176E-05    0.000E+00
    10.900     0.000    0.195E-05    0.000E+00
    11.000     0.000    0.177E-05    0.000E+00
    11.100     0.000    0.191E-05    0.000E+00
    11.200     0.000    0.239E-05    0.000E+00
    11.300     0.000    0.264E-05    0.000E+00
    11.400     0.000    0.263E-05    0.000E+00
    11.500     0.000    0.227E-05    0.000E+00
    11.600     0.000    0.267E-05    0.000E+00
    11.700     0.000    0.288E-05    0.000E+00
    11.800     0.000    0.251E-05    0.000E+00
    11.900     0.000    0.281E-05    0.000E+00
    12.000     0.000    0.288E-05    0.000E+00
    12.100     0.000    0.274E-05    0.000E+00
    12.200     0.000    0.326E-05    0.000E+00
    12.300     0.000    0.327E-05    0.000E+00
    12.400     0.000    0.336E-05    0.000E+00
    12.500     0.000    0.372E-05    0.000E+00
    12.600     0.000    0.317E-05    0.000E+00
    12.700     0.000    0.353E-05    0.000E+00
    12.800     0.000    0.377E-05    0.000E+00
    12.900     0.000    0.376E-05    0.000E+00
    13.000     0.000    0.362E-05    0.000E+00
    13.100     0.000    0.378E-05    0.000E+00
    13.200     0.000    0.390E-05    0.000E+00
    13.300     0.000    0.355E-05    0.000E+00
    13.400     0.000    0.337E-05    0.000E+00
    13.500     0.000    0.339E-05    0.000E+00
    13.600     0.000    0.333E-05    0.000E+00
    13.700     0.000    0.317E-05    0.000E+00
    13.800     0.000    0.325E-05    0.000E+00
    13.900     0.000    0.307E-05    0.000E+00
    14.000     0.000    0.311E-05    0.000E+00
    14.100     0.000    0.266E-05    0.000E+00
    14.200     0.000    0.279E-05    0.000E+00
    14.300     0.000    0.253E-05    0.000E+00
    14.400     0.000    0.255E-05    0.000E+00
    14.500     0.000    0.245E-05    0.000E+00
    14.600     0.000    0.252E-05    0.000E+00
    14.700     0.000    0.263E-05    0.000E+00
    14.800     0.000    0.246E-05    0.000E+00
    14.900     0.000    0.259E-05    0.000E+00
    15.000     0.000    0.221E-05    0.000E+00
    15.100     0.000    0.205E-05    0.000E+00
    15.200     0.000    0.188E-05    0.000E+00
    15.300     0.000    0.171E-05    0.000E+00
    15.500     0.000    0.154E-05    0.000E+00
    15.700     0.000    0.136E-05    0.000E+00
    16.000     0.000    0.120E-05    0.000E+00
    16.000     0.000    0.108E-05    0.000E+00
    16.600     0.000    0.941E-06    0.000E+00
    17.000     0.000    0.842E-06    0.000E+00
    17.400     0.000    0.748E-06    0.000E+00
    17.800     0.000    0.648E-06    0.000E+00
    18.200     0.000    0.543E-06    0.000E+00
    18.700     0.000    0.449E-06    0.000E+00
    19.000     0.000    0.389E-06    0.000E+00
    19.400     0.000    0.351E-06    0.000E+00
    19.900     0.000    0.330E-06    0.000E+00
    20.400     0.000    0.306E-06    0.000E+00
    20.800     0.000    0.228E-06    0.000E+00
    21.200     0.000    0.259E-06    0.000E+00
    21.600     0.000    0.227E-06    0.000E+00
    22.200     0.000    0.229E-06    0.000E+00
    22.600     0.000    0.210E-06    0.000E+00
    23.000     0.000    0.217E-06    0.000E+00
    23.400     0.000    0.245E-06    0.000E+00
    23.900     0.000    0.191E-06    0.000E+00
    24.300     0.000    0.209E-06    0.000E+00
    24.800     0.000    0.198E-06    0.000E+00
    25.000     0.000    0.153E-06    0.000E+00
    25.500     0.000    0.156E-06    0.000E+00
