# fe1_exp_079_197_photoneut_2010Var.dat                  
#
# Z = 79, A =197
# No. of entries:   41
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:  .V.Varlamov,B.S.Ishkhanov,V.N.Orlin,S.Yu.Troshchiev                                                                                                   
#    E         dE       f1           df1
    14.680     0.000    0.236E-07    0.000E+00
    14.980     0.000    0.944E-06    0.000E+00
    15.280     0.000    0.331E-05    0.000E+00
    15.580     0.000    0.538E-05    0.000E+00
    15.880     0.000    0.661E-05    0.000E+00
    16.180     0.000    0.724E-05    0.000E+00
    16.480     0.000    0.735E-05    0.000E+00
    16.780     0.000    0.699E-05    0.000E+00
    17.080     0.000    0.642E-05    0.000E+00
    17.380     0.000    0.620E-05    0.000E+00
    17.680     0.000    0.604E-05    0.000E+00
    17.980     0.000    0.560E-05    0.000E+00
    18.280     0.000    0.499E-05    0.000E+00
    18.580     0.000    0.460E-05    0.000E+00
    18.880     0.000    0.426E-05    0.000E+00
    19.180     0.000    0.401E-05    0.000E+00
    19.480     0.000    0.370E-05    0.000E+00
    19.780     0.000    0.272E-05    0.000E+00
    20.080     0.000    0.255E-05    0.000E+00
    20.380     0.000    0.229E-05    0.000E+00
    20.680     0.000    0.205E-05    0.000E+00
    20.980     0.000    0.187E-05    0.000E+00
    21.280     0.000    0.188E-05    0.000E+00
    21.580     0.000    0.182E-05    0.000E+00
    21.880     0.000    0.182E-05    0.000E+00
    22.180     0.000    0.178E-05    0.000E+00
    22.480     0.000    0.167E-05    0.000E+00
    22.780     0.000    0.172E-05    0.000E+00
    23.080     0.000    0.169E-05    0.000E+00
    23.380     0.000    0.163E-05    0.000E+00
    23.680     0.000    0.141E-05    0.000E+00
    23.980     0.000    0.137E-05    0.000E+00
    24.280     0.000    0.133E-05    0.000E+00
    24.580     0.000    0.124E-05    0.000E+00
    24.880     0.000    0.107E-05    0.000E+00
    25.180     0.000    0.841E-06    0.000E+00
    25.480     0.000    0.599E-06    0.000E+00
    25.780     0.000    0.646E-06    0.000E+00
    26.080     0.000    0.652E-06    0.000E+00
    26.380     0.000    0.572E-06    0.000E+00
    26.680     0.000    0.491E-06    0.000E+00
