# fe1_exp_079_197_photoneut_2011Ito.dat                  
#
# Z = 79, A =197
# No. of entries:   27
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:    (O.Itoh, H.Utsunomiya, H.Akimune, T.Kondo, M.Kamata,   (J,NST,48,(5),834,2011)                                                                      
#    E         dE       f1           df1
     8.420     0.000    0.355E-06    0.164E-07
     8.600     0.000    0.359E-06    0.162E-07
     8.750     0.000    0.380E-06    0.252E-07
     8.880     0.000    0.404E-06    0.182E-07
     8.940     0.000    0.419E-06    0.188E-07
     9.010     0.000    0.432E-06    0.195E-07
     9.100     0.000    0.431E-06    0.256E-07
     9.100     0.000    0.454E-06    0.205E-07
     9.150     0.000    0.458E-06    0.209E-07
     9.220     0.000    0.480E-06    0.218E-07
     9.360     0.000    0.473E-06    0.228E-07
     9.420     0.000    0.528E-06    0.274E-07
     9.530     0.000    0.598E-06    0.281E-07
     9.640     0.000    0.541E-06    0.287E-07
     9.810     0.000    0.615E-06    0.287E-07
    10.010     0.000    0.608E-06    0.288E-07
    10.350     0.000    0.757E-06    0.367E-07
    10.550     0.000    0.861E-06    0.398E-07
    10.970     0.000    0.123E-05    0.563E-07
    11.380     0.000    0.154E-05    0.697E-07
    11.750     0.000    0.187E-05    0.845E-07
    11.890     0.000    0.194E-05    0.865E-07
    12.110     0.000    0.222E-05    0.987E-07
    12.420     0.000    0.257E-05    0.114E-06
    12.680     0.000    0.287E-05    0.127E-06
    12.880     0.000    0.308E-05    0.137E-06
    13.140     0.000    0.334E-05    0.148E-06
