# fe1_exp_082_206_photoneut_1964Ha2.dat                  
#
# Z = 82, A =206
# No. of entries:   78
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1964Ha2  R. R. Harvey, J. T. Caldwell, R. L. Bramblett, Phys. Rev., 136, B126(1964).                                                                 
#    E         dE       f1           df1
     8.168     0.000    0.478E-06    0.743E-07
     8.478     0.000    0.593E-06    0.716E-07
     8.788     0.000    0.523E-06    0.493E-07
     9.097     0.000    0.629E-06    0.477E-07
     9.407     0.000    0.590E-06    0.553E-07
     9.562     0.000    0.689E-06    0.544E-07
     9.717     0.000    0.902E-06    0.714E-07
     9.872     0.000    0.773E-06    0.527E-07
    10.026     0.000    0.934E-06    0.692E-07
    10.255     0.000    0.795E-06    0.507E-07
    10.410     0.000    0.102E-05    0.667E-07
    10.565     0.000    0.993E-06    0.575E-07
    10.720     0.000    0.121E-05    0.728E-07
    10.875     0.000    0.118E-05    0.558E-07
    10.956     0.000    0.143E-05    0.792E-07
    11.110     0.000    0.137E-05    0.703E-07
    11.265     0.000    0.175E-05    0.847E-07
    11.494     0.000    0.158E-05    0.755E-07
    11.649     0.000    0.181E-05    0.596E-07
    11.730     0.000    0.202E-05    0.813E-07
    11.885     0.000    0.197E-05    0.584E-07
    12.039     0.000    0.218E-05    0.720E-07
    12.194     0.000    0.217E-05    0.498E-07
    12.349     0.000    0.247E-05    0.843E-07
    12.504     0.000    0.262E-05    0.694E-07
    12.659     0.000    0.271E-05    0.123E-06
    12.814     0.000    0.280E-05    0.677E-07
    12.969     0.000    0.310E-05    0.100E-06
    13.123     0.000    0.309E-05    0.727E-07
    13.278     0.000    0.331E-05    0.131E-06
    13.433     0.000    0.329E-05    0.646E-07
    13.588     0.000    0.333E-05    0.128E-06
    13.743     0.000    0.335E-05    0.820E-07
    13.898     0.000    0.307E-05    0.125E-06
    14.053     0.000    0.306E-05    0.741E-07
    14.207     0.000    0.286E-05    0.855E-07
    14.362     0.000    0.275E-05    0.604E-07
    14.517     0.000    0.252E-05    0.836E-07
    14.672     0.000    0.242E-05    0.591E-07
    14.827     0.000    0.229E-05    0.819E-07
    14.982     0.000    0.203E-05    0.521E-07
    15.136     0.000    0.206E-05    0.802E-07
    15.291     0.000    0.173E-05    0.454E-07
    15.446     0.000    0.141E-05    0.786E-07
    15.601     0.000    0.147E-05    0.556E-07
    15.756     0.000    0.134E-05    0.881E-07
    15.911     0.000    0.115E-05    0.545E-07
    16.220     0.000    0.104E-05    0.428E-07
    16.375     0.000    0.821E-06    0.795E-07
    16.530     0.000    0.782E-06    0.420E-07
    16.685     0.000    0.655E-06    0.676E-07
    16.840     0.000    0.721E-06    0.412E-07
    16.995     0.000    0.771E-06    0.663E-07
    17.150     0.000    0.728E-06    0.303E-07
    17.304     0.000    0.521E-06    0.702E-07
    17.459     0.000    0.691E-06    0.348E-07
    17.614     0.000    0.645E-06    0.640E-07
    17.769     0.000    0.610E-06    0.391E-07
    17.924     0.000    0.421E-06    0.629E-07
    18.079     0.000    0.465E-06    0.384E-07
    18.233     0.000    0.495E-06    0.666E-07
    18.388     0.000    0.472E-06    0.425E-07
    18.543     0.000    0.449E-06    0.655E-07
    18.698     0.000    0.455E-06    0.371E-07
    19.008     0.000    0.470E-06    0.456E-07
    19.317     0.000    0.480E-06    0.494E-07
    19.627     0.000    0.429E-06    0.486E-07
    19.937     0.000    0.274E-06    0.522E-07
    20.247     0.000    0.313E-06    0.514E-07
    20.556     0.000    0.249E-06    0.506E-07
    20.866     0.000    0.308E-06    0.499E-07
    21.176     0.000    0.213E-06    0.492E-07
    21.485     0.000    0.238E-06    0.484E-07
    21.795     0.000    0.271E-06    0.517E-07
    22.105     0.000    0.294E-06    0.589E-07
    22.414     0.000    0.255E-06    0.503E-07
    22.724     0.000    0.386E-06    0.534E-07
    23.034     0.000    0.233E-06    0.527E-07
