# fe1_exp_082_206_photoneut_1973Sor.dat                  
#
# Z = 82, A =206
# No. of entries:  104
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1973Sor                                                                                                                                              
#    E         dE       f1           df1
     8.160     0.000    0.260E-06    0.000E+00
     8.250     0.000    0.304E-06    0.000E+00
     8.370     0.000    0.273E-06    0.000E+00
     8.450     0.000    0.423E-06    0.000E+00
     8.590     0.000    0.381E-06    0.000E+00
     8.670     0.000    0.412E-06    0.000E+00
     8.770     0.000    0.399E-06    0.000E+00
     8.880     0.000    0.471E-06    0.000E+00
     8.970     0.000    0.415E-06    0.000E+00
     9.070     0.000    0.494E-06    0.000E+00
     9.200     0.000    0.504E-06    0.000E+00
     9.280     0.000    0.614E-06    0.000E+00
     9.390     0.000    0.648E-06    0.000E+00
     9.490     0.000    0.537E-06    0.000E+00
     9.570     0.000    0.604E-06    0.000E+00
     9.690     0.000    0.683E-06    0.000E+00
     9.780     0.000    0.723E-06    0.000E+00
     9.890     0.000    0.784E-06    0.000E+00
    10.000     0.000    0.867E-06    0.000E+00
    10.100     0.000    0.919E-06    0.000E+00
    10.200     0.000    0.103E-05    0.000E+00
    10.300     0.000    0.111E-05    0.000E+00
    10.400     0.000    0.107E-05    0.000E+00
    10.500     0.000    0.135E-05    0.000E+00
    10.600     0.000    0.128E-05    0.000E+00
    10.700     0.000    0.146E-05    0.000E+00
    10.800     0.000    0.158E-05    0.000E+00
    10.900     0.000    0.162E-05    0.000E+00
    11.000     0.000    0.165E-05    0.000E+00
    11.100     0.000    0.187E-05    0.000E+00
    11.200     0.000    0.172E-05    0.000E+00
    11.300     0.000    0.180E-05    0.000E+00
    11.400     0.000    0.205E-05    0.000E+00
    11.500     0.000    0.193E-05    0.000E+00
    11.600     0.000    0.216E-05    0.000E+00
    11.700     0.000    0.227E-05    0.000E+00
    11.800     0.000    0.210E-05    0.000E+00
    11.900     0.000    0.246E-05    0.000E+00
    12.000     0.000    0.236E-05    0.000E+00
    12.100     0.000    0.239E-05    0.000E+00
    12.200     0.000    0.258E-05    0.000E+00
    12.300     0.000    0.265E-05    0.000E+00
    12.400     0.000    0.250E-05    0.000E+00
    12.500     0.000    0.289E-05    0.000E+00
    12.600     0.000    0.272E-05    0.000E+00
    12.700     0.000    0.283E-05    0.000E+00
    12.800     0.000    0.287E-05    0.000E+00
    12.900     0.000    0.269E-05    0.000E+00
    13.000     0.000    0.289E-05    0.000E+00
    13.100     0.000    0.300E-05    0.000E+00
    13.200     0.000    0.283E-05    0.000E+00
    13.300     0.000    0.289E-05    0.000E+00
    13.400     0.000    0.296E-05    0.000E+00
    13.500     0.000    0.270E-05    0.000E+00
    13.600     0.000    0.279E-05    0.000E+00
    13.700     0.000    0.271E-05    0.000E+00
    13.800     0.000    0.256E-05    0.000E+00
    13.900     0.000    0.268E-05    0.000E+00
    14.100     0.000    0.265E-05    0.000E+00
    14.200     0.000    0.260E-05    0.000E+00
    14.300     0.000    0.249E-05    0.000E+00
    14.400     0.000    0.242E-05    0.000E+00
    14.500     0.000    0.254E-05    0.000E+00
    14.600     0.000    0.239E-05    0.000E+00
    14.700     0.000    0.242E-05    0.000E+00
    14.800     0.000    0.248E-05    0.000E+00
    14.900     0.000    0.219E-05    0.000E+00
    15.000     0.000    0.231E-05    0.000E+00
    15.100     0.000    0.209E-05    0.000E+00
    15.300     0.000    0.190E-05    0.000E+00
    15.400     0.000    0.175E-05    0.000E+00
    15.500     0.000    0.162E-05    0.000E+00
    15.600     0.000    0.148E-05    0.000E+00
    15.700     0.000    0.135E-05    0.000E+00
    15.900     0.000    0.123E-05    0.000E+00
    16.000     0.000    0.111E-05    0.000E+00
    16.200     0.000    0.991E-06    0.000E+00
    16.300     0.000    0.873E-06    0.000E+00
    16.500     0.000    0.757E-06    0.000E+00
    16.700     0.000    0.649E-06    0.000E+00
    16.900     0.000    0.554E-06    0.000E+00
    17.100     0.000    0.471E-06    0.000E+00
    17.300     0.000    0.405E-06    0.000E+00
    17.500     0.000    0.347E-06    0.000E+00
    17.800     0.000    0.329E-06    0.000E+00
    18.100     0.000    0.345E-06    0.000E+00
    18.400     0.000    0.335E-06    0.000E+00
    18.700     0.000    0.305E-06    0.000E+00
    19.000     0.000    0.268E-06    0.000E+00
    19.300     0.000    0.236E-06    0.000E+00
    19.700     0.000    0.201E-06    0.000E+00
    20.000     0.000    0.194E-06    0.000E+00
    20.300     0.000    0.195E-06    0.000E+00
    20.500     0.000    0.193E-06    0.000E+00
    20.800     0.000    0.197E-06    0.000E+00
    21.000     0.000    0.214E-06    0.000E+00
    21.300     0.000    0.189E-06    0.000E+00
    21.500     0.000    0.194E-06    0.000E+00
    21.800     0.000    0.234E-06    0.000E+00
    22.100     0.000    0.261E-06    0.000E+00
    22.300     0.000    0.259E-06    0.000E+00
    22.600     0.000    0.208E-06    0.000E+00
    22.800     0.000    0.167E-06    0.000E+00
    23.100     0.000    0.148E-06    0.000E+00
