# fe1_exp_082_208_photoneut_1970Ve1.dat                  
#
# Z = 82, A =208
# No. of entries:   54
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1970Ve1  A. Veyssiere, H. Beil, R. Bergere, P. Carlos, Nucl. Phys. A159, 561(1970).                                                                  
#    E         dE       f1           df1
     7.500     0.000    0.265E-06    0.253E-07
     7.800     0.000    0.292E-06    0.201E-07
     8.100     0.000    0.309E-06    0.206E-07
     8.400     0.000    0.323E-06    0.217E-07
     8.700     0.000    0.361E-06    0.244E-07
     9.000     0.000    0.459E-06    0.261E-07
     9.300     0.000    0.591E-06    0.276E-07
     9.600     0.000    0.730E-06    0.280E-07
     9.900     0.000    0.929E-06    0.288E-07
    10.200     0.000    0.105E-05    0.295E-07
    10.500     0.000    0.131E-05    0.303E-07
    10.800     0.000    0.165E-05    0.304E-07
    11.100     0.000    0.213E-05    0.313E-07
    11.400     0.000    0.240E-05    0.313E-07
    11.700     0.000    0.270E-05    0.314E-07
    12.000     0.000    0.299E-05    0.327E-07
    12.300     0.000    0.324E-05    0.358E-07
    12.600     0.000    0.359E-05    0.418E-07
    12.900     0.000    0.391E-05    0.820E-07
    13.200     0.000    0.409E-05    0.861E-07
    13.500     0.000    0.409E-05    0.938E-07
    13.800     0.000    0.390E-05    0.855E-07
    14.100     0.000    0.363E-05    0.830E-07
    14.400     0.000    0.323E-05    0.801E-07
    14.700     0.000    0.281E-05    0.832E-07
    15.000     0.000    0.243E-05    0.821E-07
    15.300     0.000    0.206E-05    0.845E-07
    15.600     0.000    0.177E-05    0.845E-07
    15.900     0.000    0.148E-05    0.824E-07
    16.200     0.000    0.126E-05    0.835E-07
    16.500     0.000    0.109E-05    0.825E-07
    16.800     0.000    0.960E-06    0.795E-07
    17.100     0.000    0.852E-06    0.791E-07
    17.400     0.000    0.748E-06    0.788E-07
    17.700     0.000    0.671E-06    0.779E-07
    18.000     0.000    0.612E-06    0.771E-07
    18.300     0.000    0.545E-06    0.768E-07
    18.600     0.000    0.490E-06    0.755E-07
    18.900     0.000    0.446E-06    0.766E-07
    19.200     0.000    0.403E-06    0.777E-07
    19.500     0.000    0.358E-06    0.770E-07
    19.800     0.000    0.328E-06    0.767E-07
    20.100     0.000    0.321E-06    0.759E-07
    20.400     0.000    0.307E-06    0.753E-07
    20.700     0.000    0.285E-06    0.792E-07
    21.000     0.000    0.179E-06    0.246E-07
    21.300     0.000    0.179E-06    0.247E-07
    21.600     0.000    0.194E-06    0.240E-07
    21.900     0.000    0.183E-06    0.240E-07
    22.200     0.000    0.164E-06    0.238E-07
    22.500     0.000    0.139E-06    0.232E-07
    22.800     0.000    0.144E-06    0.335E-07
    23.100     0.000    0.153E-06    0.318E-07
    23.400     0.000    0.152E-06    0.327E-07
