# fe1_exp_082_208_photoneut_1972You.dat                  
#
# Z = 82, A =208
# No. of entries:   58
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1972You   L. M. Young, Ph.D. Thesis, University of Illi                                                                                              
#    E         dE       f1           df1
     8.955     0.000    0.328E-06    0.600E-07
     9.013     0.000    0.348E-06    0.640E-07
     9.095     0.000    0.525E-06    0.649E-07
     9.180     0.000    0.481E-06    0.585E-07
     9.287     0.000    0.530E-06    0.578E-07
     9.395     0.000    0.656E-06    0.703E-07
     9.485     0.000    0.638E-06    0.721E-07
     9.600     0.000    0.441E-06    0.679E-07
     9.704     0.000    0.812E-06    0.759E-07
     9.800     0.000    0.602E-06    0.843E-07
     9.875     0.000    0.656E-06    0.694E-08
     9.929     0.000    0.800E-06    0.747E-07
     9.950     0.000    0.104E-05    0.915E-08
    10.005     0.000    0.115E-05    0.825E-07
    10.090     0.000    0.920E-06    0.810E-07
    10.188     0.000    0.629E-06    0.736E-07
    10.297     0.000    0.842E-06    0.810E-07
    10.419     0.000    0.974E-06    0.698E-07
    10.526     0.000    0.140E-05    0.700E-08
    10.629     0.000    0.996E-06    0.760E-07
    10.735     0.000    0.125E-05    0.126E-07
    10.844     0.000    0.154E-05    0.235E-07
    10.934     0.000    0.896E-06    0.201E-07
    11.019     0.000    0.139E-05    0.316E-07
    11.230     0.000    0.234E-05    0.633E-07
    11.305     0.000    0.246E-05    0.597E-07
    11.401     0.000    0.208E-05    0.565E-07
    11.510     0.000    0.206E-05    0.494E-07
    11.626     0.000    0.224E-05    0.519E-07
    11.749     0.000    0.214E-05    0.495E-07
    11.872     0.000    0.239E-05    0.606E-07
    11.993     0.000    0.250E-05    0.559E-07
    12.113     0.000    0.253E-05    0.641E-07
    12.152     0.000    0.293E-05    0.101E-07
    12.245     0.000    0.307E-05    0.115E-07
    12.251     0.000    0.291E-05    0.295E-07
    12.338     0.000    0.309E-05    0.103E-07
    12.460     0.000    0.318E-05    0.120E-07
    12.580     0.000    0.339E-05    0.143E-07
    12.717     0.000    0.340E-05    0.928E-08
    12.863     0.000    0.370E-05    0.136E-07
    12.993     0.000    0.401E-05    0.162E-07
    13.120     0.000    0.415E-05    0.242E-07
    13.231     0.000    0.419E-05    0.290E-07
    13.340     0.000    0.424E-05    0.295E-07
    13.444     0.000    0.394E-05    0.190E-07
    13.453     0.000    0.403E-05    0.748E-08
    13.539     0.000    0.398E-05    0.163E-07
    13.645     0.000    0.447E-05    0.223E-07
    13.766     0.000    0.397E-05    0.195E-07
    13.913     0.000    0.395E-05    0.209E-07
    14.043     0.000    0.383E-05    0.138E-07
