# fe1_exp_082_208_photoneut_1973Sor.dat                  
#
# Z = 82, A =208
# No. of entries:  111
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:  1973Sor                                                                                                                                               
#    E         dE       f1           df1
     7.430     0.000    0.102E-06    0.000E+00
     7.570     0.000    0.102E-06    0.000E+00
     7.640     0.000    0.175E-06    0.000E+00
     7.760     0.000    0.215E-06    0.000E+00
     7.860     0.000    0.295E-06    0.000E+00
     7.980     0.000    0.383E-06    0.000E+00
     8.070     0.000    0.359E-06    0.000E+00
     8.170     0.000    0.315E-06    0.000E+00
     8.280     0.000    0.439E-06    0.000E+00
     8.380     0.000    0.348E-06    0.000E+00
     8.490     0.000    0.563E-06    0.000E+00
     8.590     0.000    0.595E-06    0.000E+00
     8.700     0.000    0.495E-06    0.000E+00
     8.820     0.000    0.499E-06    0.000E+00
     8.910     0.000    0.521E-06    0.000E+00
     8.990     0.000    0.490E-06    0.000E+00
     9.110     0.000    0.662E-06    0.000E+00
     9.240     0.000    0.645E-06    0.000E+00
     9.310     0.000    0.640E-06    0.000E+00
     9.430     0.000    0.727E-06    0.000E+00
     9.520     0.000    0.763E-06    0.000E+00
     9.590     0.000    0.640E-06    0.000E+00
     9.730     0.000    0.936E-06    0.000E+00
     9.830     0.000    0.909E-06    0.000E+00
     9.950     0.000    0.103E-05    0.000E+00
    10.000     0.000    0.124E-05    0.000E+00
    10.100     0.000    0.109E-05    0.000E+00
    10.200     0.000    0.129E-05    0.000E+00
    10.300     0.000    0.142E-05    0.000E+00
    10.400     0.000    0.141E-05    0.000E+00
    10.600     0.000    0.156E-05    0.000E+00
    10.600     0.000    0.167E-05    0.000E+00
    10.700     0.000    0.155E-05    0.000E+00
    10.900     0.000    0.162E-05    0.000E+00
    10.900     0.000    0.189E-05    0.000E+00
    11.000     0.000    0.181E-05    0.000E+00
    11.100     0.000    0.214E-05    0.000E+00
    11.200     0.000    0.197E-05    0.000E+00
    11.300     0.000    0.221E-05    0.000E+00
    11.400     0.000    0.215E-05    0.000E+00
    11.500     0.000    0.219E-05    0.000E+00
    11.600     0.000    0.229E-05    0.000E+00
    11.800     0.000    0.253E-05    0.000E+00
    11.800     0.000    0.266E-05    0.000E+00
    11.900     0.000    0.258E-05    0.000E+00
    12.000     0.000    0.269E-05    0.000E+00
    12.100     0.000    0.267E-05    0.000E+00
    12.200     0.000    0.286E-05    0.000E+00
    12.300     0.000    0.288E-05    0.000E+00
    12.400     0.000    0.314E-05    0.000E+00
    12.500     0.000    0.312E-05    0.000E+00
    12.600     0.000    0.326E-05    0.000E+00
    12.700     0.000    0.307E-05    0.000E+00
    12.800     0.000    0.301E-05    0.000E+00
    12.900     0.000    0.302E-05    0.000E+00
    13.000     0.000    0.318E-05    0.000E+00
    13.100     0.000    0.341E-05    0.000E+00
    13.200     0.000    0.321E-05    0.000E+00
    13.300     0.000    0.303E-05    0.000E+00
    13.400     0.000    0.312E-05    0.000E+00
    13.500     0.000    0.308E-05    0.000E+00
    13.600     0.000    0.302E-05    0.000E+00
    13.700     0.000    0.310E-05    0.000E+00
    13.800     0.000    0.300E-05    0.000E+00
    13.900     0.000    0.308E-05    0.000E+00
    14.000     0.000    0.309E-05    0.000E+00
    14.100     0.000    0.260E-05    0.000E+00
    14.200     0.000    0.291E-05    0.000E+00
    14.300     0.000    0.293E-05    0.000E+00
    14.400     0.000    0.272E-05    0.000E+00
    14.600     0.000    0.257E-05    0.000E+00
    14.600     0.000    0.244E-05    0.000E+00
    14.800     0.000    0.229E-05    0.000E+00
    14.900     0.000    0.219E-05    0.000E+00
    15.100     0.000    0.203E-05    0.000E+00
    15.200     0.000    0.187E-05    0.000E+00
    15.300     0.000    0.172E-05    0.000E+00
    15.500     0.000    0.155E-05    0.000E+00
    15.600     0.000    0.140E-05    0.000E+00
    15.700     0.000    0.128E-05    0.000E+00
    15.900     0.000    0.113E-05    0.000E+00
    16.100     0.000    0.102E-05    0.000E+00
    16.200     0.000    0.932E-06    0.000E+00
    16.500     0.000    0.810E-06    0.000E+00
    16.700     0.000    0.706E-06    0.000E+00
    17.000     0.000    0.607E-06    0.000E+00
    17.300     0.000    0.546E-06    0.000E+00
    17.400     0.000    0.498E-06    0.000E+00
    17.700     0.000    0.445E-06    0.000E+00
    18.000     0.000    0.367E-06    0.000E+00
    18.300     0.000    0.296E-06    0.000E+00
    18.600     0.000    0.266E-06    0.000E+00
    18.900     0.000    0.271E-06    0.000E+00
    19.100     0.000    0.299E-06    0.000E+00
    19.400     0.000    0.341E-06    0.000E+00
    19.700     0.000    0.357E-06    0.000E+00
    20.000     0.000    0.332E-06    0.000E+00
    20.200     0.000    0.282E-06    0.000E+00
    20.500     0.000    0.239E-06    0.000E+00
    20.800     0.000    0.229E-06    0.000E+00
    21.000     0.000    0.231E-06    0.000E+00
    21.200     0.000    0.268E-06    0.000E+00
    21.300     0.000    0.297E-06    0.000E+00
    21.600     0.000    0.305E-06    0.000E+00
    21.900     0.000    0.284E-06    0.000E+00
    22.200     0.000    0.255E-06    0.000E+00
    22.500     0.000    0.249E-06    0.000E+00
    22.800     0.000    0.264E-06    0.000E+00
    23.000     0.000    0.290E-06    0.000E+00
    23.300     0.000    0.315E-06    0.000E+00
    23.600     0.000    0.295E-06    0.000E+00
