# fe1_exp_082_208_photoneut_1995Bel.dat                  
#
# Z = 82, A =208
# No. of entries:  252
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1995Bel                                                                                                                                              
#    E         dE       f1           df1
     7.409     0.000    0.461E-06    0.468E-07
     7.465     0.000    0.626E-06    0.488E-07
     7.521     0.000    0.675E-06    0.531E-07
     7.576     0.000    0.607E-06    0.550E-07
     7.632     0.000    0.466E-06    0.568E-07
     7.688     0.000    0.333E-06    0.598E-07
     7.743     0.000    0.265E-06    0.627E-07
     7.799     0.000    0.262E-06    0.634E-07
     7.854     0.000    0.296E-06    0.641E-07
     7.910     0.000    0.330E-06    0.658E-07
     7.966     0.000    0.353E-06    0.664E-07
     8.021     0.000    0.341E-06    0.660E-07
     8.077     0.000    0.287E-06    0.666E-07
     8.133     0.000    0.264E-06    0.683E-07
     8.188     0.000    0.297E-06    0.699E-07
     8.244     0.000    0.356E-06    0.715E-07
     8.300     0.000    0.391E-06    0.721E-07
     8.355     0.000    0.391E-06    0.737E-07
     8.411     0.000    0.377E-06    0.753E-07
     8.467     0.000    0.375E-06    0.768E-07
     8.522     0.000    0.385E-06    0.774E-07
     8.578     0.000    0.386E-06    0.789E-07
     8.633     0.000    0.377E-06    0.794E-07
     8.689     0.000    0.357E-06    0.809E-07
     8.745     0.000    0.339E-06    0.813E-07
     8.800     0.000    0.332E-06    0.818E-07
     8.856     0.000    0.344E-06    0.833E-07
     8.912     0.000    0.388E-06    0.837E-07
     8.967     0.000    0.461E-06    0.842E-07
     9.023     0.000    0.554E-06    0.856E-07
     9.079     0.000    0.658E-06    0.869E-07
     9.134     0.000    0.764E-06    0.874E-07
     9.190     0.000    0.854E-06    0.878E-07
     9.246     0.000    0.911E-06    0.891E-07
     9.301     0.000    0.924E-06    0.895E-07
     9.357     0.000    0.895E-06    0.908E-07
     9.412     0.000    0.823E-06    0.912E-07
     9.468     0.000    0.717E-06    0.916E-07
     9.524     0.000    0.602E-06    0.920E-07
     9.579     0.000    0.514E-06    0.933E-07
     9.635     0.000    0.485E-06    0.936E-07
     9.691     0.000    0.533E-06    0.940E-07
     9.746     0.000    0.645E-06    0.943E-07
     9.802     0.000    0.803E-06    0.956E-07
     9.858     0.000    0.977E-06    0.959E-07
     9.913     0.000    0.112E-05    0.971E-07
     9.969     0.000    0.124E-05    0.983E-07
    10.025     0.000    0.131E-05    0.995E-07
    10.080     0.000    0.133E-05    0.998E-07
    10.136     0.000    0.130E-05    0.101E-06
    10.191     0.000    0.124E-05    0.101E-06
    10.247     0.000    0.117E-05    0.102E-06
    10.303     0.000    0.110E-05    0.104E-06
    10.358     0.000    0.106E-05    0.105E-06
    10.414     0.000    0.106E-05    0.106E-06
    10.470     0.000    0.109E-05    0.107E-06
    10.525     0.000    0.116E-05    0.107E-06
    10.581     0.000    0.124E-05    0.108E-06
    10.637     0.000    0.131E-05    0.108E-06
    10.692     0.000    0.138E-05    0.110E-06
    10.748     0.000    0.143E-05    0.110E-06
    10.804     0.000    0.147E-05    0.111E-06
    10.859     0.000    0.150E-05    0.112E-06
    10.915     0.000    0.153E-05    0.113E-06
    10.970     0.000    0.158E-05    0.114E-06
    11.026     0.000    0.165E-05    0.115E-06
    11.082     0.000    0.175E-05    0.116E-06
    11.137     0.000    0.188E-05    0.117E-06
    11.193     0.000    0.205E-05    0.117E-06
    11.249     0.000    0.221E-05    0.118E-06
    11.304     0.000    0.236E-05    0.118E-06
    11.360     0.000    0.247E-05    0.119E-06
    11.416     0.000    0.255E-05    0.121E-06
    11.471     0.000    0.257E-05    0.122E-06
    11.527     0.000    0.256E-05    0.123E-06
    11.582     0.000    0.252E-05    0.124E-06
    11.638     0.000    0.245E-05    0.124E-06
    11.694     0.000    0.238E-05    0.125E-06
    11.749     0.000    0.233E-05    0.127E-06
    11.805     0.000    0.231E-05    0.128E-06
    11.861     0.000    0.233E-05    0.129E-06
    11.916     0.000    0.237E-05    0.129E-06
    11.972     0.000    0.245E-05    0.130E-06
    12.028     0.000    0.255E-05    0.131E-06
    12.083     0.000    0.266E-05    0.131E-06
    12.139     0.000    0.278E-05    0.133E-06
    12.195     0.000    0.288E-05    0.134E-06
    12.250     0.000    0.297E-05    0.135E-06
    12.306     0.000    0.303E-05    0.137E-06
    12.361     0.000    0.307E-05    0.138E-06
    12.417     0.000    0.309E-05    0.138E-06
    12.473     0.000    0.309E-05    0.139E-06
    12.528     0.000    0.308E-05    0.140E-06
    12.584     0.000    0.308E-05    0.141E-06
    12.640     0.000    0.309E-05    0.141E-06
    12.695     0.000    0.312E-05    0.141E-06
    12.718     0.000    0.318E-05    0.532E-07
    12.789     0.000    0.328E-05    0.400E-07
    12.859     0.000    0.339E-05    0.418E-07
    12.930     0.000    0.349E-05    0.496E-07
    13.000     0.000    0.359E-05    0.560E-07
    13.071     0.000    0.368E-05    0.591E-07
    13.141     0.000    0.375E-05    0.601E-07
    13.212     0.000    0.379E-05    0.597E-07
    13.282     0.000    0.384E-05    0.581E-07
    13.353     0.000    0.386E-05    0.565E-07
    13.423     0.000    0.388E-05    0.549E-07
    13.494     0.000    0.388E-05    0.546E-07
    13.564     0.000    0.388E-05    0.550E-07
    13.635     0.000    0.385E-05    0.553E-07
    13.705     0.000    0.382E-05    0.557E-07
    13.776     0.000    0.377E-05    0.567E-07
    13.846     0.000    0.371E-05    0.570E-07
    13.916     0.000    0.364E-05    0.567E-07
    13.987     0.000    0.356E-05    0.571E-07
    14.057     0.000    0.347E-05    0.568E-07
    14.128     0.000    0.338E-05    0.571E-07
    14.198     0.000    0.327E-05    0.568E-07
    14.269     0.000    0.315E-05    0.571E-07
    14.339     0.000    0.303E-05    0.575E-07
    14.410     0.000    0.290E-05    0.572E-07
    14.480     0.000    0.278E-05    0.575E-07
    14.551     0.000    0.266E-05    0.572E-07
    14.621     0.000    0.254E-05    0.575E-07
    14.692     0.000    0.243E-05    0.573E-07
    14.762     0.000    0.232E-05    0.576E-07
    14.833     0.000    0.222E-05    0.573E-07
    14.903     0.000    0.214E-05    0.570E-07
    14.973     0.000    0.205E-05    0.573E-07
    15.044     0.000    0.197E-05    0.571E-07
    15.114     0.000    0.189E-05    0.568E-07
    15.185     0.000    0.182E-05    0.571E-07
    15.255     0.000    0.175E-05    0.569E-07
    15.326     0.000    0.168E-05    0.566E-07
    15.396     0.000    0.161E-05    0.563E-07
    15.467     0.000    0.155E-05    0.561E-07
    15.537     0.000    0.148E-05    0.558E-07
    15.608     0.000    0.142E-05    0.556E-07
    15.678     0.000    0.136E-05    0.553E-07
    15.749     0.000    0.131E-05    0.551E-07
    15.819     0.000    0.126E-05    0.548E-07
    15.890     0.000    0.121E-05    0.546E-07
    15.960     0.000    0.117E-05    0.543E-07
    16.030     0.000    0.113E-05    0.541E-07
    16.101     0.000    0.109E-05    0.539E-07
    16.171     0.000    0.105E-05    0.542E-07
    16.242     0.000    0.101E-05    0.539E-07
    16.312     0.000    0.973E-06    0.537E-07
    16.383     0.000    0.937E-06    0.535E-07
    16.453     0.000    0.901E-06    0.532E-07
    16.524     0.000    0.866E-06    0.530E-07
    16.594     0.000    0.831E-06    0.528E-07
    16.665     0.000    0.802E-06    0.526E-07
    16.735     0.000    0.767E-06    0.523E-07
    16.806     0.000    0.738E-06    0.521E-07
    16.876     0.000    0.709E-06    0.519E-07
    16.947     0.000    0.681E-06    0.522E-07
    17.017     0.000    0.658E-06    0.520E-07
    17.087     0.000    0.635E-06    0.518E-07
    17.158     0.000    0.617E-06    0.516E-07
    17.228     0.000    0.604E-06    0.514E-07
    17.299     0.000    0.592E-06    0.511E-07
    17.369     0.000    0.584E-06    0.509E-07
    17.440     0.000    0.577E-06    0.507E-07
    17.510     0.000    0.575E-06    0.505E-07
    17.581     0.000    0.567E-06    0.503E-07
    17.651     0.000    0.565E-06    0.501E-07
    17.722     0.000    0.558E-06    0.499E-07
    17.792     0.000    0.551E-06    0.502E-07
    17.863     0.000    0.539E-06    0.500E-07
    17.933     0.000    0.532E-06    0.498E-07
    18.004     0.000    0.520E-06    0.496E-07
    18.074     0.000    0.509E-06    0.494E-07
    18.145     0.000    0.497E-06    0.492E-07
    18.215     0.000    0.481E-06    0.486E-07
    18.285     0.000    0.469E-06    0.484E-07
    18.356     0.000    0.454E-06    0.482E-07
    18.426     0.000    0.439E-06    0.480E-07
    18.497     0.000    0.424E-06    0.478E-07
    18.567     0.000    0.411E-06    0.472E-07
    18.638     0.000    0.398E-06    0.470E-07
    18.708     0.000    0.388E-06    0.468E-07
    18.779     0.000    0.380E-06    0.467E-07
    18.849     0.000    0.374E-06    0.465E-07
    18.920     0.000    0.370E-06    0.463E-07
    18.990     0.000    0.366E-06    0.461E-07
    19.061     0.000    0.363E-06    0.460E-07
    19.131     0.000    0.360E-06    0.453E-07
    19.202     0.000    0.358E-06    0.452E-07
    19.272     0.000    0.354E-06    0.450E-07
    19.342     0.000    0.350E-06    0.448E-07
    19.413     0.000    0.344E-06    0.447E-07
    19.483     0.000    0.338E-06    0.445E-07
    19.554     0.000    0.330E-06    0.444E-07
    19.624     0.000    0.323E-06    0.442E-07
    19.695     0.000    0.314E-06    0.440E-07
    19.765     0.000    0.305E-06    0.434E-07
    19.836     0.000    0.296E-06    0.433E-07
    19.906     0.000    0.288E-06    0.431E-07
    19.977     0.000    0.280E-06    0.430E-07
    20.047     0.000    0.273E-06    0.428E-07
    20.118     0.000    0.268E-06    0.427E-07
    20.188     0.000    0.264E-06    0.425E-07
    20.259     0.000    0.262E-06    0.424E-07
    20.329     0.000    0.262E-06    0.422E-07
    20.399     0.000    0.264E-06    0.421E-07
    20.470     0.000    0.267E-06    0.419E-07
    20.540     0.000    0.271E-06    0.418E-07
    20.611     0.000    0.276E-06    0.412E-07
    20.681     0.000    0.280E-06    0.411E-07
    20.752     0.000    0.283E-06    0.410E-07
    20.822     0.000    0.285E-06    0.404E-07
    20.893     0.000    0.285E-06    0.403E-07
    20.963     0.000    0.284E-06    0.405E-07
    21.034     0.000    0.283E-06    0.404E-07
    21.104     0.000    0.281E-06    0.407E-07
    21.175     0.000    0.279E-06    0.406E-07
    21.245     0.000    0.278E-06    0.408E-07
    21.316     0.000    0.277E-06    0.407E-07
    21.386     0.000    0.276E-06    0.406E-07
    21.456     0.000    0.274E-06    0.404E-07
    21.527     0.000    0.273E-06    0.399E-07
    21.597     0.000    0.271E-06    0.398E-07
    21.668     0.000    0.268E-06    0.392E-07
    21.738     0.000    0.263E-06    0.391E-07
    21.809     0.000    0.258E-06    0.390E-07
    21.879     0.000    0.251E-06    0.389E-07
    21.950     0.000    0.245E-06    0.391E-07
    22.020     0.000    0.239E-06    0.390E-07
    22.091     0.000    0.234E-06    0.393E-07
    22.161     0.000    0.229E-06    0.391E-07
    22.232     0.000    0.225E-06    0.394E-07
    22.302     0.000    0.222E-06    0.389E-07
    22.373     0.000    0.221E-06    0.388E-07
    22.443     0.000    0.220E-06    0.383E-07
    22.514     0.000    0.221E-06    0.378E-07
    22.584     0.000    0.224E-06    0.376E-07
    22.654     0.000    0.227E-06    0.379E-07
    22.725     0.000    0.232E-06    0.378E-07
    22.795     0.000    0.239E-06    0.377E-07
    22.866     0.000    0.247E-06    0.379E-07
    22.936     0.000    0.256E-06    0.378E-07
    23.007     0.000    0.265E-06    0.377E-07
    23.077     0.000    0.273E-06    0.372E-07
    23.148     0.000    0.280E-06    0.367E-07
    23.218     0.000    0.285E-06    0.362E-07
    23.289     0.000    0.288E-06    0.361E-07
    23.359     0.000    0.289E-06    0.356E-07
    23.430     0.000    0.287E-06    0.355E-07
    23.500     0.000    0.284E-06    0.351E-07
    23.571     0.000    0.280E-06    0.350E-07
    23.641     0.000    0.276E-06    0.349E-07
