# fe1_exp_082_208_photoneut_2013Ish.dat                  
#
# Z = 82, A =208
# No. of entries:   54
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2013Ish  B. S. Ishkhanov, V. N. Orlin, N. N. Peskov, Moscow State Univ.Inst.of Nucl.Phys. Reports.                                                   
#    E         dE       f1           df1
     7.500     0.000    0.231E-06    0.269E-07
     7.800     0.000    0.290E-06    0.255E-07
     8.100     0.000    0.309E-06    0.263E-07
     8.400     0.000    0.323E-06    0.278E-07
     8.700     0.000    0.361E-06    0.313E-07
     9.000     0.000    0.459E-06    0.349E-07
     9.300     0.000    0.591E-06    0.390E-07
     9.600     0.000    0.730E-06    0.421E-07
     9.900     0.000    0.929E-06    0.469E-07
    10.200     0.000    0.105E-05    0.498E-07
    10.500     0.000    0.131E-05    0.557E-07
    10.800     0.000    0.165E-05    0.625E-07
    11.100     0.000    0.213E-05    0.724E-07
    11.400     0.000    0.240E-05    0.776E-07
    11.700     0.000    0.270E-05    0.830E-07
    12.000     0.000    0.299E-05    0.904E-07
    12.300     0.000    0.324E-05    0.980E-07
    12.600     0.000    0.359E-05    0.111E-06
    12.900     0.000    0.390E-05    0.197E-06
    13.200     0.000    0.409E-05    0.204E-06
    13.500     0.000    0.407E-05    0.215E-06
    13.800     0.000    0.390E-05    0.200E-06
    14.100     0.000    0.364E-05    0.191E-06
    14.400     0.000    0.322E-05    0.177E-06
    14.700     0.000    0.279E-05    0.169E-06
    15.000     0.000    0.241E-05    0.157E-06
    15.300     0.000    0.201E-05    0.147E-06
    15.600     0.000    0.171E-05    0.137E-06
    15.900     0.000    0.144E-05    0.125E-06
    16.200     0.000    0.122E-05    0.118E-06
    16.500     0.000    0.106E-05    0.110E-06
    16.800     0.000    0.940E-06    0.103E-06
    17.100     0.000    0.827E-06    0.979E-07
    17.400     0.000    0.718E-06    0.942E-07
    17.700     0.000    0.652E-06    0.907E-07
    18.000     0.000    0.593E-06    0.877E-07
    18.300     0.000    0.531E-06    0.848E-07
    18.600     0.000    0.476E-06    0.821E-07
    18.900     0.000    0.436E-06    0.817E-07
    19.200     0.000    0.396E-06    0.809E-07
    19.500     0.000    0.346E-06    0.783E-07
    19.800     0.000    0.314E-06    0.771E-07
    20.100     0.000    0.308E-06    0.768E-07
    20.400     0.000    0.295E-06    0.761E-07
    20.700     0.000    0.274E-06    0.775E-07
    21.000     0.000    0.204E-06    0.417E-07
    21.300     0.000    0.203E-06    0.424E-07
    21.600     0.000    0.220E-06    0.434E-07
    21.900     0.000    0.207E-06    0.432E-07
    22.200     0.000    0.185E-06    0.418E-07
    22.500     0.000    0.157E-06    0.393E-07
    22.800     0.000    0.167E-06    0.582E-07
    23.100     0.000    0.178E-06    0.571E-07
    23.400     0.000    0.178E-06    0.586E-07
