# fe1_exp_082_nat_photoabs_1985Ahr.dat                   
#
# Z = 82, A =  0
# No. of entries:   33
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1985Ahr  J.Ahrens; Nucl.Phys. A446, 229c(1985).                                                                                                      
#    E         dE       f1           df1
     7.570     0.000    0.252E-06    0.330E-07
     7.790     0.000    0.263E-06    0.321E-07
     8.040     0.000    0.346E-06    0.311E-07
     8.260     0.000    0.300E-06    0.302E-07
     8.560     0.000    0.325E-06    0.292E-07
     8.810     0.000    0.373E-06    0.347E-07
     9.050     0.000    0.476E-06    0.337E-07
     9.290     0.000    0.610E-06    0.329E-07
     9.550     0.000    0.634E-06    0.320E-07
     9.850     0.000    0.960E-06    0.254E-07
    10.150     0.000    0.914E-06    0.602E-07
    10.490     0.000    0.130E-05    0.475E-07
    10.790     0.000    0.157E-05    0.566E-07
    11.120     0.000    0.223E-05    0.449E-07
    11.440     0.000    0.236E-05    0.534E-07
    11.760     0.000    0.277E-05    0.424E-07
    12.130     0.000    0.311E-05    0.411E-07
    12.600     0.000    0.358E-05    0.485E-07
    12.950     0.000    0.391E-05    0.385E-07
    13.300     0.000    0.416E-05    0.459E-07
    13.560     0.000    0.407E-05    0.450E-07
    14.100     0.000    0.367E-05    0.354E-07
    14.580     0.000    0.291E-05    0.593E-07
    14.860     0.000    0.263E-05    0.520E-07
    15.370     0.000    0.196E-05    0.112E-06
    15.810     0.000    0.157E-05    0.774E-07
    16.370     0.000    0.114E-05    0.747E-07
    16.920     0.000    0.912E-06    0.723E-07
    17.330     0.000    0.751E-06    0.996E-07
    17.730     0.000    0.665E-06    0.690E-07
    18.350     0.000    0.567E-06    0.399E-07
    18.780     0.000    0.460E-06    0.651E-07
    21.400     0.000    0.155E-06    0.807E-08
