# fe1_exp_083_209_photoabs_1976Gu2.dat                   
#
# Z = 83, A =209
# No. of entries:   30
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1976Gu2  G. M. Gurevich, L. E. Lazareva, V. M. Mazur, G.B.A. Tulupov; Nucl. Phys. A273, 326(1976).                                                   
#    E         dE       f1           df1
     8.450     0.000    0.359E-06    0.411E-06
     8.900     0.000    0.633E-06    0.390E-06
     9.350     0.000    0.297E-06    0.371E-06
     9.800     0.000    0.620E-06    0.354E-06
    10.000     0.000    0.954E-06    0.347E-06
    10.200     0.000    0.136E-05    0.340E-06
    10.650     0.000    0.110E-05    0.326E-06
    10.950     0.000    0.151E-05    0.317E-06
    11.370     0.000    0.198E-05    0.305E-06
    11.700     0.000    0.194E-05    0.297E-06
    12.000     0.000    0.296E-05    0.325E-06
    12.400     0.000    0.260E-05    0.315E-06
    12.700     0.000    0.372E-05    0.273E-06
    13.100     0.000    0.394E-05    0.265E-06
    13.400     0.000    0.411E-05    0.259E-06
    13.900     0.000    0.388E-05    0.250E-06
    14.100     0.000    0.309E-05    0.246E-06
    14.500     0.000    0.268E-05    0.239E-06
    14.800     0.000    0.287E-05    0.234E-06
    15.300     0.000    0.295E-05    0.227E-06
    15.600     0.000    0.238E-05    0.222E-06
    16.000     0.000    0.125E-05    0.244E-06
    16.200     0.000    0.203E-05    0.214E-06
    16.750     0.000    0.210E-05    0.207E-06
    16.900     0.000    0.149E-05    0.205E-06
    17.500     0.000    0.818E-06    0.198E-06
    18.250     0.000    0.713E-06    0.190E-06
    19.000     0.000    0.762E-06    0.183E-06
    19.070     0.000    0.660E-06    0.182E-06
    20.900     0.000    0.693E-06    0.166E-06
