# fe1_exp_083_209_photoneut_1964Ha2.dat                  
#
# Z = 83, A =209
# No. of entries:  109
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1964Ha2  R. R. Harvey, J. T. Caldwell, R.L.Bramblett, Phys. Rev., 136, B126(1964).                                                                   
#    E         dE       f1           df1
     8.013     0.000    0.433E-06    0.271E-07
     8.168     0.000    0.393E-06    0.265E-07
     8.323     0.000    0.443E-06    0.261E-07
     8.478     0.000    0.486E-06    0.256E-07
     8.633     0.000    0.703E-06    0.502E-07
     8.788     0.000    0.469E-06    0.247E-07
     8.942     0.000    0.679E-06    0.485E-07
     9.097     0.000    0.701E-06    0.477E-07
     9.252     0.000    0.558E-06    0.469E-07
     9.407     0.000    0.738E-06    0.461E-07
     9.562     0.000    0.676E-06    0.499E-07
     9.717     0.000    0.826E-06    0.536E-07
     9.872     0.000    0.808E-06    0.527E-07
    10.026     0.000    0.969E-06    0.433E-07
    10.181     0.000    0.954E-06    0.511E-07
    10.336     0.000    0.940E-06    0.420E-07
    10.491     0.000    0.112E-05    0.413E-07
    10.646     0.000    0.118E-05    0.407E-07
    10.801     0.000    0.130E-05    0.402E-07
    10.956     0.000    0.143E-05    0.396E-07
    11.110     0.000    0.156E-05    0.390E-07
    11.265     0.000    0.174E-05    0.308E-07
    11.420     0.000    0.180E-05    0.380E-07
    11.575     0.000    0.205E-05    0.375E-07
    11.730     0.000    0.204E-05    0.370E-07
    11.885     0.000    0.220E-05    0.803E-07
    12.039     0.000    0.233E-05    0.793E-07
    12.194     0.000    0.236E-05    0.711E-07
    12.349     0.000    0.251E-05    0.702E-07
    12.504     0.000    0.266E-05    0.694E-07
    12.659     0.000    0.292E-05    0.103E-06
    12.814     0.000    0.288E-05    0.102E-06
    12.969     0.000    0.354E-05    0.100E-06
    13.123     0.000    0.316E-05    0.991E-07
    13.278     0.000    0.333E-05    0.980E-07
    13.433     0.000    0.331E-05    0.969E-07
    13.588     0.000    0.347E-05    0.958E-07
    13.743     0.000    0.312E-05    0.947E-07
    13.898     0.000    0.319E-05    0.936E-07
    14.053     0.000    0.318E-05    0.926E-07
    14.207     0.000    0.277E-05    0.611E-07
    14.362     0.000    0.284E-05    0.453E-07
    14.517     0.000    0.263E-05    0.597E-07
    14.672     0.000    0.236E-05    0.591E-07
    14.827     0.000    0.207E-05    0.585E-07
    14.982     0.000    0.195E-05    0.579E-07
    15.136     0.000    0.170E-05    0.573E-07
    15.291     0.000    0.167E-05    0.567E-07
    15.446     0.000    0.144E-05    0.562E-07
    15.601     0.000    0.135E-05    0.556E-07
    15.756     0.000    0.118E-05    0.551E-07
    15.911     0.000    0.119E-05    0.545E-07
    16.066     0.000    0.102E-05    0.540E-07
    16.220     0.000    0.914E-06    0.535E-07
    16.375     0.000    0.953E-06    0.530E-07
    16.530     0.000    0.971E-06    0.787E-07
    16.685     0.000    0.780E-06    0.780E-07
    16.840     0.000    0.752E-06    0.773E-07
    16.995     0.000    0.699E-06    0.766E-07
    17.150     0.000    0.723E-06    0.759E-07
    17.304     0.000    0.702E-06    0.752E-07
    17.459     0.000    0.874E-06    0.745E-07
    17.614     0.000    0.581E-06    0.739E-07
    17.769     0.000    0.757E-06    0.732E-07
    17.924     0.000    0.532E-06    0.726E-07
    18.079     0.000    0.614E-06    0.720E-07
    18.233     0.000    0.599E-06    0.714E-07
    18.388     0.000    0.500E-06    0.708E-07
    18.543     0.000    0.585E-06    0.702E-07
    18.698     0.000    0.603E-06    0.696E-07
    18.853     0.000    0.398E-06    0.690E-07
    19.008     0.000    0.557E-06    0.684E-07
    19.317     0.000    0.337E-06    0.674E-07
    19.472     0.000    0.535E-06    0.668E-07
    19.627     0.000    0.301E-06    0.663E-07
    19.782     0.000    0.368E-06    0.658E-07
    19.937     0.000    0.526E-06    0.653E-07
    20.092     0.000    0.356E-06    0.648E-07
    20.247     0.000    0.411E-06    0.857E-07
    20.401     0.000    0.404E-06    0.850E-07
    20.556     0.000    0.426E-06    0.633E-07
    20.711     0.000    0.387E-06    0.628E-07
    20.866     0.000    0.324E-06    0.624E-07
    21.021     0.000    0.312E-06    0.619E-07
    21.176     0.000    0.373E-06    0.614E-07
    21.330     0.000    0.443E-06    0.610E-07
    21.485     0.000    0.379E-06    0.606E-07
    21.640     0.000    0.365E-06    0.601E-07
    21.795     0.000    0.275E-06    0.597E-07
    21.950     0.000    0.381E-06    0.790E-07
    22.105     0.000    0.286E-06    0.589E-07
    22.260     0.000    0.257E-06    0.584E-07
    22.414     0.000    0.172E-06    0.580E-07
    22.569     0.000    0.173E-06    0.769E-07
    22.724     0.000    0.248E-06    0.573E-07
    22.879     0.000    0.229E-06    0.569E-07
    23.034     0.000    0.177E-06    0.490E-07
    23.189     0.000    0.935E-07    0.561E-07
    23.344     0.000    0.253E-06    0.557E-07
    23.653     0.000    0.169E-06    0.733E-07
    23.963     0.000    0.136E-06    0.724E-07
    24.273     0.000    0.143E-06    0.715E-07
    24.582     0.000    0.265E-06    0.706E-07
    24.892     0.000    0.112E-06    0.697E-07
    25.202     0.000    0.217E-06    0.688E-07
    25.511     0.000    0.248E-06    0.680E-07
    25.821     0.000    0.175E-06    0.840E-07
    26.131     0.000    0.204E-06    0.830E-07
    26.441     0.000    0.771E-07    0.820E-07
