# fe1_exp_083_209_photoneut_1967Ant.dat                  
#
# Z = 83, A =209
# No. of entries:   25
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1967Ant                                                                                                                                              
#    E         dE       f1           df1
     8.000     0.000    0.443E-06    0.000E+00
     8.500     0.000    0.683E-06    0.000E+00
     9.000     0.000    0.964E-06    0.000E+00
     9.500     0.000    0.129E-05    0.000E+00
    10.000     0.000    0.146E-05    0.000E+00
    10.500     0.000    0.226E-05    0.000E+00
    11.000     0.000    0.301E-05    0.000E+00
    11.500     0.000    0.367E-05    0.000E+00
    12.000     0.000    0.356E-05    0.000E+00
    12.500     0.000    0.407E-05    0.000E+00
    13.000     0.000    0.415E-05    0.000E+00
    13.500     0.000    0.373E-05    0.000E+00
    14.000     0.000    0.398E-05    0.000E+00
    14.500     0.000    0.408E-05    0.000E+00
    15.000     0.000    0.328E-05    0.000E+00
    15.500     0.000    0.180E-05    0.000E+00
    16.000     0.000    0.976E-06    0.000E+00
    16.500     0.000    0.825E-06    0.000E+00
    17.000     0.000    0.628E-06    0.000E+00
    17.500     0.000    0.520E-06    0.000E+00
    18.000     0.000    0.492E-06    0.000E+00
    18.500     0.000    0.448E-06    0.000E+00
    19.000     0.000    0.361E-06    0.000E+00
    19.500     0.000    0.210E-06    0.000E+00
    20.000     0.000    0.237E-06    0.000E+00
