# fe1_exp_083_209_photoneut_1995Bel.dat                  
#
# Z = 83, A =209
# No. of entries:  185
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:  1995Bel                                                                                                                                               
#    E         dE       f1           df1
     7.608     0.000    0.409E-06    0.251E-07
     7.708     0.000    0.432E-06    0.270E-07
     7.808     0.000    0.418E-06    0.289E-07
     7.907     0.000    0.394E-06    0.307E-07
     8.007     0.000    0.378E-06    0.325E-07
     8.107     0.000    0.376E-06    0.342E-07
     8.207     0.000    0.378E-06    0.349E-07
     8.307     0.000    0.379E-06    0.355E-07
     8.407     0.000    0.376E-06    0.361E-07
     8.507     0.000    0.368E-06    0.377E-07
     8.606     0.000    0.364E-06    0.383E-07
     8.706     0.000    0.370E-06    0.389E-07
     8.806     0.000    0.388E-06    0.394E-07
     8.906     0.000    0.423E-06    0.399E-07
     9.006     0.000    0.475E-06    0.405E-07
     9.106     0.000    0.544E-06    0.400E-07
     9.206     0.000    0.622E-06    0.405E-07
     9.305     0.000    0.701E-06    0.410E-07
     9.405     0.000    0.774E-06    0.415E-07
     9.505     0.000    0.837E-06    0.420E-07
     9.605     0.000    0.889E-06    0.415E-07
     9.705     0.000    0.929E-06    0.420E-07
     9.805     0.000    0.964E-06    0.425E-07
     9.905     0.000    0.981E-06    0.429E-07
    10.004     0.000    0.980E-06    0.434E-07
    10.104     0.000    0.987E-06    0.438E-07
    10.204     0.000    0.986E-06    0.434E-07
    10.304     0.000    0.993E-06    0.438E-07
    10.404     0.000    0.103E-05    0.434E-07
    10.504     0.000    0.108E-05    0.446E-07
    10.604     0.000    0.116E-05    0.450E-07
    10.703     0.000    0.127E-05    0.462E-07
    10.803     0.000    0.140E-05    0.466E-07
    10.903     0.000    0.154E-05    0.461E-07
    11.003     0.000    0.168E-05    0.465E-07
    11.103     0.000    0.181E-05    0.469E-07
    11.203     0.000    0.193E-05    0.465E-07
    11.303     0.000    0.203E-05    0.468E-07
    11.403     0.000    0.212E-05    0.472E-07
    11.502     0.000    0.220E-05    0.475E-07
    11.602     0.000    0.227E-05    0.478E-07
    11.702     0.000    0.231E-05    0.482E-07
    11.802     0.000    0.235E-05    0.485E-07
    11.902     0.000    0.240E-05    0.481E-07
    12.002     0.000    0.244E-05    0.484E-07
    12.102     0.000    0.249E-05    0.480E-07
    12.201     0.000    0.255E-05    0.476E-07
    12.301     0.000    0.262E-05    0.472E-07
    12.401     0.000    0.269E-05    0.469E-07
    12.501     0.000    0.278E-05    0.472E-07
    12.601     0.000    0.286E-05    0.468E-07
    12.701     0.000    0.296E-05    0.471E-07
    12.801     0.000    0.305E-05    0.474E-07
    12.900     0.000    0.314E-05    0.477E-07
    13.000     0.000    0.322E-05    0.474E-07
    13.100     0.000    0.330E-05    0.477E-07
    13.200     0.000    0.336E-05    0.480E-07
    13.300     0.000    0.341E-05    0.483E-07
    13.400     0.000    0.344E-05    0.485E-07
    13.500     0.000    0.344E-05    0.482E-07
    13.599     0.000    0.341E-05    0.485E-07
    13.699     0.000    0.337E-05    0.481E-07
    13.799     0.000    0.329E-05    0.478E-07
    13.899     0.000    0.321E-05    0.481E-07
    13.999     0.000    0.310E-05    0.477E-07
    14.099     0.000    0.299E-05    0.480E-07
    14.199     0.000    0.286E-05    0.483E-07
    14.298     0.000    0.274E-05    0.479E-07
    14.398     0.000    0.261E-05    0.476E-07
    14.498     0.000    0.248E-05    0.473E-07
    14.598     0.000    0.233E-05    0.469E-07
    14.698     0.000    0.218E-05    0.466E-07
    14.798     0.000    0.205E-05    0.463E-07
    14.898     0.000    0.191E-05    0.460E-07
    14.997     0.000    0.178E-05    0.457E-07
    15.097     0.000    0.166E-05    0.454E-07
    15.197     0.000    0.155E-05    0.451E-07
    15.297     0.000    0.145E-05    0.448E-07
    15.397     0.000    0.136E-05    0.445E-07
    15.497     0.000    0.128E-05    0.442E-07
    15.597     0.000    0.120E-05    0.439E-07
    15.696     0.000    0.113E-05    0.442E-07
    15.796     0.000    0.107E-05    0.439E-07
    15.896     0.000    0.101E-05    0.437E-07
    15.996     0.000    0.954E-06    0.428E-07
    16.096     0.000    0.900E-06    0.426E-07
    16.196     0.000    0.846E-06    0.423E-07
    16.296     0.000    0.798E-06    0.420E-07
    16.396     0.000    0.756E-06    0.418E-07
    16.495     0.000    0.715E-06    0.415E-07
    16.595     0.000    0.679E-06    0.418E-07
    16.695     0.000    0.649E-06    0.416E-07
    16.795     0.000    0.620E-06    0.408E-07
    16.895     0.000    0.596E-06    0.406E-07
    16.995     0.000    0.577E-06    0.398E-07
