# fe1_exp_083_209_photoneut_2016Va2.dat                  
#
# Z = 83, A =209
# No. of entries:  109
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2016Va2  V.V.Varlamov,B.S.Ishkhanov,V.N.Orlin, N.N.Pesk, Yad.Fiz. 79(4), 315(2016)                                                                   
#    E         dE       f1           df1
     8.010     0.000    0.411E-06    0.775E-07
     8.170     0.000    0.390E-06    0.741E-07
     8.320     0.000    0.443E-06    0.792E-07
     8.480     0.000    0.486E-06    0.846E-07
     8.630     0.000    0.704E-06    0.135E-06
     8.790     0.000    0.469E-06    0.816E-07
     8.940     0.000    0.679E-06    0.130E-06
     9.100     0.000    0.701E-06    0.132E-06
     9.250     0.000    0.558E-06    0.114E-06
     9.410     0.000    0.737E-06    0.135E-06
     9.560     0.000    0.676E-06    0.132E-06
     9.720     0.000    0.825E-06    0.153E-06
     9.870     0.000    0.808E-06    0.150E-06
    10.030     0.000    0.969E-06    0.161E-06
    10.180     0.000    0.954E-06    0.167E-06
    10.340     0.000    0.940E-06    0.156E-06
    10.490     0.000    0.112E-05    0.177E-06
    10.650     0.000    0.118E-05    0.183E-06
    10.800     0.000    0.130E-05    0.198E-06
    10.960     0.000    0.143E-05    0.212E-06
    11.110     0.000    0.156E-05    0.228E-06
    11.270     0.000    0.174E-05    0.240E-06
    11.420     0.000    0.180E-05    0.257E-06
    11.570     0.000    0.205E-05    0.284E-06
    11.730     0.000    0.204E-05    0.285E-06
    11.890     0.000    0.220E-05    0.345E-06
    12.040     0.000    0.233E-05    0.363E-06
    12.190     0.000    0.236E-05    0.355E-06
    12.350     0.000    0.251E-05    0.376E-06
    12.500     0.000    0.266E-05    0.398E-06
    12.660     0.000    0.292E-05    0.463E-06
    12.810     0.000    0.288E-05    0.453E-06
    12.970     0.000    0.354E-05    0.537E-06
    13.120     0.000    0.316E-05    0.484E-06
    13.280     0.000    0.333E-05    0.508E-06
    13.430     0.000    0.331E-05    0.499E-06
    13.590     0.000    0.347E-05    0.528E-06
    13.740     0.000    0.316E-05    0.488E-06
    13.900     0.000    0.321E-05    0.499E-06
    14.050     0.000    0.318E-05    0.483E-06
    14.210     0.000    0.277E-05    0.407E-06
    14.360     0.000    0.289E-05    0.411E-06
    14.520     0.000    0.265E-05    0.400E-06
    14.670     0.000    0.241E-05    0.381E-06
    14.830     0.000    0.217E-05    0.352E-06
    14.980     0.000    0.213E-05    0.328E-06
    15.140     0.000    0.186E-05    0.307E-06
    15.290     0.000    0.192E-05    0.311E-06
    15.450     0.000    0.165E-05    0.260E-06
    15.600     0.000    0.155E-05    0.260E-06
    15.760     0.000    0.145E-05    0.260E-06
    15.910     0.000    0.132E-05    0.242E-06
    16.070     0.000    0.124E-05    0.219E-06
    16.220     0.000    0.111E-05    0.218E-06
    16.380     0.000    0.109E-05    0.211E-06
    16.530     0.000    0.109E-05    0.227E-06
    16.680     0.000    0.967E-06    0.211E-06
    16.840     0.000    0.834E-06    0.190E-06
    17.000     0.000    0.852E-06    0.193E-06
    17.150     0.000    0.759E-06    0.175E-06
    17.300     0.000    0.737E-06    0.172E-06
    17.460     0.000    0.869E-06    0.195E-06
    17.610     0.000    0.739E-06    0.173E-06
    17.770     0.000    0.664E-06    0.158E-06
    17.920     0.000    0.571E-06    0.145E-06
    18.080     0.000    0.576E-06    0.146E-06
    18.230     0.000    0.519E-06    0.134E-06
    18.390     0.000    0.500E-06    0.133E-06
    18.540     0.000    0.515E-06    0.132E-06
    18.700     0.000    0.463E-06    0.122E-06
    18.850     0.000    0.431E-06    0.118E-06
    19.010     0.000    0.534E-06    0.140E-06
    19.320     0.000    0.380E-06    0.108E-06
    19.470     0.000    0.431E-06    0.118E-06
    19.630     0.000    0.370E-06    0.114E-06
    19.780     0.000    0.366E-06    0.111E-06
    19.940     0.000    0.330E-06    0.996E-07
    20.090     0.000    0.353E-06    0.110E-06
    20.250     0.000    0.437E-06    0.140E-06
    20.400     0.000    0.387E-06    0.130E-06
    20.560     0.000    0.377E-06    0.104E-06
    20.710     0.000    0.328E-06    0.976E-07
    20.870     0.000    0.345E-06    0.993E-07
    21.020     0.000    0.278E-06    0.862E-07
    21.180     0.000    0.299E-06    0.913E-07
    21.330     0.000    0.331E-06    0.102E-06
    21.480     0.000    0.336E-06    0.981E-07
    21.640     0.000    0.357E-06    0.102E-06
    21.800     0.000    0.291E-06    0.891E-07
    21.950     0.000    0.350E-06    0.118E-06
    22.110     0.000    0.283E-06    0.859E-07
    22.260     0.000    0.266E-06    0.861E-07
    22.410     0.000    0.288E-06    0.937E-07
    22.570     0.000    0.252E-06    0.992E-07
    22.720     0.000    0.209E-06    0.775E-07
    22.880     0.000    0.292E-06    0.936E-07
    23.030     0.000    0.263E-06    0.855E-07
    23.190     0.000    0.153E-06    0.681E-07
    23.340     0.000    0.203E-06    0.101E-06
    23.650     0.000    0.272E-06    0.102E-06
    23.960     0.000    0.132E-06    0.764E-07
    24.270     0.000    0.179E-06    0.858E-07
    24.580     0.000    0.203E-06    0.917E-07
    24.890     0.000    0.172E-06    0.871E-07
    25.200     0.000    0.158E-06    0.781E-07
    25.510     0.000    0.117E-06    0.741E-07
    25.820     0.000    0.173E-06    0.927E-07
    26.130     0.000    0.154E-06    0.989E-07
    26.440     0.000    0.215E-06    0.107E-06
