# fe1_exp_090_232_photoabs_1976Gu1.dat                   
#
# Z = 90, A =232
# No. of entries:   44
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1976Gu1  G. M. Gurevich, L. E. Lazareva, V. M. Mazur, G.B. A. Tulupov; Nucl. Phys. A273, 326(1976).                                                  
#    E         dE       f1           df1
     7.500     0.000    0.273E-06    0.244E-06
     7.700     0.000    0.303E-06    0.253E-06
     8.000     0.000    0.479E-06    0.218E-06
     8.200     0.000    0.660E-06    0.260E-06
     8.500     0.000    0.118E-05    0.245E-06
     8.800     0.000    0.113E-05    0.237E-06
     9.000     0.000    0.136E-05    0.241E-06
     9.300     0.000    0.191E-05    0.242E-06
     9.500     0.000    0.205E-05    0.219E-06
     9.700     0.000    0.234E-05    0.215E-06
    10.000     0.000    0.226E-05    0.217E-06
    10.200     0.000    0.247E-05    0.230E-06
    10.500     0.000    0.255E-05    0.231E-06
    10.700     0.000    0.286E-05    0.219E-06
    11.000     0.000    0.307E-05    0.197E-06
    11.200     0.000    0.271E-05    0.225E-06
    11.400     0.000    0.293E-05    0.228E-06
    11.700     0.000    0.297E-05    0.230E-06
    12.000     0.000    0.259E-05    0.224E-06
    12.200     0.000    0.268E-05    0.213E-06
    12.400     0.000    0.288E-05    0.238E-06
    12.700     0.000    0.307E-05    0.219E-06
    13.000     0.000    0.256E-05    0.227E-06
    13.200     0.000    0.290E-05    0.197E-06
    13.500     0.000    0.301E-05    0.212E-06
    13.700     0.000    0.257E-05    0.234E-06
    13.900     0.000    0.271E-05    0.225E-06
    14.200     0.000    0.264E-05    0.220E-06
    14.500     0.000    0.217E-05    0.233E-06
    14.700     0.000    0.219E-05    0.207E-06
    14.900     0.000    0.210E-05    0.215E-06
    15.200     0.000    0.165E-05    0.211E-06
    15.400     0.000    0.160E-05    0.203E-06
    15.700     0.000    0.173E-05    0.204E-06
    16.000     0.000    0.137E-05    0.201E-06
    16.200     0.000    0.113E-05    0.209E-06
    16.500     0.000    0.116E-05    0.216E-06
    16.700     0.000    0.105E-05    0.203E-06
    17.000     0.000    0.786E-06    0.209E-06
    17.200     0.000    0.540E-06    0.202E-06
    17.500     0.000    0.684E-06    0.198E-06
    17.800     0.000    0.658E-06    0.210E-06
    18.000     0.000    0.573E-06    0.246E-06
    18.300     0.000    0.701E-06    0.237E-06
