# fe1_exp_090_232_photoneut_1980Ca1_L0050002.dat         
#
# Z = 90, A =232
# No. of entries:   41
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1980Ca1  J.T.Caldwell, E.J.Dowdy, B.L.Berman, R.A.Avarez, P.Meyer; Phys. Rev., C21, 1215(1980).                                                      
#    E         dE       f1           df1
     6.980     0.000    0.393E-06    0.102E-07
     7.230     0.000    0.429E-06    0.726E-08
     7.470     0.000    0.490E-06    0.924E-08
     7.720     0.000    0.542E-06    0.715E-08
     7.960     0.000    0.631E-06    0.838E-08
     8.210     0.000    0.719E-06    0.114E-07
     8.450     0.000    0.851E-06    0.115E-07
     8.700     0.000    0.941E-06    0.136E-07
     8.940     0.000    0.114E-05    0.146E-07
     9.430     0.000    0.166E-05    0.166E-07
     9.920     0.000    0.229E-05    0.171E-07
    10.410     0.000    0.312E-05    0.182E-07
    10.540     0.000    0.316E-05    0.322E-07
    10.780     0.000    0.350E-05    0.334E-07
    10.900     0.000    0.353E-05    0.176E-07
    11.030     0.000    0.357E-05    0.393E-07
    11.270     0.000    0.367E-05    0.446E-07
    11.400     0.000    0.363E-05    0.488E-07
    11.520     0.000    0.359E-05    0.367E-07
    11.760     0.000    0.349E-05    0.365E-07
    11.890     0.000    0.352E-05    0.507E-07
    12.010     0.000    0.341E-05    0.396E-07
    12.250     0.000    0.338E-05    0.428E-07
    12.380     0.000    0.333E-05    0.393E-07
    12.500     0.000    0.339E-05    0.491E-07
    12.740     0.000    0.323E-05    0.390E-07
    12.870     0.000    0.326E-05    0.627E-07
    12.990     0.000    0.330E-05    0.415E-07
    13.230     0.000    0.341E-05    0.483E-07
    13.360     0.000    0.329E-05    0.656E-07
    13.480     0.000    0.337E-05    0.484E-07
    13.850     0.000    0.317E-05    0.472E-07
    14.340     0.000    0.300E-05    0.696E-07
    14.830     0.000    0.264E-05    0.714E-07
    15.320     0.000    0.214E-05    0.523E-07
    15.810     0.000    0.171E-05    0.741E-07
    16.300     0.000    0.137E-05    0.835E-07
    16.790     0.000    0.105E-05    0.579E-07
    17.280     0.000    0.103E-05    0.798E-07
    17.770     0.000    0.859E-06    0.791E-07
    18.260     0.000    0.770E-06    0.660E-07
