# fe1_exp_092_233_photoneut_1986Be2.dat                  
#
# Z = 92, A =233
# No. of entries:   25
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1986Be2  B. L. Berman, J. T. Caldwell, E. J. Dowdy, S.P. Meyer, R. A. Alvarez; Phys. Rev., C34, 2201                                                 
#    E         dE       f1           df1
     6.080     0.000    0.224E-06    0.148E-07
     6.520     0.000    0.289E-06    0.192E-07
     7.050     0.000    0.379E-06    0.252E-07
     7.490     0.000    0.450E-06    0.299E-07
     7.950     0.000    0.589E-06    0.392E-07
     8.490     0.000    0.624E-06    0.415E-07
     8.950     0.000    0.885E-06    0.587E-07
     9.490     0.000    0.121E-05    0.799E-07
     9.950     0.000    0.173E-05    0.426E-07
    10.490     0.000    0.247E-05    0.449E-07
    10.960     0.000    0.301E-05    0.301E-07
    11.450     0.000    0.305E-05    0.619E-07
    11.960     0.000    0.297E-05    0.236E-07
    12.440     0.000    0.298E-05    0.455E-07
    12.910     0.000    0.314E-05    0.578E-08
    13.420     0.000    0.299E-05    0.523E-07
    13.900     0.000    0.278E-05    0.514E-07
    14.410     0.000    0.222E-05    0.559E-07
    14.870     0.000    0.204E-05    0.352E-07
    15.390     0.000    0.165E-05    0.504E-07
    15.840     0.000    0.144E-05    0.387E-07
    16.360     0.000    0.128E-05    0.173E-07
    16.810     0.000    0.924E-06    0.378E-07
    17.320     0.000    0.906E-06    0.354E-07
    17.760     0.000    0.908E-06    0.114E-07
