# fe1_exp_092_235_photoneut_1980Ca1.dat                  
#
# Z = 92, A =235
# No. of entries:   35
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1980Ca1  J. T. Caldwell, E. J. Dowdy, B. L. Berman, R.P. Meyer; Phys. Rev., C21, 1215(1980).                                                         
#    E         dE       f1           df1
     6.320     0.000    0.324E-06    0.871E-07
     6.560     0.000    0.366E-06    0.982E-07
     6.750     0.000    0.395E-06    0.109E-06
     7.050     0.000    0.415E-06    0.910E-07
     7.300     0.000    0.487E-06    0.101E-06
     7.540     0.000    0.568E-06    0.734E-07
     7.770     0.000    0.573E-06    0.714E-07
     7.980     0.000    0.672E-06    0.807E-07
     8.450     0.000    0.871E-06    0.763E-07
     8.950     0.000    0.112E-05    0.720E-07
     9.450     0.000    0.167E-05    0.678E-07
     9.990     0.000    0.240E-05    0.644E-07
    10.470     0.000    0.327E-05    0.794E-07
    10.930     0.000    0.369E-05    0.840E-07
    11.480     0.000    0.362E-05    0.880E-07
    11.960     0.000    0.321E-05    0.123E-06
    12.170     0.000    0.310E-05    0.908E-07
    12.410     0.000    0.308E-05    0.119E-06
    12.540     0.000    0.275E-05    0.879E-07
    12.790     0.000    0.311E-05    0.936E-07
    12.940     0.000    0.297E-05    0.925E-07
    13.060     0.000    0.325E-05    0.917E-07
    13.290     0.000    0.340E-05    0.690E-07
    13.380     0.000    0.317E-05    0.757E-07
    13.520     0.000    0.323E-05    0.683E-07
    13.970     0.000    0.314E-05    0.661E-07
    14.400     0.000    0.304E-05    0.102E-06
    14.890     0.000    0.247E-05    0.105E-06
    15.390     0.000    0.210E-05    0.899E-07
    15.920     0.000    0.164E-05    0.104E-06
    16.310     0.000    0.146E-05    0.107E-06
    16.850     0.000    0.123E-05    0.821E-07
    17.330     0.000    0.115E-05    0.101E-06
    17.830     0.000    0.937E-06    0.979E-07
    18.340     0.000    0.758E-06    0.852E-07
