# fe1_exp_092_238_photoneut_1973Ve1.dat                  
#
# Z = 92, A =238
# No. of entries:   40
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1973Ve1  A. Veyssiere, H. Reil, R. Bergere, P. Carlos, K. kernbach; Nucl. Phys. A199, 45(1973).                                                      
#    E         dE       f1           df1
     7.800     0.000    0.689E-06    0.100E-06
     8.100     0.000    0.546E-06    0.880E-07
     8.300     0.000    0.784E-06    0.804E-07
     8.600     0.000    0.847E-06    0.697E-07
     8.900     0.000    0.113E-05    0.597E-07
     9.140     0.000    0.124E-05    0.522E-07
     9.410     0.000    0.157E-05    0.498E-07
     9.680     0.000    0.183E-05    0.475E-07
     9.950     0.000    0.220E-05    0.453E-07
    10.220     0.000    0.264E-05    0.433E-07
    10.500     0.000    0.300E-05    0.413E-07
    10.770     0.000    0.317E-05    0.419E-07
    11.040     0.000    0.324E-05    0.424E-07
    11.310     0.000    0.319E-05    0.429E-07
    11.580     0.000    0.302E-05    0.434E-07
    11.850     0.000    0.291E-05    0.439E-07
    12.120     0.000    0.277E-05    0.437E-07
    12.390     0.000    0.271E-05    0.434E-07
    12.660     0.000    0.275E-05    0.432E-07
    12.930     0.000    0.276E-05    0.429E-07
    13.210     0.000    0.278E-05    0.427E-07
    13.480     0.000    0.281E-05    0.412E-07
    13.750     0.000    0.274E-05    0.397E-07
    14.020     0.000    0.269E-05    0.384E-07
    14.290     0.000    0.254E-05    0.370E-07
    14.560     0.000    0.242E-05    0.357E-07
    14.830     0.000    0.223E-05    0.357E-07
    15.100     0.000    0.199E-05    0.356E-07
    15.370     0.000    0.176E-05    0.356E-07
    15.640     0.000    0.176E-05    0.355E-07
    15.920     0.000    0.144E-05    0.354E-07
    16.190     0.000    0.123E-05    0.386E-07
    16.460     0.000    0.110E-05    0.416E-07
    16.730     0.000    0.954E-06    0.446E-07
    17.000     0.000    0.867E-06    0.475E-07
    17.270     0.000    0.758E-06    0.502E-07
    17.540     0.000    0.747E-06    0.495E-07
    17.810     0.000    0.619E-06    0.487E-07
    18.080     0.000    0.624E-06    0.480E-07
    18.350     0.000    0.515E-06    0.473E-07
