# fe1_exp_092_238_photoneut_2007Var.dat                  
#
# Z = 92, A =238
# No. of entries:   40
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2007Var  V. V. Varlamov, N. N. Peskov;                          Moscow State Univ.Inst.of Nucl.Phys. Reports,                                        
#    E         dE       f1           df1
     6.500     0.000    0.236E-06    0.111E-07
     6.800     0.000    0.335E-06    0.145E-07
     7.100     0.000    0.402E-06    0.169E-07
     7.400     0.000    0.462E-06    0.205E-07
     7.700     0.000    0.532E-06    0.214E-07
     8.000     0.000    0.615E-06    0.243E-07
     8.300     0.000    0.716E-06    0.294E-07
     8.600     0.000    0.848E-06    0.333E-07
     8.900     0.000    0.102E-05    0.392E-07
     9.200     0.000    0.125E-05    0.538E-07
     9.500     0.000    0.155E-05    0.629E-07
     9.800     0.000    0.186E-05    0.810E-07
    10.110     0.000    0.227E-05    0.892E-07
    10.400     0.000    0.285E-05    0.113E-06
    10.700     0.000    0.292E-05    0.957E-07
    11.010     0.000    0.293E-05    0.977E-07
    11.310     0.000    0.286E-05    0.943E-07
    11.610     0.000    0.283E-05    0.103E-06
    11.900     0.000    0.273E-05    0.108E-06
    12.200     0.000    0.263E-05    0.953E-07
    12.510     0.000    0.259E-05    0.971E-07
    12.810     0.000    0.259E-05    0.982E-07
    13.110     0.000    0.261E-05    0.939E-07
    13.400     0.000    0.257E-05    0.124E-06
    13.700     0.000    0.249E-05    0.133E-06
    14.010     0.000    0.245E-05    0.139E-06
    14.310     0.000    0.237E-05    0.170E-06
    14.600     0.000    0.228E-05    0.138E-06
    14.900     0.000    0.215E-05    0.168E-06
    15.200     0.000    0.185E-05    0.119E-06
    15.510     0.000    0.166E-05    0.116E-06
    15.810     0.000    0.148E-05    0.148E-06
    16.100     0.000    0.126E-05    0.113E-06
    16.400     0.000    0.105E-05    0.129E-06
    16.700     0.000    0.888E-06    0.867E-07
    17.010     0.000    0.846E-06    0.816E-07
    17.310     0.000    0.862E-06    0.115E-06
    17.600     0.000    0.774E-06    0.897E-07
    17.900     0.000    0.688E-06    0.100E-06
    18.200     0.000    0.567E-06    0.682E-07
