# fe1_exp_092_nat_photoabs_1985Ahr.dat                   
#
# Z = 92, A =  0
# No. of entries:   37
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1985Ahr  J.Ahrens; Nucl.Phys. A446, 229c (1985).                                                                                                     
#    E         dE       f1           df1
     6.370     0.000    0.324E-06    0.132E-07
     6.440     0.000    0.343E-06    0.160E-07
     6.740     0.000    0.426E-06    0.734E-08
     6.980     0.000    0.485E-06    0.994E-08
     7.230     0.000    0.534E-06    0.660E-08
     7.470     0.000    0.608E-06    0.146E-07
     7.720     0.000    0.671E-06    0.637E-08
     7.960     0.000    0.768E-06    0.856E-08
     8.210     0.000    0.853E-06    0.129E-07
     8.460     0.000    0.981E-06    0.118E-07
     8.710     0.000    0.114E-05    0.127E-07
     8.950     0.000    0.132E-05    0.954E-08
     9.380     0.000    0.184E-05    0.133E-07
     9.680     0.000    0.202E-05    0.298E-07
     9.930     0.000    0.266E-05    0.150E-07
    10.220     0.000    0.265E-05    0.433E-07
    10.440     0.000    0.350E-05    0.151E-07
    10.810     0.000    0.350E-05    0.255E-07
    11.100     0.000    0.352E-05    0.262E-07
    11.450     0.000    0.330E-05    0.238E-07
    11.820     0.000    0.316E-05    0.286E-07
    12.120     0.000    0.305E-05    0.278E-07
    12.480     0.000    0.296E-05    0.232E-07
    12.880     0.000    0.308E-05    0.247E-07
    13.250     0.000    0.304E-05    0.300E-07
    13.670     0.000    0.286E-05    0.251E-07
    14.160     0.000    0.261E-05    0.266E-07
    14.510     0.000    0.253E-05    0.320E-07
    14.950     0.000    0.218E-05    0.239E-07
    15.360     0.000    0.187E-05    0.303E-07
    15.780     0.000    0.162E-05    0.240E-07
    16.310     0.000    0.119E-05    0.269E-07
    16.840     0.000    0.948E-06    0.282E-07
    17.380     0.000    0.818E-06    0.318E-07
    17.920     0.000    0.644E-06    0.294E-07
    18.300     0.000    0.602E-06    0.323E-07
    21.000     0.000    0.199E-06    0.413E-07
