# fe1_exp_093_237_photoneut_1986Be2.dat                  
#
# Z = 93, A =237
# No. of entries:   24
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:  B.L.Berman,J.T.Caldwell,E.J.Dowdy,S.S.Dietrich, P.Meye(J,PR/C,34,2201,198612)                                                                         
#    E         dE       f1           df1
     6.980     0.000    0.459E-06    0.111E-06
     7.470     0.000    0.610E-06    0.918E-07
     7.960     0.000    0.661E-06    0.574E-07
     8.450     0.000    0.785E-06    0.866E-07
     8.940     0.000    0.105E-05    0.768E-07
     9.430     0.000    0.148E-05    0.478E-07
     9.920     0.000    0.221E-05    0.784E-07
    10.410     0.000    0.314E-05    0.883E-07
    10.900     0.000    0.368E-05    0.398E-07
    11.400     0.000    0.365E-05    0.582E-07
    11.890     0.000    0.335E-05    0.115E-06
    12.380     0.000    0.326E-05    0.743E-07
    12.870     0.000    0.325E-05    0.890E-07
    13.360     0.000    0.377E-05    0.120E-06
    13.850     0.000    0.365E-05    0.989E-07
    14.340     0.000    0.345E-05    0.127E-06
    14.830     0.000    0.302E-05    0.117E-06
    15.320     0.000    0.257E-05    0.747E-07
    15.810     0.000    0.207E-05    0.927E-07
    16.300     0.000    0.165E-05    0.984E-07
    16.790     0.000    0.129E-05    0.548E-07
    17.280     0.000    0.120E-05    0.663E-07
    17.770     0.000    0.111E-05    0.644E-07
    18.260     0.000    0.106E-05    0.138E-06
