# fe1_exp_094_239_photoabs_1976Gu1.dat                   
#
# Z = 94, A =239
# No. of entries:   47
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1976Gu1  G.M. Gurevich, L.E. Lazareva, V.M. Mazur, G.B.A.Tulupov; Nucl. Phys. A273, 326(1976).                                                       
#    E         dE       f1           df1
     7.800     0.000    0.322E-06    0.245E-06
     8.000     0.000    0.434E-06    0.282E-06
     8.300     0.000    0.606E-06    0.293E-06
     8.500     0.000    0.704E-06    0.255E-06
     8.800     0.000    0.103E-05    0.256E-06
     9.000     0.000    0.133E-05    0.260E-06
     9.300     0.000    0.146E-05    0.224E-06
     9.500     0.000    0.183E-05    0.228E-06
     9.800     0.000    0.202E-05    0.266E-06
    10.000     0.000    0.202E-05    0.269E-06
    10.300     0.000    0.205E-05    0.269E-06
    10.500     0.000    0.262E-05    0.256E-06
    10.700     0.000    0.288E-05    0.251E-06
    11.000     0.000    0.303E-05    0.252E-06
    11.200     0.000    0.301E-05    0.232E-06
    11.500     0.000    0.298E-05    0.241E-06
    11.700     0.000    0.282E-05    0.230E-06
    12.000     0.000    0.278E-05    0.224E-06
    12.200     0.000    0.287E-05    0.213E-06
    12.400     0.000    0.277E-05    0.203E-06
    12.700     0.000    0.290E-05    0.212E-06
    13.000     0.000    0.285E-05    0.207E-06
    13.200     0.000    0.280E-05    0.204E-06
    13.400     0.000    0.289E-05    0.214E-06
    13.700     0.000    0.269E-05    0.234E-06
    14.000     0.000    0.248E-05    0.149E-06
    14.200     0.000    0.260E-05    0.226E-06
    14.500     0.000    0.237E-05    0.221E-06
    14.700     0.000    0.221E-05    0.218E-06
    15.000     0.000    0.214E-05    0.214E-06
    15.200     0.000    0.227E-05    0.211E-06
    15.500     0.000    0.186E-05    0.235E-06
    15.700     0.000    0.167E-05    0.221E-06
    15.900     0.000    0.149E-05    0.262E-06
    16.300     0.000    0.146E-05    0.245E-06
    16.500     0.000    0.112E-05    0.242E-06
    16.700     0.000    0.113E-05    0.249E-06
    17.000     0.000    0.108E-05    0.240E-06
    17.200     0.000    0.893E-06    0.237E-06
    17.400     0.000    0.977E-06    0.254E-06
    17.700     0.000    0.662E-06    0.240E-06
    18.000     0.000    0.704E-06    0.241E-06
    18.200     0.000    0.844E-06    0.262E-06
    18.500     0.000    0.595E-06    0.248E-06
    18.700     0.000    0.663E-06    0.274E-06
    18.900     0.000    0.537E-06    0.275E-06
    19.200     0.000    0.556E-06    0.271E-06
