# fe1_exp_094_239_photoneut_2007Var.dat                  
#
# Z = 94, A =239
# No. of entries:   31
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   2007Var  V. V. Varlamov, N. N. Peskov; Moscow State Univ.Inst.of Nucl.Phys. Reports.                                                                 
#    E         dE       f1           df1
     5.920     0.000    0.182E-06    0.999E-07
     6.190     0.000    0.203E-06    0.112E-06
     6.450     0.000    0.235E-06    0.130E-06
     6.780     0.000    0.313E-06    0.173E-06
     7.040     0.000    0.376E-06    0.207E-06
     7.290     0.000    0.399E-06    0.219E-06
     7.550     0.000    0.465E-06    0.256E-06
     7.930     0.000    0.529E-06    0.291E-06
     8.170     0.000    0.599E-06    0.329E-06
     8.480     0.000    0.668E-06    0.367E-06
     8.650     0.000    0.743E-06    0.409E-06
     8.940     0.000    0.882E-06    0.485E-06
     9.230     0.000    0.968E-06    0.531E-06
     9.410     0.000    0.123E-05    0.675E-06
     9.680     0.000    0.138E-05    0.757E-06
     9.910     0.000    0.179E-05    0.597E-07
    10.430     0.000    0.269E-05    0.130E-06
    10.860     0.000    0.297E-05    0.622E-07
    11.380     0.000    0.344E-05    0.119E-06
    11.880     0.000    0.331E-05    0.115E-06
    12.250     0.000    0.297E-05    0.828E-07
    12.820     0.000    0.275E-05    0.165E-06
    13.340     0.000    0.268E-05    0.159E-06
    13.850     0.000    0.275E-05    0.977E-07
    14.290     0.000    0.250E-05    0.118E-06
    14.770     0.000    0.179E-05    0.149E-06
    15.290     0.000    0.136E-05    0.720E-07
    15.730     0.000    0.789E-06    0.130E-06
    16.260     0.000    0.864E-06    0.135E-06
    16.770     0.000    0.102E-05    0.755E-07
    17.720     0.000    0.759E-06    0.768E-07
