# f1_exp_042_096_PP_2017MA67.dat
#
# Z = 42, A = 96 
# No. of entries: 75
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: S. Goriely from Martin et al., Phys. Rev. Lett. 119, 182503 (2017).
#    E         dE       f1           df1                                        
     6.020     0.030   4.028E-08   1.649E-08
     6.150     0.030   4.845E-08   1.576E-08
     6.260     0.030   4.010E-08   1.374E-08
     6.400     0.030   5.313E-08   1.106E-08
     6.520     0.030   5.383E-08   1.265E-08
     6.680     0.030   5.016E-08   1.486E-08
     6.870     0.030   6.359E-08   9.613E-09
     7.080     0.030   5.309E-08   1.191E-08
     7.300     0.030   6.413E-08   1.684E-08
     7.500     0.030   8.275E-08   1.679E-08
     7.700     0.030   9.864E-08   1.541E-08
     7.900     0.030   9.314E-08   1.841E-08
     8.100     0.030   1.229E-07   1.610E-08
     8.300     0.030   1.062E-07   2.100E-08
     8.490     0.030   8.302E-08   2.042E-08
     8.700     0.030   1.025E-07   2.189E-08
     8.900     0.030   1.154E-07   2.221E-08
     9.100     0.030   1.340E-07   2.026E-08
     9.320     0.030   1.273E-07   2.493E-08
     9.500     0.030   1.423E-07   2.787E-08
     9.870     0.030   1.539E-07   2.808E-08
    10.060     0.030   1.609E-07   2.105E-08
    10.250     0.030   1.664E-07   2.388E-08
    10.500     0.030   1.902E-07   2.730E-08
    10.700     0.030   2.249E-07   2.943E-08
    10.870     0.030   2.249E-07   2.942E-08
    11.070     0.030   2.487E-07   3.253E-08
    11.290     0.030   2.812E-07   5.132E-08
    11.510     0.030   2.973E-07   4.650E-08
    11.660     0.030   3.362E-07   4.825E-08
    11.920     0.030   3.717E-07   5.813E-08
    12.090     0.030   3.675E-07   6.708E-08
    12.310     0.030   3.930E-07   8.758E-08
    12.490     0.030   4.394E-07   6.307E-08
    12.700     0.030   4.698E-07   6.744E-08
    12.880     0.030   4.858E-07   5.745E-08
    13.320     0.030   5.679E-07   6.011E-08
    13.510     0.030   6.350E-07   7.512E-08
    13.690     0.030   7.022E-07   6.568E-08
    13.910     0.030   7.424E-07   8.780E-08
    14.110     0.030   7.939E-07   8.402E-08
    14.280     0.030   8.778E-07   1.149E-07
    14.500     0.030   9.706E-07   1.148E-07
    14.720     0.030   1.049E-06   9.818E-08
    14.910     0.030   1.110E-06   1.321E-07
    15.090     0.030   1.213E-06   1.276E-07
    15.330     0.030   1.186E-06   8.232E-08
    15.500     0.030   1.269E-06   1.499E-07
    15.720     0.030   1.283E-06   1.358E-07
    15.900     0.030   1.312E-06   9.096E-08
    16.090     0.030   1.240E-06   8.601E-08
    16.310     0.030   1.226E-06   1.450E-07
    16.550     0.030   1.254E-06   1.021E-07
    16.730     0.030   1.268E-06   1.499E-07
    16.900     0.030   1.159E-06   1.227E-07
    17.150     0.030   1.108E-06   1.173E-07
    17.290     0.030   1.036E-06   1.355E-07
    17.530     0.030   9.909E-07   1.172E-07
    17.760     0.030   9.060E-07   1.535E-07
    17.930     0.030   8.472E-07   1.002E-07
    18.120     0.030   8.284E-07   1.084E-07
    18.320     0.030   7.745E-07   1.013E-07
    18.540     0.030   6.549E-07   9.401E-08
    18.690     0.030   7.081E-07   1.107E-07
    18.930     0.030   6.475E-07   1.355E-07
    19.150     0.030   5.536E-07   1.543E-07
    19.330     0.030   4.048E-07   6.332E-08
    19.500     0.030   4.048E-07   6.857E-08
    19.720     0.030   4.377E-07   7.989E-08
    19.920     0.030   4.376E-07   5.725E-08
    20.120     0.030   3.200E-07   6.265E-08
    20.330     0.030   3.460E-07   6.775E-08
    20.550     0.030   3.199E-07   4.592E-08
    20.720     0.030   3.617E-07   9.061E-08
    20.940     0.030   3.128E-07   6.124E-08
