# f1_exp_050_120_pp.dat
#
# Z = 50, A = 120
# No. of entries: 57
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: P von Neumann-Cosel
#    E         dE      f           df
     4.900     0.010   6.036E-09   6.019E-10
     5.100     0.010   1.917E-08   1.922E-09
     5.300     0.010   3.366E-08   3.371E-09
     5.500     0.010   4.990E-08   5.366E-09
     5.700     0.010   5.375E-08   5.733E-09
     5.900     0.010   7.028E-08   7.240E-09
     6.100     0.010   7.557E-08   7.726E-09
     6.300     0.010   1.022E-07   1.027E-08
     6.500     0.010   1.304E-07   1.305E-08
     6.700     0.010   1.142E-07   1.142E-08
     6.900     0.010   1.255E-07   1.245E-08
     7.100     0.010   1.452E-07   1.429E-08
     7.300     0.010   1.499E-07   1.478E-08
     7.500     0.010   1.445E-07   1.421E-08
     7.700     0.010   1.601E-07   1.570E-08
     7.900     0.010   1.890E-07   1.851E-08
     8.100     0.010   2.089E-07   2.054E-08
     8.300     0.010   2.161E-07   2.119E-08
     8.500     0.010   1.857E-07   1.801E-08
     8.700     0.010   1.755E-07   1.691E-08
     8.900     0.010   1.726E-07   1.658E-08
     9.100     0.010   1.586E-07   1.528E-08
     9.300     0.010   1.780E-07   1.082E-08
     9.500     0.010   2.027E-07   1.215E-08
     9.700     0.010   2.107E-07   1.261E-08
     9.900     0.010   2.174E-07   1.299E-08
    10.100     0.010   2.255E-07   1.346E-08
    10.300     0.010   2.372E-07   1.413E-08
    10.500     0.010   2.565E-07   1.525E-08
    10.700     0.010   2.820E-07   1.676E-08
    10.900     0.010   3.117E-07   1.853E-08
    11.100     0.010   3.454E-07   2.054E-08
    11.300     0.010   3.812E-07   2.269E-08
    11.500     0.010   4.196E-07   2.497E-08
    11.700     0.010   4.596E-07   2.736E-08
    11.900     0.010   5.018E-07   2.993E-08
    12.100     0.010   5.510E-07   3.284E-08
    12.300     0.010   6.044E-07   3.610E-08
    12.500     0.010   6.652E-07   3.982E-08
    12.700     0.010   7.320E-07   4.392E-08
    13.000     0.010   8.024E-07   4.831E-08
    13.400     0.010   9.716E-07   5.719E-08
    13.800     0.010   1.135E-06   6.579E-08
    14.200     0.010   1.280E-06   7.347E-08
    14.600     0.010   1.413E-06   8.059E-08
    15.000     0.010   1.487E-06   8.474E-08
    15.400     0.010   1.420E-06   8.189E-08
    15.800     0.010   1.232E-06   7.298E-08
    16.200     0.010   1.030E-06   6.339E-08
    16.600     0.010   8.680E-07   5.583E-08
    17.000     0.010   6.983E-07   4.789E-08
    17.400     0.010   5.995E-07   4.353E-08
    17.800     0.010   4.585E-07   3.707E-08
    18.200     0.010   3.870E-07   3.410E-08
    18.600     0.010   3.703E-07   3.389E-08
    19.000     0.010   2.959E-07   3.082E-08
    19.400     0.010   2.827E-07   3.082E-08
