# fm1_exp_050_120_pp.dat
#
# Z = 50, A = 120
# No. of entries: 37
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength fm1 in MeV^-3
# Col 4: uncertainty dfm1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: P von Neumann-Cosel
#   E          dE      f           df
     5.500     0.010   6.630E-10   2.142E-09
     5.700     0.010   2.907E-09   2.652E-09
     5.900     0.010   3.570E-09   2.805E-09
     6.100     0.010   3.213E-09   2.703E-09
     6.300     0.010   2.856E-09   2.652E-09
     6.500     0.010   2.346E-09   2.550E-09
     6.700     0.010   3.519E-09   2.805E-09
     6.900     0.010   4.947E-09   3.111E-09
     7.100     0.010   6.426E-09   3.417E-09
     7.300     0.010   5.763E-09   3.264E-09
     7.500     0.010   6.987E-09   3.570E-09
     7.700     0.010   7.497E-09   3.672E-09
     7.900     0.010   7.752E-09   3.723E-09
     8.100     0.010   6.426E-09   3.417E-09
     8.300     0.010   7.140E-09   3.570E-09
     8.500     0.010   1.142E-08   4.539E-09
     8.700     0.010   1.484E-08   5.304E-09
     8.900     0.010   1.754E-08   5.865E-09
     9.100     0.010   2.111E-08   6.681E-09
     9.300     0.010   1.433E-08   4.539E-09
     9.500     0.010   1.046E-08   3.825E-09
     9.700     0.010   9.078E-09   3.570E-09
     9.900     0.010   1.158E-08   4.029E-09
    10.100     0.010   1.285E-08   4.284E-09
    10.300     0.010   1.163E-08   4.029E-09
    10.500     0.010   1.081E-08   3.927E-09
    10.700     0.010   9.996E-09   3.774E-09
    10.900     0.010   8.364E-09   3.468E-09
    11.100     0.010   7.599E-09   3.315E-09
    11.300     0.010   6.732E-09   3.162E-09
    11.500     0.010   6.885E-09   3.213E-09
    11.700     0.010   6.630E-09   3.162E-09
    11.900     0.010   5.304E-09   2.907E-09
    12.100     0.010   6.018E-09   3.060E-09
    12.300     0.010   4.386E-09   2.754E-09
    12.500     0.010   2.958E-09   2.499E-09
    12.700     0.010   7.140E-10   2.091E-09
