# A El   Z    S(n) - neutron energy
  1  n   0       * 
  1 H    1       * 
  2 H    1       * 
  3 H    1    8481.
  3 He   2       * 
  3 Li   3       * 
  4 H    1    4657.
  4 He   2       * 
  4 Li   3       * 
  5 H    1   -1800.
  5 He   2   19842.
  5 Li   3   33131#
  5 Be   4       * 
  6 H    1   -1111.
  6 He   2     975.
  6 Li   3   27378.
  6 Be   4       * 
  6 B    5       * 
  7 H    1    -100#
  7 He   2    1300.
  7 Li   3   12914.
  7 Be   4   37512#
  7 B    5       * 
  8 He   2    2125.
  8 Li   3    9283.
  8 Be   4   29576.
  8 B    5   40541#
  8 C    6       * 
  9 He   2    1279.
  9 Li   3    6094.
  9 Be   4   20563.
  9 B    5   31402.
  9 C    6       * 
 10 He   2   -1444.
 10 Li   3    4035.
 10 Be   4    8476.
 10 B    5   27013.
 10 C    6   35508.
 10 N    7       * 
 11 Li   3     369.
 11 Be   4    7313.
 11 B    5   19891.
 11 C    6   34404.
 11 N    7       * 
 12 Li   3     185.
 12 Be   4    3672.
 12 B    5   14823.
 12 C    6   31841.
 12 N    7   37604.
 12 O    8       * 
 13 Li   3    -110.
 13 Be   4    2660.
 13 B    5    8248.
 13 C    6   23667.
 13 N    7   35100.
 13 O    8       * 
 14 Be   4    1265.
 14 B    5    5848.
 14 C    6   13122.
 14 N    7   30617.
 14 O    8   40049.
 14 F    9       * 
 15 Be   4     -24.
 15 B    5    3746.
 15 C    6    9394.
 15 N    7   21386.
 15 O    8   36402.
 15 F    9       * 
 15 Ne  10       * 
 16 Be   4   -1350.
 16 B    5    2693.
 16 C    6    5468.
 16 N    7   13322.
 16 O    8   28887.
 16 F    9   37426.
 16 Ne  10       * 
 17 B    5    1384.
 17 C    6    4983.
 17 N    7    8373.
 17 O    8   19807.
 17 F    9   30757.
 17 Ne  10   39857.
 17 Na  11       * 
 18 B    5    1462.
 18 C    6    4917.
 18 N    7    8713.
 18 O    8   12188.
 18 F    9   25949.
 18 Ne  10   34811.
 18 Na  11       * 
 19 B    5      88.
 19 C    6    4760.
 19 N    7    8156.
 19 O    8   12001.
 19 F    9   19581.
 19 Ne  10   30891.
 19 Na  11   38386.
 19 Mg  12       * 
 20 B    5    -515#
 20 C    6    3558.
 20 N    7    7489.
 20 O    8   11563.
 20 F    9   17033.
 20 Ne  10   28502.
 20 Na  11   34330.
 20 Mg  12       * 
 21 B    5   -1417#
 21 C    6    2913#
 21 N    7    6767.
 21 O    8   11413.
 21 F    9   14702.
 21 Ne  10   23626.
 21 Na  11   31256.
 21 Mg  12   37067.
 21 Al  13       * 
 22 C    6      35.
 22 N    7    6144.
 22 O    8   10655.
 22 F    9   13331.
 22 Ne  10   17125.
 22 Na  11   28174.
 22 Mg  12   34020.
 22 Al  13       * 
 22 Si  14       * 
 23 C    6   -2385#
 23 N    7    4654.
 23 O    8    9583.
 23 F    9   12809.
 23 Ne  10   15564.
 23 Na  11   23487.
 23 Mg  12   32520.
 23 Al  13   36385#
 23 Si  14       * 
 24 N    7     969#
 24 O    8    6925.
 24 F    9   11391.
 24 Ne  10   14069.
 24 Na  11   19379.
 24 Mg  12   29676.
 24 Al  13   34393#
 24 Si  14   38736#
 24 P   15       * 
 25 N    7   -3120#
 25 O    8    3434.
 25 F    9    8093.
 25 Ne  10   13024.
 25 Na  11   15970.
 25 Mg  12   23861.
 25 Al  13   31806.
 25 Si  14   36013#
 25 P   15       * 
 26 O    8     -18.
 26 F    9    5038.
 26 Ne  10    9709.
 26 Na  11   14585.
 26 Mg  12   18423.
 26 Al  13   28303.
 26 Si  14   34028.
 26 P   15   38489#
 26 S   16       * 
 27 O    8   -1198#
 27 F    9    2026.
 27 Ne  10    7056.
 27 Na  11   12302.
 27 Mg  12   17536.
 27 Al  13   24423.
 27 Si  14   32354.
 27 P   15   36603#
 27 S   16       * 
 28 O    8   -1276#
 28 F    9    1049.
 28 Ne  10    5324.
 28 Na  11   10270.
 28 Mg  12   14946.
 28 Al  13   20783.
 28 Si  14   30494.
 28 P   15   34263#
 28 S   16   39148#
 28 Cl  17       * 
 29 F    9    1442.
 29 Ne  10    4793.
 29 Na  11    7944.
 29 Mg  12   12158.
 29 Al  13   17153.
 29 Si  14   25653.
 29 P   15   32373.
 29 S   16   36327#
 29 Cl  17       * 
 30 F    9    1773#
 30 Ne  10    4162.
 30 Na  11    6679.
 30 Mg  12   10007.
 30 Al  13   15156.
 30 Si  14   19082.
 30 P   15   29195.
 30 S   16   34275.
 30 Cl  17   39216#
 30 Ar  18       * 
 31 F    9     150#
 31 Ne  10    3360.
 31 Na  11    6576.
 31 Mg  12    8661.
 31 Al  13   12885.
 31 Si  14   17196.
 31 P   15   23630.
 31 S   16   32028.
 31 Cl  17   36339.
 31 Ar  18       * 
 32 Ne  10    2424#
 32 Na  11    5977.
 32 Mg  12    8087.
 32 Al  13   11377.
 32 Si  14   15787.
 32 P   15   20246.
 32 S   16   28098.
 32 Cl  17   33921#
 32 Ar  18   39274.
 32 K   19       * 
 33 Ne  10    1327#
 33 Na  11    4608.
 33 Mg  12    8058.
 33 Al  13    9689.
 33 Si  14   13707.
 33 P   15   18039.
 33 S   16   23685.
 33 Cl  17   30111.
 33 Ar  18   36852#
 33 K   19       * 
 34 Ne  10     300#
 34 Na  11    3102.
 34 Mg  12    6990.
 34 Al  13    8043.
 34 Si  14   12021.
 34 P   15   16386.
 34 S   16   20058.
 34 Cl  17   27248.
 34 Ar  18   32320.
 34 K   19   38461#
 34 Ca  20       * 
 35 Na  11    1691#
 35 Mg  12    5465.
 35 Al  13    7868.
 35 Si  14   10019.
 35 P   15   14663.
 35 S   16   18402.
 35 Cl  17   24152.
 35 Ar  18   29805.
 35 K   19   34358#
 35 Ca  20       * 
 36 Na  11    1520#
 36 Mg  12    4085.
 36 Al  13    7191.
 36 Si  14    8621.
 36 P   15   11844.
 36 S   16   16875.
 36 Cl  17   21224.
 36 Ar  18   27995.
 36 K   19   32339#
 36 Ca  20   36445#
 36 Sc  21       * 
 37 Na  11     840#
 37 Mg  12    3570.
 37 Al  13    6109.
 37 Si  14    8322.
 37 P   15   10280.
 37 S   16   14192.
 37 Cl  17   18890.
 37 Ar  18   24043.
 37 K   19   29769.
 37 Ca  20   34067#
 37 Sc  21       * 
 38 Mg  12    2449#
 38 Al  13    5883.
 38 Si  14    7876.
 38 P   15   10513.
 38 S   16   12339.
 38 Cl  17   16418.
 38 Ar  18   20625.
 38 K   19   27526.
 38 Ca  20   31749.
 38 Sc  21   35743#
 38 Ti  22       * 
 39 Mg  12    2079#
 39 Al  13    5302#
 39 Si  14    7250.
 39 P   15    9921.
 39 S   16   12408.
 39 Cl  17   14181.
 39 Ar  18   18437.
 39 K   19   25149.
 39 Ca  20   30289.
 39 Sc  21   33835#
 39 Ti  22       * 
 40 Mg  12    1867#
 40 Al  13    4763#
 40 Si  14    6542.
 40 P   15    9635.
 40 S   16   12119.
 40 Cl  17   13902.
 40 Ar  18   16467.
 40 K   19   20877.
 40 Ca  20   28930.
 40 Sc  21   32416#
 40 Ti  22   35863#
 40 V   23       * 
 41 Al  13    3373#
 41 Si  14    6343.
 41 P   15    8347.
 41 S   16   11988.
 41 Cl  17   13649.
 41 Ar  18   15967.
 41 K   19   17894.
 41 Ca  20   23997.
 41 Sc  21   30612.
 41 Ti  22   34040#
 41 V   23       * 
 42 Al  13    3633#
 42 Si  14    5103#
 42 P   15    7018.
 42 S   16   10942.
 42 Cl  17   13416.
 42 Ar  18   15525.
 42 K   19   17629.
 42 Ca  20   19843.
 42 Sc  21   27740.
 42 Ti  22   32396.
 42 V   23   35932#
 42 Cr  24       * 
 43 Al  13    2543#
 43 Si  14    5161#
 43 P   15    6483.
 43 S   16    9329.
 43 Cl  17   12994.
 43 Ar  18   15084.
 43 K   19   17158.
 43 Ca  20   19413.
 43 Sc  21   23688.
 43 Ti  22   29766.
 43 V   23   34379#
 43 Cr  24       * 
 44 Si  14    4099#
 44 P   15    6702#
 44 S   16    7709.
 44 Cl  17   11695.
 44 Ar  18   14393.
 44 K   19   16902.
 44 Ca  20   19064.
 44 Sc  21   21837.
 44 Ti  22   28586.
 44 V   23   32639#
 44 Cr  24   36233#
 44 Mn  25       * 
 45 Si  14    1754#
 45 P   15    5223#
 45 S   16    7936.
 45 Cl  17   10245.
 45 Ar  18   13903.
 45 K   19   16182.
 45 Ca  20   18545.
 45 Sc  21   21026.
 45 Ti  22   25831.
 45 V   23   30112.
 45 Cr  24   33687#
 45 Mn  25       * 
 45 Fe  26       * 
 46 P   15    3623#
 46 S   16    6598#
 46 Cl  17    9617.
 46 Ar  18   13242.
 46 K   19   15775.
 46 Ca  20   17813.
 46 Sc  21   20087.
 46 Ti  22   22721.
 46 V   23   29101.
 46 Cr  24   32254#
 46 Mn  25   35742#
